Country,country-name,cases,deaths,case rate,death rate,doubling cases (days),doubling deaths (days),pct pop 0.5% mort,prct pop 1% mort,prct pop 2% mort,0.5% mort sim cases,1% mort sim cases,2% mort sim cases,prct rep cases 0.5% mort,prct rep cases 1% mort,prct rep cases 2% mort,pct pop 0.5% mort (10d),prct pop 1% mort (10d),prct pop 2% (10d),pct pop 0.5% mort (20d),prct pop 1% mort (20d),prct pop 2% (20d) 
AUT,Austria,15002,522,0,4,162.1,18.8,1.97,0.99,0.49,175166,87583,43791,8.6,17.1,34.3,1.70,0.85,0.42,2.46,1.23,0.61
ARG,Argentina,3435,165,4,6,15.5,12.4,0.11,0.05,0.03,48752,24376,12188,7.0,14.1,28.2,0.10,0.05,0.02,0.13,0.06,0.03
BRA,Brazil,50036,3331,6,7,11.0,9.6,0.53,0.26,0.13,1103456,551728,275864,4.5,9.1,18.1,0.46,0.23,0.11,0.65,0.33,0.16
BGR,Bulgaria,1097,52,5,6,13.7,12.4,0.22,0.11,0.05,15367,7683,3841,7.1,14.3,28.6,0.19,0.10,0.05,0.26,0.13,0.06
BEL,Belgium,42797,6490,3,3,26.8,20.5,18.13,9.06,4.53,2081676,1040838,520419,2.1,4.1,8.2,15.84,7.92,3.96,22.20,11.10,5.55
CAN,Canada,43286,2241,5,9,14.1,7.7,2.28,1.14,0.57,844181,422090,211045,5.1,10.3,20.5,1.90,0.95,0.48,2.99,1.49,0.75
COL,Colombia,4561,215,5,5,15.1,15.3,0.16,0.08,0.04,81035,40517,20258,5.6,11.3,22.5,0.14,0.07,0.03,0.21,0.11,0.05
DNK,Denmark,8271,394,2,3,30.8,26.5,1.98,0.99,0.49,113709,56854,28427,7.3,14.5,29.1,1.78,0.89,0.45,2.31,1.16,0.58
FRA,France,159460,21889,1,3,95.6,26.8,9.67,4.83,2.42,6283866,3141933,1570966,2.5,5.1,10.2,8.72,4.36,2.18,11.29,5.64,2.82
FIN,Finland,4284,172,3,16,22.1,4.3,1.95,0.97,0.49,107471,53735,26867,4.0,8.0,15.9,1.41,0.70,0.35,3.17,1.59,0.79
DEU,Germany,153129,5575,1,5,53.1,14.7,2.60,1.30,0.65,2161606,1080803,540401,7.1,14.2,28.3,2.15,1.08,0.54,3.45,1.73,0.86
GRC,Greece,2463,125,3,2,26.2,28.4,0.33,0.17,0.08,35182,17591,8795,7.0,14.0,28.0,0.30,0.15,0.08,0.39,0.19,0.10
GTM,Guatemala,384,11,9,10,7.8,6.7,0.03,0.01,0.01,4548,2274,1137,8.4,16.9,33.8,0.02,0.01,0.01,0.04,0.02,0.01
HUN,Hungary,2284,239,4,6,15.8,11.7,0.75,0.37,0.19,72355,36177,18088,3.2,6.3,12.6,0.66,0.33,0.17,0.89,0.45,0.22
IND,India,23077,721,7,6,10.2,10.7,0.02,0.01,0.00,227130,113565,56782,10.2,20.3,40.6,0.01,0.01,0.00,0.02,0.01,0.01
IDN,Indonesia,7775,647,4,3,16.2,24.3,0.07,0.04,0.02,192917,96458,48229,4.0,8.1,16.1,0.06,0.03,0.02,0.09,0.04,0.02
IRL,Ireland,17607,794,4,6,19.8,10.8,5.16,2.58,1.29,248551,124275,62137,7.1,14.2,28.3,4.54,2.27,1.13,6.25,3.13,1.56
ITA,Italy,189973,25549,2,2,45.5,35.9,11.04,5.52,2.76,6695952,3347976,1673988,2.8,5.7,11.3,10.22,5.11,2.56,12.40,6.20,3.10
IRN,Iran,87026,5481,1,2,48.4,40.4,1.70,0.85,0.43,1393469,696734,348367,6.2,12.5,25.0,1.59,0.80,0.40,1.89,0.94,0.47
ISR,Israel,14803,192,2,3,28.7,24.3,0.68,0.34,0.17,57276,28638,14319,25.8,51.7,103.4,0.61,0.30,0.15,0.81,0.41,0.20
JPN,Japan,12368,328,3,8,20.6,8.3,0.09,0.05,0.02,117518,58759,29379,10.5,21.0,42.1,0.08,0.04,0.02,0.12,0.06,0.03
MEX,Mexico,11633,1069,10,12,6.8,5.7,0.40,0.20,0.10,501369,250684,125342,2.3,4.6,9.3,0.31,0.16,0.08,0.57,0.29,0.14
MDA,Moldova,2926,80,4,4,16.4,16.4,0.71,0.36,0.18,28954,14477,7238,10.1,20.2,40.4,0.60,0.30,0.15,0.92,0.46,0.23
NLD,Netherlands,35921,4192,2,3,31.3,21.1,7.79,3.89,1.95,1328850,664425,332212,2.7,5.4,10.8,6.83,3.41,1.71,9.49,4.74,2.37
NGA,Nigeria,981,31,12,10,5.9,6.8,0.01,0.00,0.00,12662,6331,3165,7.7,15.5,31.0,0.01,0.00,0.00,0.01,0.00,0.00
NOR,Norway,7401,194,1,4,60.6,19.4,1.20,0.60,0.30,63907,31953,15976,11.6,23.2,46.3,1.04,0.52,0.26,1.48,0.74,0.37
PAK,Pakistan,11155,237,8,9,9.1,7.9,0.04,0.02,0.01,87411,43705,21852,12.8,25.5,51.0,0.03,0.02,0.01,0.05,0.03,0.01
