Country,country-name,cases,deaths,case rate,death rate,doubling cases (days),doubling deaths (days),pct pop 0.5% mort,prct pop 1% mort,prct pop 2% mort,0.5% mort sim cases,1% mort sim cases,2% mort sim cases,prct rep cases 0.5% mort,prct rep cases 1% mort,prct rep cases 2% mort,pct pop 0.5% mort (10d),prct pop 1% mort (10d),prct pop 2% (10d),pct pop 0.5% mort (20d),prct pop 1% mort (20d),prct pop 2% (20d) 
AUT,Austria,15402,580,0,2,165.5,33.6,1.74,0.87,0.44,154864,77432,38716,9.9,19.9,39.8,1.60,0.80,0.40,1.97,0.99,0.49
ARG,Argentina,4285,214,3,4,22.4,18.9,0.16,0.08,0.04,71492,35746,17873,6.0,12.0,24.0,0.14,0.07,0.03,0.20,0.10,0.05
BRA,Brazil,79685,5513,7,8,9.4,8.8,0.91,0.46,0.23,1908629,954314,477157,4.2,8.3,16.7,0.78,0.39,0.19,1.15,0.58,0.29
BGR,Bulgaria,1447,64,4,3,18.7,20.5,0.29,0.15,0.07,20551,10275,5137,7.0,14.1,28.2,0.25,0.13,0.06,0.36,0.18,0.09
BEL,Belgium,47859,7501,1,2,51.5,35.6,17.17,8.58,4.29,1971033,985516,492758,2.4,4.9,9.7,15.88,7.94,3.97,19.30,9.65,4.82
CAN,Canada,52865,3155,4,5,18.2,12.8,2.48,1.24,0.62,920890,460445,230222,5.7,11.5,23.0,2.23,1.11,0.56,2.92,1.46,0.73
COL,Colombia,6207,278,5,5,14.5,15.4,0.21,0.11,0.05,104498,52249,26124,5.9,11.9,23.8,0.18,0.09,0.04,0.28,0.14,0.07
DNK,Denmark,9206,443,2,1,44.1,48.1,1.88,0.94,0.47,108422,54211,27105,8.5,17.0,34.0,1.78,0.89,0.44,2.06,1.03,0.51
FRA,France,166543,24121,1,2,68.6,43.2,9.29,4.65,2.32,6040017,3020008,1510004,2.8,5.5,11.0,8.72,4.36,2.18,10.23,5.12,2.56
FIN,Finland,4906,206,2,3,31.6,27.7,1.06,0.53,0.26,58509,29254,14627,8.4,16.8,33.5,0.96,0.48,0.24,1.23,0.62,0.31
DEU,Germany,161539,6467,1,2,90.4,28.1,2.20,1.10,0.55,1826066,913033,456516,8.8,17.7,35.4,1.99,1.00,0.50,2.55,1.27,0.64
GRC,Greece,2576,139,1,2,93.2,42.4,0.33,0.17,0.08,34940,17470,8735,7.4,14.7,29.5,0.31,0.16,0.08,0.37,0.18,0.09
GTM,Guatemala,557,16,4,4,18.0,16.7,0.03,0.02,0.01,5723,2861,1430,9.7,19.5,38.9,0.03,0.01,0.01,0.04,0.02,0.01
HUN,Hungary,2727,300,3,3,24.9,20.5,0.99,0.50,0.25,96360,48180,24090,2.8,5.7,11.3,0.87,0.43,0.22,1.22,0.61,0.30
IND,India,33062,1079,6,7,12.1,10.3,0.03,0.01,0.01,345290,172645,86322,9.6,19.2,38.3,0.02,0.01,0.01,0.03,0.02,0.01
IDN,Indonesia,9771,784,3,2,21.5,33.0,0.08,0.04,0.02,210361,105180,52590,4.6,9.3,18.6,0.07,0.04,0.02,0.09,0.04,0.02
IRL,Ireland,20253,1190,2,3,33.7,23.9,7.41,3.71,1.85,357117,178558,89279,5.7,11.3,22.7,6.60,3.30,1.65,8.82,4.41,2.21
ITA,Italy,203591,27682,1,1,68.1,56.6,10.84,5.42,2.71,6572455,3286227,1643113,3.1,6.2,12.4,10.32,5.16,2.58,11.67,5.83,2.92
IRN,Iran,93657,5957,1,1,58.9,51.5,1.76,0.88,0.44,1438555,719277,359638,6.5,13.0,26.0,1.67,0.83,0.42,1.91,0.95,0.48
ISR,Israel,15834,215,1,2,79.5,34.9,0.68,0.34,0.17,56772,28386,14193,27.9,55.8,111.6,0.63,0.31,0.16,0.76,0.38,0.19
JPN,Japan,13895,413,1,3,57.9,20.9,0.10,0.05,0.03,131500,65750,32875,10.6,21.1,42.3,0.09,0.05,0.02,0.13,0.06,0.03
MEX,Mexico,17799,1732,6,7,10.9,9.7,0.45,0.23,0.11,571699,285849,142924,3.1,6.2,12.5,0.39,0.20,0.10,0.56,0.28,0.14
MDA,Moldova,3771,111,3,4,21.0,17.2,0.96,0.48,0.24,39020,19510,9755,9.7,19.3,38.7,0.82,0.41,0.20,1.23,0.61,0.31
NLD,Netherlands,38998,4727,1,2,69.7,45.4,6.86,3.43,1.72,1170495,585247,292623,3.3,6.7,13.3,6.46,3.23,1.61,7.52,3.76,1.88
NGA,Nigeria,1728,51,9,8,7.3,8.2,0.01,0.00,0.00,18470,9235,4617,9.4,18.7,37.4,0.01,0.00,0.00,0.01,0.01,0.00
NOR,Norway,7710,207,1,1,94.9,83.1,0.87,0.44,0.22,46527,23263,11631,16.6,33.1,66.3,0.84,0.42,0.21,0.92,0.46,0.23
PAK,Pakistan,15525,343,5,6,14.1,11.7,0.05,0.02,0.01,103728,51864,25932,15.0,29.9,59.9,0.04,0.02,0.01,0.06,0.03,0.01
PRT,Portugal,24505,973,1,2,61.9,27.8,2.69,1.35,0.67,275979,137989,68994,8.9,17.8,35.5,2.44,1.22,0.61,3.13,1.56,0.78
POL,Poland,12640,624,3,5,24.8,15.2,0.62,0.31,0.16,236730,118365,59182,5.3,10.7,21.4,0.52,0.26,0.13,0.82,0.41,0.21
ROU,Romania,11978,693,3,4,24.0,19.6,1.17,0.58,0.29,227363,113681,56840,5.3,10.5,21.1,1.01,0.51,0.25,1.44,0.72,0.36
RUS,Russia,99399,972,7,9,9.6,8.1,0.24,0.12,0.06,355068,177534,88767,28.0,56.0,112.0,0.21,0.10,0.05,0.32,0.16,0.08
ESP,Spain,236899,24275,1,1,50.2,48.4,12.71,6.35,3.18,5933869,2966934,1483467,4.0,8.0,16.0,12.00,6.00,3.00,13.85,6.92,3.46
SWE,Sweden,20302,2462,3,3,25.4,22.9,7.55,3.77,1.89,752708,376354,188177,2.7,5.4,10.8,6.69,3.34,1.67,9.05,4.53,2.26
CHE,Switzerland,29407,1716,0,2,164.4,35.5,5.29,2.64,1.32,450956,225478,112739,6.5,13.0,26.1,4.89,2.45,1.22,5.95,2.97,1.49
TUR,Turkey,117589,3081,2,3,32.3,21.4,1.16,0.58,0.29,970020,485010,242505,12.1,24.2,48.5,1.02,0.51,0.26,1.41,0.71,0.35
GBR,UK,171253,26771,3,7,25.0,9.6,13.24,6.62,3.31,8889110,4444555,2222277,1.9,3.9,7.7,11.45,5.73,2.86,16.45,8.23,4.11
UKR,Ukraine,9866,250,5,6,14.6,12.2,0.17,0.08,0.04,74539,37269,18634,13.2,26.5,52.9,0.15,0.08,0.04,0.20,0.10,0.05
ARE,United Arab Emirates,11929,98,5,8,14.3,8.6,0.36,0.18,0.09,34372,17186,8593,34.7,69.4,138.8,0.30,0.15,0.08,0.45,0.23,0.11
USA,US,1039909,60967,3,3,27.4,22.1,5.78,2.89,1.44,18903228,9451614,4725807,5.5,11.0,22.0,5.10,2.55,1.27,6.97,3.49,1.74
