Country,country-name,cases,deaths,case rate,death rate,doubling cases (days),doubling deaths (days),pct pop 0.5% mort,prct pop 1% mort,prct pop 2% mort,0.5% mort sim cases,1% mort sim cases,2% mort sim cases,prct rep cases 0.5% mort,prct rep cases 1% mort,prct rep cases 2% mort,pct pop 0.5% mort (10d),prct pop 1% mort (10d),prct pop 2% (10d),pct pop 0.5% mort (20d),prct pop 1% mort (20d),prct pop 2% (20d) 
AUT,Austria,14749,452,1,4,98.8,19.4,1.68,0.84,0.42,149047,74523,37261,9.9,19.8,39.6,1.45,0.73,0.36,2.08,1.04,0.52
ARG,Argentina,2839,132,4,5,18.7,15.0,0.11,0.06,0.03,50368,25184,12592,5.6,11.3,22.5,0.09,0.05,0.02,0.15,0.07,0.04
BRA,Brazil,38654,2462,8,9,8.6,7.7,0.44,0.22,0.11,924852,462426,231213,4.2,8.4,16.7,0.37,0.18,0.09,0.58,0.29,0.14
BGR,Bulgaria,894,42,5,4,15.3,18.0,0.20,0.10,0.05,14385,7192,3596,6.2,12.4,24.9,0.17,0.09,0.04,0.26,0.13,0.06
BEL,Belgium,38496,5683,3,6,20.4,11.4,15.17,7.58,3.79,1741275,870637,435318,2.2,4.4,8.8,13.43,6.71,3.36,18.21,9.10,4.55
CAN,Canada,2803,51,11,2,6.5,38.1,0.04,0.02,0.01,13157,6578,3289,21.3,42.6,85.2,0.03,0.02,0.01,0.04,0.02,0.01
COL,Colombia,3792,179,5,7,15.0,10.1,0.12,0.06,0.03,57826,28913,14456,6.6,13.1,26.2,0.10,0.05,0.03,0.14,0.07,0.04
DNK,Denmark,7580,355,2,4,28.3,19.7,2.02,1.01,0.51,116309,58154,29077,6.5,13.0,26.1,1.76,0.88,0.44,2.50,1.25,0.62
FRA,France,154097,19744,3,4,24.3,19.7,9.95,4.98,2.49,6469392,3234696,1617348,2.4,4.8,9.5,8.64,4.32,2.16,12.30,6.15,3.07
FIN,Finland,3783,94,4,7,17.3,9.7,0.56,0.28,0.14,31024,15512,7756,12.2,24.4,48.8,0.49,0.24,0.12,0.70,0.35,0.17
DEU,Germany,145184,4586,2,5,36.6,14.8,2.13,1.06,0.53,1770113,885056,442528,8.2,16.4,32.8,1.76,0.88,0.44,2.82,1.41,0.71
GRC,Greece,2235,113,1,3,134.7,27.6,0.31,0.15,0.08,32131,16065,8032,7.0,13.9,27.8,0.28,0.14,0.07,0.36,0.18,0.09
GTM,Guatemala,257,7,9,10,7.8,6.9,0.02,0.01,0.00,2837,1418,709,9.1,18.1,36.2,0.01,0.01,0.00,0.02,0.01,0.01
HUN,Hungary,1916,189,5,9,14.1,7.9,0.72,0.36,0.18,69961,34980,17490,2.7,5.5,11.0,0.60,0.30,0.15,0.94,0.47,0.23
IND,India,17615,559,9,8,7.9,8.7,0.01,0.01,0.00,195107,97553,48776,9.0,18.1,36.1,0.01,0.01,0.00,0.02,0.01,0.00
IDN,Indonesia,6575,582,6,5,11.2,13.7,0.06,0.03,0.02,166040,83020,41510,4.0,7.9,15.8,0.06,0.03,0.01,0.07,0.04,0.02
IRL,Ireland,15251,610,5,8,14.0,8.7,4.42,2.21,1.11,213051,106525,53262,7.2,14.3,28.6,3.77,1.89,0.94,5.62,2.81,1.40
ITA,Italy,178972,23660,2,2,34.5,30.9,10.69,5.34,2.67,6480420,3240210,1620105,2.8,5.5,11.0,9.77,4.89,2.44,12.23,6.12,3.06
