Country,country-name,cases,deaths,case rate,death rate,doubling cases (days),doubling deaths (days),pct pop 0.5% mort,prct pop 1% mort,prct pop 2% mort,0.5% mort sim cases,1% mort sim cases,2% mort sim cases,prct rep cases 0.5% mort,prct rep cases 1% mort,prct rep cases 2% mort
AUT,Austria,12942,273,3,9,26.7,7.8,3.61,1.80,0.90,320606,160303,80151,4.0,8.1,16.1
ARG,Argentina,1715,63,7,10,10.0,6.8,0.22,0.11,0.05,96065,48032,24016,1.8,3.6,7.1
BRA,Brazil,16170,819,12,16,6.0,4.2,0.40,0.20,0.10,845434,422717,211358,1.9,3.8,7.7
BGR,Bulgaria,593,24,5,14,14.7,4.9,1.13,0.57,0.28,79904,39952,19976,0.7,1.5,3.0
BEL,Belgium,23403,2240,7,14,9.4,5.0,62.55,31.27,15.64,7181963,3590981,1795490,0.3,0.7,1.3
CAN,Canada,1373,26,8,15,8.6,4.7,0.26,0.13,0.07,97444,48722,24361,1.4,2.8,5.6
COL,Colombia,2054,54,9,18,7.8,3.9,0.13,0.06,0.03,63248,31624,15812,3.2,6.5,13.0
DNK,Denmark,5597,218,8,10,9.2,6.7,5.99,2.99,1.50,344513,172256,86128,1.6,3.2,6.5
FRA,France,113959,10887,11,13,6.4,5.2,48.15,24.07,12.04,31292553,15646276,7823138,0.4,0.7,1.5
FIN,Finland,2487,40,8,12,8.6,5.9,1.53,0.77,0.38,84746,42373,21186,2.9,5.9,11.7
DEU,Germany,113296,2349,5,13,13.7,5.4,7.23,3.61,1.81,6006165,3003082,1501541,1.9,3.8,7.5
GRC,Greece,1884,83,4,8,18.5,9.1,0.73,0.36,0.18,76523,38261,19130,2.5,4.9,9.8
HUN,Hungary,895,58,7,15,9.7,4.6,0.54,0.27,0.14,52486,26243,13121,1.7,3.4,6.8
IND,India,5916,178,16,16,4.4,4.3,0.01,0.01,0.00,179034,89517,44758,3.3,6.6,13.2
IDN,Indonesia,2956,240,8,6,8.5,12.3,0.06,0.03,0.01,148735,74367,37183,2.0,4.0,7.9
IRL,Ireland,6074,235,8,15,8.7,4.8,17.76,8.88,4.44,855516,427758,213879,0.7,1.4,2.8
ITA,Italy,139422,17669,3,4,21.0,16.7,13.39,6.69,3.35,8115163,4057581,2028790,1.7,3.4,6.9
ISR,Israel,9404,73,6,14,11.3,5.1,2.60,1.30,0.65,217815,108907,54453,4.3,8.6,17.3
JPN,Japan,4257,93,9,7,7.3,9.2,0.07,0.03,0.02,83332,41666,20833,5.1,10.2,20.4
MEX,Mexico,2785,141,12,23,5.9,3.0,0.22,0.11,0.06,281477,140738,70369,1.0,2.0,4.0
MDA,Moldova,1174,27,15,25,4.7,2.8,1.65,0.82,0.41,66726,33363,16681,1.8,3.5,7.0
NLD,Netherlands,20682,2255,6,9,11.8,7.7,16.07,8.03,4.02,2741302,1370651,685325,0.8,1.5,3.0
NGA,Nigeria,276,6,6,17,11.0,4.1,0.00,0.00,0.00,6411,3205,1602,4.3,8.6,17.2
NOR,Norway,6086,101,3,11,21.6,6.1,3.72,1.86,0.93,198370,99185,49592,3.1,6.1,12.3
PAK,Pakistan,4263,61,10,11,6.8,6.3,0.05,0.03,0.01,110881,55440,27720,3.8,7.7,15.4
PRT,Portugal,13141,380,6,10,10.7,7.0,5.32,2.66,1.33,545276,272638,136319,2.4,4.8,9.6
POL,Poland,5205,159,10,17,6.9,4.0,0.48,0.24,0.12,181737,90868,45434,2.9,5.7,11.5
ROU,Romania,4761,220,9,12,7.5,6.0,2.25,1.13,0.56,439733,219866,109933,1.1,2.2,4.3
RUS,Russia,8672,63,16,13,4.4,5.3,0.12,0.06,0.03,175753,87876,43938,4.9,9.9,19.7
ESP,Spain,148220,14792,5,6,14.2,11.0,22.34,11.17,5.58,10430791,5215395,2607697,1.4,2.8,5.7
SWE,Sweden,8419,687,7,14,9.9,5.0,21.73,10.86,5.43,2166256,1083128,541564,0.4,0.8,1.6
CHE,Switzerland,23280,895,4,9,19.1,8.1,11.72,5.86,2.93,999315,499657,249828,2.3,4.7,9.3
TUR,Turkey,38226,812,13,15,5.5,4.7,3.81,1.90,0.95,3178052,1589026,794513,1.2,2.4,4.8
GBR,UK,65077,7978,10,15,7.1,4.7,45.25,22.63,11.31,30382626,15191313,7595656,0.2,0.4,0.9
UKR,Ukraine,1668,52,10,14,7.0,5.1,0.36,0.18,0.09,158368,79184,39592,1.1,2.1,4.2
USA,US,429052,14695,10,16,7.0,4.4,4.28,2.14,1.07,13994418,6997209,3498604,3.1,6.1,12.3
