Country,country-name,cases,deaths,case rate,death rate,doubling cases (days),doubling deaths (days),pct pop 0.5% mort,prct pop 1% mort,prct pop 2% mort,0.5% mort sim cases,1% mort sim cases,2% mort sim cases,prct rep cases 0.5% mort,prct rep cases 1% mort,prct rep cases 2% mort
AUT,Austria,13244,295,2,9,28.9,7.8,1.24,0.62,0.31,110265,55132,27566,12.0,24.0,48.0
ARG,Argentina,1795,72,5,13,13.2,5.5,0.08,0.04,0.02,34710,17355,8677,5.2,10.3,20.7
BRA,Brazil,18092,950,13,17,5.5,4.0,0.30,0.15,0.08,630491,315245,157622,2.9,5.7,11.5
BGR,Bulgaria,618,24,4,12,18.2,5.6,0.16,0.08,0.04,11353,5676,2838,5.4,10.9,21.8
BEL,Belgium,24983,2523,6,14,11.7,5.0,11.49,5.74,2.87,1319259,659629,329814,1.9,3.8,7.6
CAN,Canada,1423,29,7,14,9.4,5.1,0.04,0.02,0.01,15152,7576,3788,9.4,18.8,37.6
COL,Colombia,2223,69,9,17,7.6,4.0,0.09,0.05,0.02,46903,23451,11725,4.7,9.5,19.0
DNK,Denmark,5830,237,7,7,9.6,9.7,1.36,0.68,0.34,78173,39086,19543,7.5,14.9,29.8
FRA,France,118781,12228,10,10,7.0,6.8,7.71,3.85,1.93,5008476,2504238,1252119,2.4,4.7,9.5
FIN,Finland,2605,42,8,12,8.9,6.0,0.34,0.17,0.09,18985,9492,4746,13.7,27.4,54.9
DEU,Germany,118181,2607,4,13,16.4,5.5,1.51,0.76,0.38,1257055,628527,314263,9.4,18.8,37.6
GRC,Greece,1955,87,4,7,19.0,9.9,0.27,0.14,0.07,28447,14223,7111,6.9,13.7,27.5
HUN,Hungary,980,66,7,17,9.4,4.0,0.46,0.23,0.12,44917,22458,11229,2.2,4.4,8.7
IND,India,6725,226,15,17,4.5,4.1,0.01,0.01,0.00,146544,73272,36636,4.6,9.2,18.4
IDN,Indonesia,3293,280,9,6,7.6,10.8,0.03,0.02,0.01,87630,43815,21907,3.8,7.5,15.0
IRL,Ireland,6574,263,7,14,10.3,4.9,2.94,1.47,0.74,141797,70898,35449,4.6,9.3,18.5
ITA,Italy,143626,18279,3,3,26.0,19.9,9.81,4.90,2.45,5947086,2973543,1486771,2.4,4.8,9.7
ISR,Israel,9968,86,6,14,11.9,5.1,0.54,0.27,0.13,44953,22476,11238,22.2,44.3,88.7
JPN,Japan,4667,94,9,7,7.4,10.2,0.02,0.01,0.01,30238,15119,7559,15.4,30.9,61.7
MEX,Mexico,3181,174,13,22,5.3,3.1,0.13,0.07,0.03,167368,83684,41842,1.9,3.8,7.6
MDA,Moldova,1289,29,10,23,7.0,3.0,0.74,0.37,0.18,29792,14896,7448,4.3,8.7,17.3
NLD,Netherlands,21903,2403,5,9,14.2,7.9,5.19,2.60,1.30,885546,442773,221386,2.5,4.9,9.9
NGA,Nigeria,288,7,6,16,11.2,4.5,0.00,0.00,0.00,4163,2081,1040,6.9,13.8,27.7
NOR,Norway,6211,108,3,11,23.3,6.2,0.89,0.44,0.22,47346,23673,11836,13.1,26.2,52.5
PAK,Pakistan,4489,65,10,8,7.2,8.8,0.01,0.01,0.00,22585,11292,5646,19.9,39.8,79.5
PRT,Portugal,13956,409,5,9,12.8,8.1,1.45,0.72,0.36,148706,74353,37176,9.4,18.8,37.5
POL,Poland,5575,174,8,17,8.9,4.1,0.30,0.15,0.08,113945,56972,28486,4.9,9.8,19.6
ROU,Romania,5202,248,8,12,9.2,5.7,0.60,0.30,0.15,116140,58070,29035,4.5,9.0,17.9
RUS,Russia,10131,76,16,13,4.4,5.2,0.03,0.01,0.01,38624,19312,9656,26.2,52.5,104.9
ESP,Spain,153222,15447,4,5,18.0,13.7,9.42,4.71,2.35,4396923,2198461,1099230,3.5,7.0,13.9
SWE,Sweden,9141,793,7,17,9.4,4.0,5.33,2.67,1.33,531851,265925,132962,1.7,3.4,6.9
CHE,Switzerland,24051,948,3,7,20.7,9.6,3.68,1.84,0.92,314090,157045,78522,7.7,15.3,30.6
TUR,Turkey,42282,908,11,11,6.2,6.1,0.48,0.24,0.12,403717,201858,100929,10.5,20.9,41.9
GBR,UK,70272,8958,8,13,8.9,5.4,6.54,3.27,1.64,4392397,2196198,1098099,1.6,3.2,6.4
UKR,Ukraine,1892,57,10,13,6.9,5.2,0.07,0.03,0.02,28866,14433,7216,6.6,13.1,26.2
USA,US,461437,16478,8,14,8.8,5.0,2.66,1.33,0.66,8696007,4348003,2174001,5.3,10.6,21.2
