Country,country-name,cases,deaths,case rate,death rate,doubling cases (days),doubling deaths (days),pct pop 0.5% mort,prct pop 1% mort,prct pop 2% mort,0.5% mort sim cases,1% mort sim cases,2% mort sim cases,prct rep cases 0.5% mort,prct rep cases 1% mort,prct rep cases 2% mort
AUT,Austria,12051,204,3,8,23.7,8.3,2.42,1.21,0.61,215516,107758,53879,5.6,11.2,22.4
ARG,Argentina,1451,44,9,11,7.8,6.4,0.17,0.09,0.04,76558,38279,19139,1.9,3.8,7.6
BRA,Brazil,11130,486,12,17,5.6,4.0,0.26,0.13,0.07,547433,273716,136858,2.0,4.1,8.1
BGR,Bulgaria,531,20,6,19,12.5,3.6,0.39,0.19,0.10,27200,13600,6800,2.0,3.9,7.8
BEL,Belgium,19691,1447,9,14,8.0,5.1,37.86,18.93,9.47,4347126,2173563,1086781,0.5,0.9,1.8
CAN,Canada,1181,20,10,19,6.9,3.6,0.07,0.04,0.02,27350,13675,6837,4.3,8.6,17.3
COL,Colombia,1485,35,9,20,8.1,3.5,0.10,0.05,0.03,49972,24986,12493,3.0,5.9,11.9
DNK,Denmark,4561,179,8,14,8.3,5.1,9.36,4.68,2.34,538273,269136,134568,0.8,1.7,3.4
FRA,France,93773,8093,14,17,5.0,4.0,14.00,7.00,3.50,9100045,4550022,2275011,1.0,2.1,4.1
FIN,Finland,1927,28,8,13,8.8,5.4,1.29,0.65,0.32,71350,35675,17837,2.7,5.4,10.8
DEU,Germany,100123,1584,6,14,11.0,5.1,5.70,2.85,1.42,4736894,2368447,1184223,2.1,4.2,8.5
GRC,Greece,1735,73,5,10,14.2,6.9,1.04,0.52,0.26,109201,54600,27300,1.6,3.2,6.4
HUN,Hungary,733,34,8,15,8.5,4.7,1.36,0.68,0.34,131876,65938,32969,0.6,1.1,2.2
IND,India,3588,99,14,12,5.1,5.6,0.02,0.01,0.00,239787,119893,59946,1.5,3.0,6.0
IDN,Indonesia,2273,198,8,6,9.1,11.9,0.05,0.02,0.01,126452,63226,31613,1.8,3.6,7.2
IRL,Ireland,4994,158,9,16,7.5,4.4,3.17,1.58,0.79,152636,76318,38159,3.3,6.5,13.1
ITA,Italy,128948,15887,4,5,18.0,14.6,13.59,6.79,3.40,8237684,4118842,2059421,1.6,3.1,6.3
ISR,Israel,8430,49,8,15,8.8,4.7,2.20,1.10,0.55,184678,92339,46169,4.6,9.1,18.3
JPN,Japan,3139,77,10,8,7.2,8.5,0.06,0.03,0.02,79101,39550,19775,4.0,7.9,15.9
MEX,Mexico,1890,79,11,25,6.4,2.8,0.15,0.08,0.04,190136,95068,47534,1.0,2.0,4.0
MDA,Moldova,864,15,18,29,3.8,2.4,1.33,0.67,0.33,54000,27000,13500,1.6,3.2,6.4
NLD,Netherlands,17953,1771,7,10,10.4,6.7,16.34,8.17,4.09,2787625,1393812,696906,0.6,1.3,2.6
NGA,Nigeria,232,5,7,25,9.5,2.7,0.01,0.00,0.00,12500,6250,3125,1.9,3.7,7.4
NOR,Norway,5687,71,4,12,17.8,5.9,2.77,1.39,0.69,148031,74015,37007,3.8,7.7,15.4
PAK,Pakistan,3157,47,10,13,7.3,5.3,0.06,0.03,0.01,125508,62754,31377,2.5,5.0,10.1
PRT,Portugal,11278,295,8,12,8.9,6.0,5.77,2.89,1.44,591894,295947,147973,1.9,3.8,7.6
POL,Poland,4102,94,12,19,6.0,3.7,0.33,0.16,0.08,124517,62258,31129,3.3,6.6,13.2
ROU,Romania,3864,151,12,12,5.9,5.6,1.81,0.91,0.45,353242,176621,88310,1.1,2.2,4.4
RUS,Russia,5389,45,16,16,4.3,4.3,0.03,0.02,0.01,45351,22675,11337,11.9,23.8,47.5
ESP,Spain,131646,12641,6,7,11.8,9.4,23.74,11.87,5.93,11082424,5541212,2770606,1.2,2.4,4.8
SWE,Sweden,6830,401,8,12,8.8,5.7,9.35,4.67,2.34,932129,466064,233032,0.7,1.5,2.9
CHE,Switzerland,21100,715,4,10,16.2,7.1,11.93,5.97,2.98,1017418,508709,254354,2.1,4.1,8.3
TUR,Turkey,27069,574,14,18,5.1,3.9,0.83,0.42,0.21,693735,346867,173433,3.9,7.8,15.6
GBR,UK,47817,4934,12,19,5.8,3.7,9.55,4.78,2.39,6412106,3206053,1603026,0.7,1.5,3.0
UKR,Ukraine,1308,37,13,16,5.3,4.3,0.08,0.04,0.02,36838,18419,9209,3.6,7.1,14.2
USA,US,337072,9619,12,18,6.0,3.9,3.41,1.71,0.85,11159195,5579597,2789798,3.0,6.0,12.1
