Country,country-name,cases,deaths,case rate,death rate,doubling cases (days),doubling deaths (days),pct pop 0.5% mort,prct pop 1% mort,prct pop 2% mort,0.5% mort sim cases,1% mort sim cases,2% mort sim cases,prct rep cases 0.5% mort,prct rep cases 1% mort,prct rep cases 2% mort,pct pop 0.5% mort (10d),prct pop 1% mort (10d),prct pop 2% (10d),pct pop 0.5% mort (20d),prct pop 1% mort (20d),prct pop 2% (20d) 
AUT,Austria,15225,542,0,1,140.1,46.8,1.50,0.75,0.38,133389,66694,33347,11.4,22.8,45.7,1.41,0.71,0.35,1.64,0.82,0.41
ARG,Argentina,3892,192,5,6,13.3,11.9,0.13,0.07,0.03,57697,28848,14424,6.7,13.5,27.0,0.12,0.06,0.03,0.15,0.08,0.04
BRA,Brazil,63100,4286,8,10,8.5,7.1,0.81,0.40,0.20,1695440,847720,423860,3.7,7.4,14.9,0.67,0.33,0.17,1.08,0.54,0.27
BGR,Bulgaria,1300,56,6,3,11.4,21.4,0.25,0.12,0.06,17607,8803,4401,7.4,14.8,29.5,0.22,0.11,0.05,0.30,0.15,0.08
BEL,Belgium,46134,7094,3,3,27.7,22.1,19.16,9.58,4.79,2199693,1099846,549923,2.1,4.2,8.4,16.90,8.45,4.23,23.12,11.56,5.78
CAN,Canada,47147,2663,3,6,23.3,11.1,2.23,1.11,0.56,825390,412695,206347,5.7,11.4,22.8,1.96,0.98,0.49,2.69,1.34,0.67
COL,Colombia,5379,244,5,4,12.8,16.5,0.18,0.09,0.04,87733,43866,21933,6.1,12.3,24.5,0.15,0.07,0.04,0.23,0.11,0.06
DNK,Denmark,8773,422,2,2,34.4,28.0,2.08,1.04,0.52,119410,59705,29852,7.3,14.7,29.4,1.88,0.94,0.47,2.41,1.20,0.60
FRA,France,162220,22890,1,2,89.5,40.5,8.95,4.48,2.24,5818166,2909083,1454541,2.8,5.6,11.2,8.36,4.18,2.09,9.92,4.96,2.48
FIN,Finland,4576,190,2,6,27.8,12.3,1.02,0.51,0.26,56411,28205,14102,8.1,16.2,32.4,0.91,0.46,0.23,1.21,0.61,0.30
DEU,Germany,157770,5976,1,3,60.7,23.0,2.19,1.10,0.55,1821045,910522,455261,8.7,17.3,34.7,1.94,0.97,0.49,2.62,1.31,0.66
GRC,Greece,2517,134,1,2,65.5,28.5,0.36,0.18,0.09,37676,18838,9419,6.7,13.4,26.7,0.32,0.16,0.08,0.41,0.21,0.10
GTM,Guatemala,500,15,11,14,6.2,4.9,0.05,0.02,0.01,8130,4065,2032,6.1,12.3,24.6,0.04,0.02,0.01,0.07,0.04,0.02
HUN,Hungary,2500,272,4,5,19.7,14.7,1.08,0.54,0.27,105231,52615,26307,2.4,4.8,9.5,0.90,0.45,0.22,1.44,0.72,0.36
IND,India,27890,881,7,6,10.5,10.7,0.02,0.01,0.01,277670,138835,69417,10.0,20.1,40.2,0.02,0.01,0.00,0.02,0.01,0.01
IDN,Indonesia,8882,743,5,4,15.0,16.5,0.10,0.05,0.03,267929,133964,66982,3.3,6.6,13.3,0.08,0.04,0.02,0.13,0.06,0.03
IRL,Ireland,19262,1087,3,10,20.3,7.0,8.98,4.49,2.25,432895,216447,108223,4.4,8.9,17.8,7.38,3.69,1.84,12.07,6.04,3.02
