Country,country-name,cases,deaths,case rate,death rate,doubling cases (days),doubling deaths (days),pct pop 0.5% mort,prct pop 1% mort,prct pop 2% mort,0.5% mort sim cases,1% mort sim cases,2% mort sim cases,prct rep cases 0.5% mort,prct rep cases 1% mort,prct rep cases 2% mort,pct pop 0.5% mort (10d),prct pop 1% mort (10d),prct pop 2% (10d),pct pop 0.5% mort (20d),prct pop 1% mort (20d),prct pop 2% (20d) 
AUT,Austria,15274,549,0,1,150.3,56.2,1.47,0.73,0.37,130478,65239,32619,11.7,23.4,46.8,1.40,0.70,0.35,1.58,0.79,0.40
ARG,Argentina,4003,197,4,4,18.1,15.7,0.16,0.08,0.04,73105,36552,18276,5.5,11.0,21.9,0.14,0.07,0.03,0.21,0.11,0.05
BRA,Brazil,67446,4603,8,8,9.2,8.7,0.77,0.38,0.19,1603580,801790,400895,4.2,8.4,16.8,0.65,0.33,0.16,0.97,0.49,0.24
BGR,Bulgaria,1363,58,5,3,14.3,27.2,0.24,0.12,0.06,16571,8285,4142,8.2,16.5,32.9,0.21,0.11,0.05,0.27,0.14,0.07
BEL,Belgium,46687,7207,2,3,32.3,25.7,18.32,9.16,4.58,2103118,1051559,525779,2.2,4.4,8.9,16.44,8.22,4.11,21.54,10.77,5.38
CAN,Canada,49616,2841,3,6,20.3,11.9,2.31,1.15,0.58,855328,427664,213832,5.8,11.6,23.2,2.05,1.03,0.51,2.75,1.37,0.69
COL,Colombia,5597,253,5,4,13.7,17.0,0.18,0.09,0.05,89402,44701,22350,6.3,12.5,25.0,0.15,0.08,0.04,0.23,0.11,0.06
DNK,Denmark,8896,427,2,2,36.8,33.5,1.98,0.99,0.50,114097,57048,28524,7.8,15.6,31.2,1.83,0.91,0.46,2.25,1.12,0.56
FRA,France,165963,23327,1,2,73.7,44.9,8.91,4.45,2.23,5790436,2895218,1447609,2.9,5.7,11.5,8.38,4.19,2.09,9.77,4.89,2.44
FIN,Finland,4695,193,2,3,31.0,23.0,1.07,0.53,0.27,58851,29425,14712,8.0,16.0,31.9,0.94,0.47,0.24,1.28,0.64,0.32
DEU,Germany,158758,6126,1,2,77.1,30.8,2.02,1.01,0.51,1679578,839789,419894,9.5,18.9,37.8,1.85,0.92,0.46,2.31,1.16,0.58
GRC,Greece,2534,136,1,2,102.5,34.8,0.34,0.17,0.09,35938,17969,8984,7.1,14.1,28.2,0.32,0.16,0.08,0.38,0.19,0.10
GTM,Guatemala,530,15,8,9,8.7,7.4,0.03,0.02,0.01,5754,2877,1438,9.2,18.4,36.8,0.03,0.01,0.01,0.04,0.02,0.01
