Country,country-name,cases,deaths,case rate,death rate,doubling cases (days),doubling deaths (days),pct pop 0.5% mort,prct pop 1% mort,prct pop 2% mort,0.5% mort sim cases,1% mort sim cases,2% mort sim cases,prct rep cases 0.5% mort,prct rep cases 1% mort,prct rep cases 2% mort,pct pop 0.5% mort (10d),prct pop 1% mort (10d),prct pop 2% (10d),pct pop 0.5% mort (20d),prct pop 1% mort (20d),prct pop 2% (20d) 
AUT,Austria,10180,128,7,20,9.6,3.4,1.21,0.60,0.30,107195,53597,26798,9.5,19.0,38.0,0.80,0.40,0.20,2.23,1.11,0.56
ARG,Argentina,1054,27,24,15,2.9,4.7,0.03,0.02,0.01,15211,7605,3802,6.9,13.9,27.7,0.03,0.01,0.01,0.05,0.03,0.01
BRA,Brazil,5717,201,30,19,2.3,3.6,0.07,0.04,0.02,154400,77200,38600,3.7,7.4,14.8,0.05,0.03,0.01,0.13,0.07,0.03
BGR,Bulgaria,399,8,21,9,3.3,7.4,0.04,0.02,0.01,3084,1542,771,12.9,25.9,51.7,0.04,0.02,0.01,0.06,0.03,0.01
BEL,Belgium,12775,705,24,22,2.9,3.2,5.56,2.78,1.39,638361,319180,159590,2.0,4.0,8.0,3.61,1.81,0.90,10.62,5.31,2.66
CAN,Canada,690,8,15,7,4.8,9.5,0.01,0.00,0.00,2672,1336,668,25.8,51.6,103.3,0.01,0.00,0.00,0.01,0.00,0.00
COL,Colombia,906,16,13,21,5.3,3.3,0.03,0.01,0.01,14060,7030,3515,6.4,12.9,25.8,0.02,0.01,0.00,0.05,0.03,0.01
DNK,Denmark,3039,90,8,26,8.7,2.7,1.90,0.95,0.48,109340,54670,27335,2.8,5.6,11.1,1.14,0.57,0.28,4.12,2.06,1.03
FRA,France,52827,3532,11,14,6.4,4.9,2.91,1.46,0.73,1893703,946851,473425,2.8,5.6,11.2,2.20,1.10,0.55,4.45,2.22,1.11
FIN,Finland,1418,17,8,21,9.1,3.2,0.28,0.14,0.07,15232,7616,3808,9.3,18.6,37.2,0.18,0.09,0.04,0.52,0.26,0.13
DEU,Germany,71808,775,8,20,8.3,3.4,0.77,0.39,0.19,643973,321986,160993,11.2,22.3,44.6,0.52,0.26,0.13,1.43,0.71,0.36
GRC,Greece,1314,49,7,14,9.3,4.9,0.25,0.13,0.06,26381,13190,6595,5.0,10.0,19.9,0.19,0.09,0.05,0.38,0.19,0.10
GTM,Guatemala,38,1,20,0,3.5,inf,0.00,0.00,0.00,200,100,50,19.0,38.0,76.0,0.00,0.00,0.00,0.00,0.00,0.00
HUN,Hungary,492,16,13,13,5.5,5.5,0.08,0.04,0.02,7677,3838,1919,6.4,12.8,25.6,0.06,0.03,0.02,0.12,0.06,0.03
IND,India,1397,35,19,14,3.7,4.9,0.00,0.00,0.00,18741,9370,4685,7.5,14.9,29.8,0.00,0.00,0.00,0.00,0.00,0.00
IDN,Indonesia,1528,136,10,24,7.2,2.9,0.05,0.03,0.01,147083,73541,36770,1.0,2.1,4.2,0.03,0.02,0.01,0.11,0.06,0.03
IRL,Ireland,3235,71,10,22,6.7,3.2,1.34,0.67,0.33,64503,32251,16125,5.0,10.0,20.1,0.87,0.43,0.22,2.56,1.28,0.64
ITA,Italy,105792,12428,5,8,13.9,9.1,6.99,3.49,1.75,4235003,2117501,1058750,2.5,5.0,10.0,6.00,3.00,1.50,8.78,4.39,2.19
IRN,Iran,44605,2898,8,5,8.6,14.2,1.40,0.70,0.35,1145475,572737,286368,3.9,7.8,15.6,1.15,0.58,0.29,1.88,0.94,0.47
ISR,Israel,5358,20,23,34,3.0,2.0,0.53,0.27,0.13,44450,22225,11112,12.1,24.1,48.2,0.27,0.13,0.07,1.49,0.74,0.37
JPN,Japan,1953,56,7,9,10.3,7.5,0.02,0.01,0.00,21395,10697,5348,9.1,18.3,36.5,0.01,0.01,0.00,0.02,0.01,0.01
MEX,Mexico,1094,28,16,28,4.4,2.5,0.03,0.02,0.01,39866,19933,9966,2.7,5.5,11.0,0.02,0.01,0.00,0.07,0.04,0.02
MDA,Moldova,353,4,14,9,4.9,7.8,0.04,0.02,0.01,1484,742,371,23.8,47.5,95.1,0.03,0.02,0.01,0.05,0.02,0.01
NLD,Netherlands,12667,1040,9,16,7.3,4.4,3.70,1.85,0.93,631412,315706,157853,2.0,4.0,8.0,2.70,1.35,0.67,5.96,2.98,1.49
NGA,Nigeria,135,2,20,8,3.5,8.6,0.00,0.00,0.00,704,352,176,19.2,38.3,76.6,0.00,0.00,0.00,0.00,0.00,0.00
NOR,Norway,4641,39,5,18,13.2,3.9,0.50,0.25,0.13,26898,13449,6724,17.3,34.5,69.0,0.35,0.18,0.09,0.86,0.43,0.21
PAK,Pakistan,1938,26,8,21,8.4,3.2,0.01,0.01,0.00,23398,11699,5849,8.3,16.6,33.1,0.01,0.00,0.00,0.02,0.01,0.01
PRT,Portugal,7443,160,29,36,2.4,1.9,3.78,1.89,0.94,387383,193691,96845,1.9,3.8,7.7,1.85,0.93,0.46,11.00,5.50,2.75
POL,Poland,2311,33,12,15,5.6,4.5,0.05,0.03,0.01,19347,9673,4836,11.9,23.9,47.8,0.04,0.02,0.01,0.08,0.04,0.02
ROU,Romania,2245,82,24,29,2.9,2.4,0.62,0.31,0.16,121483,60741,30370,1.8,3.7,7.4,0.35,0.18,0.09,1.47,0.73,0.37
RUS,Russia,2337,17,20,27,3.5,2.6,0.02,0.01,0.00,22159,11079,5539,10.5,21.1,42.2,0.01,0.00,0.00,0.03,0.02,0.01
ESP,Spain,95923,8464,9,13,7.4,5.5,8.71,4.36,2.18,4068945,2034472,1017236,2.4,4.7,9.4,6.78,3.39,1.70,12.69,6.35,3.17
SWE,Sweden,4435,180,9,27,7.8,2.5,2.45,1.23,0.61,244408,122204,61102,1.8,3.6,7.3,1.42,0.71,0.35,5.57,2.79,1.39
CHE,Switzerland,16605,433,6,16,11.1,4.4,3.04,1.52,0.76,258813,129406,64703,6.4,12.8,25.7,2.22,1.11,0.56,4.85,2.43,1.21
TUR,Turkey,13531,214,21,21,3.3,3.3,0.23,0.11,0.06,190125,95062,47531,7.1,14.2,28.5,0.15,0.07,0.04,0.43,0.22,0.11
GBR,UK,25150,1789,14,20,5.1,3.4,2.22,1.11,0.55,1490240,745120,372560,1.7,3.4,6.8,1.48,0.74,0.37,4.09,2.05,1.02
UKR,Ukraine,645,17,19,15,3.7,4.6,0.02,0.01,0.01,9813,4906,2453,6.6,13.1,26.3,0.02,0.01,0.00,0.03,0.02,0.01
ARE,United Arab Emirates,664,6,12,9,5.8,7.3,0.02,0.01,0.01,2322,1161,580,28.6,57.2,114.4,0.02,0.01,0.00,0.03,0.02,0.01
USA,US,188172,3873,15,22,4.6,3.2,1.09,0.54,0.27,3555814,1777907,888953,5.3,10.6,21.2,0.70,0.35,0.18,2.09,1.04,0.52
