Country,country-name,cases,deaths,case rate,death rate,doubling cases (days),doubling deaths (days),pct pop 0.5% mort,prct pop 1% mort,prct pop 2% mort,0.5% mort sim cases,1% mort sim cases,2% mort sim cases,prct rep cases 0.5% mort,prct rep cases 1% mort,prct rep cases 2% mort,pct pop 0.5% mort (10d),prct pop 1% mort (10d),prct pop 2% (10d),pct pop 0.5% mort (20d),prct pop 1% mort (20d),prct pop 2% (20d) 
AUT,Austria,13806,337,2,9,31.1,7.9,1.40,0.70,0.35,124349,62174,31087,11.1,22.2,44.4,1.17,0.59,0.29,1.82,0.91,0.45
ARG,Argentina,1975,83,6,11,11.1,6.6,0.08,0.04,0.02,34663,17331,8665,5.7,11.4,22.8,0.06,0.03,0.02,0.11,0.05,0.03
BRA,Brazil,20727,1124,11,15,6.2,4.5,0.32,0.16,0.08,660386,330193,165096,3.1,6.3,12.6,0.23,0.12,0.06,0.50,0.25,0.13
BGR,Bulgaria,661,28,3,10,20.4,6.8,0.16,0.08,0.04,11464,5732,2866,5.8,11.5,23.1,0.13,0.07,0.03,0.22,0.11,0.06
BEL,Belgium,28018,3346,6,14,11.6,5.0,15.32,7.66,3.83,1759318,879659,439829,1.6,3.2,6.4,11.62,5.81,2.91,23.19,11.59,5.80
CAN,Canada,1567,40,6,13,10.8,5.3,0.05,0.03,0.01,19983,9991,4995,7.8,15.7,31.4,0.04,0.02,0.01,0.08,0.04,0.02
COL,Colombia,2709,100,9,17,7.4,4.0,0.14,0.07,0.03,67260,33630,16815,4.0,8.1,16.1,0.10,0.05,0.02,0.23,0.11,0.06
DNK,Denmark,6191,260,6,6,10.7,11.2,1.40,0.70,0.35,80249,40124,20062,7.7,15.4,30.9,1.23,0.62,0.31,1.68,0.84,0.42
FRA,France,130727,13851,4,11,15.6,6.1,9.50,4.75,2.38,6174729,3087364,1543682,2.1,4.2,8.5,7.56,3.78,1.89,13.40,6.70,3.35
FIN,Finland,2905,49,6,11,12.2,6.2,0.39,0.19,0.10,21518,10759,5379,13.5,27.0,54.0,0.31,0.16,0.08,0.55,0.27,0.14
DEU,Germany,124908,2736,5,11,15.2,6.1,1.46,0.73,0.36,1210281,605140,302570,10.3,20.6,41.3,1.16,0.58,0.29,2.05,1.02,0.51
GRC,Greece,2081,93,3,6,21.7,11.2,0.27,0.14,0.07,28634,14317,7158,7.3,14.5,29.1,0.24,0.12,0.06,0.33,0.16,0.08
GTM,Guatemala,137,3,12,13,5.8,5.3,0.01,0.00,0.00,1500,750,375,9.1,18.3,36.5,0.01,0.00,0.00,0.01,0.01,0.00
HUN,Hungary,1310,85,9,15,8.1,4.6,0.51,0.25,0.13,49326,24663,12331,2.7,5.3,10.6,0.37,0.19,0.09,0.80,0.40,0.20
IND,India,8446,288,12,17,5.9,4.2,0.01,0.01,0.00,183748,91874,45937,4.6,9.2,18.4,0.01,0.00,0.00,0.02,0.01,0.01
IDN,Indonesia,3842,327,8,10,8.3,6.8,0.05,0.03,0.01,134169,67084,33542,2.9,5.7,11.5,0.04,0.02,0.01,0.07,0.03,0.02
IRL,Ireland,8928,320,9,10,7.9,6.7,2.76,1.38,0.69,132755,66377,33188,6.7,13.5,26.9,2.24,1.12,0.56,3.77,1.88,0.94
ITA,Italy,152271,19468,3,3,24.0,21.6,10.06,5.03,2.52,6101692,3050846,1525423,2.5,5.0,10.0,8.85,4.43,2.21,12.20,6.10,3.05
IRN,Iran,70029,4357,3,3,24.8,23.6,1.61,0.80,0.40,1315432,657716,328858,5.3,10.6,21.3,1.43,0.71,0.36,1.92,0.96,0.48
ISR,Israel,10743,101,5,13,13.1,5.3,0.60,0.30,0.15,50049,25024,12512,21.5,42.9,85.9,0.46,0.23,0.12,0.88,0.44,0.22
JPN,Japan,6005,99,10,6,7.0,11.9,0.02,0.01,0.01,29731,14865,7432,20.2,40.4,80.8,0.02,0.01,0.01,0.03,0.01,0.01
MEX,Mexico,3844,233,12,16,5.9,4.4,0.11,0.06,0.03,139321,69660,34830,2.8,5.5,11.0,0.08,0.04,0.02,0.18,0.09,0.04
MDA,Moldova,1560,30,10,19,7.0,3.6,0.57,0.28,0.14,23019,11509,5754,6.8,13.6,27.1,0.39,0.19,0.10,1.01,0.51,0.25
NLD,Netherlands,24571,2653,6,6,12.4,12.1,4.64,2.32,1.16,791331,395665,197832,3.1,6.2,12.4,4.14,2.07,1.03,5.51,2.75,1.38
NGA,Nigeria,318,10,6,14,11.6,4.8,0.00,0.00,0.00,5442,2721,1360,5.8,11.7,23.4,0.00,0.00,0.00,0.00,0.00,0.00
NOR,Norway,6409,119,3,10,26.4,6.8,0.91,0.46,0.23,48701,24350,12175,13.2,26.3,52.6,0.74,0.37,0.19,1.24,0.62,0.31
PAK,Pakistan,5011,86,5,10,13.1,7.0,0.02,0.01,0.00,34394,17197,8598,14.6,29.1,58.3,0.01,0.01,0.00,0.02,0.01,0.01
PRT,Portugal,15987,470,6,8,10.8,9.2,1.55,0.78,0.39,159298,79649,39824,10.0,20.1,40.1,1.34,0.67,0.33,1.95,0.97,0.49
POL,Poland,6356,208,7,15,10.2,4.5,0.32,0.16,0.08,122005,61002,30501,5.2,10.4,20.8,0.24,0.12,0.06,0.51,0.26,0.13
ROU,Romania,5990,291,7,10,9.3,7.0,0.59,0.30,0.15,115978,57989,28994,5.2,10.3,20.7,0.49,0.24,0.12,0.80,0.40,0.20
RUS,Russia,13584,106,15,14,4.6,4.9,0.04,0.02,0.01,56580,28290,14145,24.0,48.0,96.0,0.03,0.01,0.01,0.06,0.03,0.01
ESP,Spain,163027,16606,3,4,20.2,16.6,12.78,6.39,3.20,5967286,2983643,1491821,2.7,5.5,10.9,10.81,5.40,2.70,16.43,8.21,4.11
SWE,Sweden,10151,887,7,13,10.0,5.2,4.54,2.27,1.13,452245,226122,113061,2.2,4.5,9.0,3.47,1.74,0.87,6.77,3.39,1.69
CHE,Switzerland,25107,1036,3,8,20.5,9.1,4.15,2.08,1.04,353924,176962,88481,7.1,14.2,28.4,3.56,1.78,0.89,5.22,2.61,1.31
TUR,Turkey,52167,1101,11,10,6.6,6.6,0.55,0.28,0.14,459172,229586,114793,11.4,22.7,45.4,0.45,0.22,0.11,0.75,0.38,0.19
GBR,UK,79345,10612,7,10,10.3,6.8,6.45,3.22,1.61,4328015,2164007,1082003,1.8,3.7,7.3,5.26,2.63,1.31,8.75,4.37,2.19
UKR,Ukraine,2511,73,14,13,5.1,5.3,0.08,0.04,0.02,36629,18314,9157,6.9,13.7,27.4,0.06,0.03,0.02,0.12,0.06,0.03
ARE,United Arab Emirates,3736,20,12,8,6.0,8.3,0.07,0.04,0.02,7195,3597,1798,51.9,103.8,207.7,0.06,0.03,0.02,0.10,0.05,0.02
USA,US,526396,20463,7,12,9.7,5.8,2.87,1.43,0.72,9384047,4692023,2346011,5.6,11.2,22.4,2.26,1.13,0.57,4.09,2.05,1.02
