Country,country-name,cases,deaths,case rate,death rate,doubling cases (days),doubling deaths (days),pct pop 0.5% mort,prct pop 1% mort,prct pop 2% mort,0.5% mort sim cases,1% mort sim cases,2% mort sim cases,prct rep cases 0.5% mort,prct rep cases 1% mort,prct rep cases 2% mort,pct pop 0.5% mort (10d),prct pop 1% mort (10d),prct pop 2% (10d),pct pop 0.5% mort (20d),prct pop 1% mort (20d),prct pop 2% (20d) 
AUT,Austria,15871,618,0,0,240.4,163.4,1.48,0.74,0.37,131164,65582,32791,12.1,24.2,48.4,1.45,0.73,0.36,1.51,0.76,0.38
ARG,Argentina,6034,305,4,3,18.9,24.4,0.20,0.10,0.05,90726,45363,22681,6.7,13.3,26.6,0.18,0.09,0.05,0.24,0.12,0.06
BRA,Brazil,162699,11123,6,7,10.8,10.4,1.69,0.85,0.42,3544123,1772061,886030,4.6,9.2,18.4,1.48,0.74,0.37,2.07,1.03,0.52
BGR,Bulgaria,1965,91,2,2,27.8,30.3,0.36,0.18,0.09,25081,12540,6270,7.8,15.7,31.3,0.32,0.16,0.08,0.41,0.20,0.10
BEL,Belgium,53081,8656,1,1,62.3,73.6,17.20,8.60,4.30,1975120,987560,493780,2.7,5.4,10.7,16.57,8.28,4.14,18.20,9.10,4.55
CAN,Canada,70091,4991,2,3,34.6,21.1,4.26,2.13,1.07,1579575,789787,394893,4.4,8.9,17.7,3.74,1.87,0.93,5.19,2.59,1.30
COL,Colombia,11063,463,5,4,13.2,17.5,0.32,0.16,0.08,161397,80698,40349,6.9,13.7,27.4,0.28,0.14,0.07,0.41,0.21,0.10
DNK,Denmark,10627,529,1,1,59.1,61.9,2.15,1.08,0.54,123757,61878,30939,8.6,17.2,34.3,2.06,1.03,0.51,2.30,1.15,0.58
FRA,France,177094,26383,0,1,160.2,123.5,8.78,4.39,2.20,5707828,2853914,1426957,3.1,6.2,12.4,8.59,4.29,2.15,9.08,4.54,2.27
FIN,Finland,5962,267,2,2,40.6,45.0,1.20,0.60,0.30,66258,33129,16564,9.0,18.0,36.0,1.13,0.56,0.28,1.32,0.66,0.33
DEU,Germany,171879,7569,1,1,126.4,69.1,2.10,1.05,0.52,1741896,870948,435474,9.9,19.7,39.5,2.01,1.01,0.50,2.23,1.11,0.56
GRC,Greece,2716,151,1,1,135.1,94.0,0.32,0.16,0.08,33485,16742,8371,8.1,16.2,32.4,0.31,0.15,0.08,0.33,0.17,0.08
GTM,Guatemala,1052,26,7,5,9.9,14.8,0.06,0.03,0.01,10036,5018,2509,10.5,21.0,41.9,0.05,0.02,0.01,0.08,0.04,0.02
HUN,Hungary,3263,413,1,3,60.2,26.7,1.22,0.61,0.31,118799,59399,29699,2.7,5.5,11.0,1.10,0.55,0.28,1.43,0.72,0.36
IND,India,67161,2212,6,5,11.9,12.9,0.05,0.02,0.01,643511,321755,160877,10.4,20.9,41.7,0.04,0.02,0.01,0.06,0.03,0.01
IDN,Indonesia,14032,973,3,2,22.6,35.0,0.10,0.05,0.02,256699,128349,64174,5.5,10.9,21.9,0.09,0.04,0.02,0.11,0.05,0.03
IRL,Ireland,22996,1458,1,1,83.8,47.0,7.44,3.72,1.86,358439,179219,89609,6.4,12.8,25.7,7.01,3.51,1.75,8.13,4.06,2.03
ITA,Italy,219070,30560,1,1,129.2,95.4,11.16,5.58,2.79,6766358,3383179,1691589,3.2,6.5,13.0,10.84,5.42,2.71,11.66,5.83,2.91
IRN,Iran,107603,6640,1,1,48.4,82.7,1.83,0.91,0.46,1493238,746619,373309,7.2,14.4,28.8,1.77,0.88,0.44,1.92,0.96,0.48
ISR,Israel,16477,252,0,1,279.3,51.5,0.73,0.36,0.18,60858,30429,15214,27.1,54.1,108.3,0.69,0.34,0.17,0.79,0.39,0.20
JPN,Japan,15777,624,1,3,87.2,24.6,0.15,0.07,0.04,185071,92535,46267,8.5,17.0,34.1,0.13,0.07,0.03,0.17,0.09,0.04
MEX,Mexico,35022,3465,6,6,11.6,11.2,0.85,0.42,0.21,1069805,534902,267451,3.3,6.5,13.1,0.75,0.37,0.19,1.02,0.51,0.26
MDA,Moldova,4927,169,2,4,28.0,15.8,1.54,0.77,0.39,62474,31237,15618,7.9,15.8,31.5,1.29,0.65,0.32,2.01,1.00,0.50
NLD,Netherlands,42826,5459,1,1,90.7,60.7,7.51,3.76,1.88,1281225,640612,320306,3.3,6.7,13.4,7.17,3.59,1.79,8.04,4.02,2.01
NGA,Nigeria,4399,143,8,8,8.3,8.3,0.03,0.01,0.01,51326,25663,12831,8.6,17.1,34.3,0.02,0.01,0.01,0.03,0.02,0.01
NOR,Norway,8105,219,0,0,197.3,188.6,0.86,0.43,0.22,46113,23056,11528,17.6,35.2,70.3,0.85,0.43,0.21,0.88,0.44,0.22
PAK,Pakistan,30334,659,6,4,11.3,17.6,0.11,0.05,0.03,229105,114552,57276,13.2,26.5,53.0,0.09,0.05,0.02,0.14,0.07,0.03
PRT,Portugal,27581,1135,1,1,53.5,68.2,2.55,1.28,0.64,261687,130843,65421,10.5,21.1,42.2,2.45,1.22,0.61,2.71,1.36,0.68
POL,Poland,15996,800,2,2,34.2,32.4,0.57,0.28,0.14,215860,107930,53965,7.4,14.8,29.6,0.52,0.26,0.13,0.65,0.32,0.16
ROU,Romania,15362,961,2,3,32.5,25.8,1.44,0.72,0.36,279958,139979,69989,5.5,11.0,21.9,1.29,0.64,0.32,1.69,0.84,0.42
RUS,Russia,209688,1915,6,6,11.9,12.4,0.39,0.19,0.10,565602,282801,141400,37.1,74.1,148.3,0.35,0.17,0.09,0.46,0.23,0.11
ESP,Spain,224350,26621,0,1,151.4,94.0,12.64,6.32,3.16,5903446,2951723,1475861,3.8,7.6,15.2,12.28,6.14,3.07,13.22,6.61,3.30
SWE,Sweden,26322,3225,2,2,28.5,28.7,9.08,4.54,2.27,904965,452482,226241,2.9,5.8,11.6,8.24,4.12,2.06,10.49,5.25,2.62
CHE,Switzerland,30305,1833,0,0,340.2,165.9,4.56,2.28,1.14,388680,194340,97170,7.8,15.6,31.2,4.48,2.24,1.12,4.68,2.34,1.17
TUR,Turkey,138657,3786,1,1,54.4,50.9,1.10,0.55,0.27,916293,458146,229073,15.1,30.3,60.5,1.04,0.52,0.26,1.19,0.60,0.30
GBR,UK,223060,32065,2,1,36.8,61.9,11.17,5.59,2.79,7501818,3750909,1875454,3.0,5.9,11.9,10.68,5.34,2.67,11.95,5.97,2.99
UKR,Ukraine,15232,391,4,5,19.2,15.1,0.34,0.17,0.08,148511,74255,37127,10.3,20.5,41.0,0.28,0.14,0.07,0.44,0.22,0.11
ARE,United Arab Emirates,18198,198,4,6,19.2,12.0,0.62,0.31,0.15,59367,29683,14841,30.7,61.3,122.6,0.55,0.27,0.14,0.73,0.37,0.18
USA,US,1329260,79526,2,2,34.9,34.6,6.43,3.22,1.61,21046091,10523045,5261522,6.3,12.6,25.3,5.94,2.97,1.48,7.25,3.63,1.81
