Country,country-name,cases,deaths,case rate,death rate,doubling cases (days),doubling deaths (days),pct pop 0.5% mort,prct pop 1% mort,prct pop 2% mort,0.5% mort sim cases,1% mort sim cases,2% mort sim cases,prct rep cases 0.5% mort,prct rep cases 1% mort,prct rep cases 2% mort,pct pop 0.5% mort (10d),prct pop 1% mort (10d),prct pop 2% (10d),pct pop 0.5% mort (20d),prct pop 1% mort (20d),prct pop 2% (20d) 
AUT,Austria,15071,530,0,3,152.0,23.0,1.82,0.91,0.45,161669,80834,40417,9.3,18.6,37.3,1.61,0.81,0.40,2.18,1.09,0.54
ARG,Argentina,3607,176,5,6,13.0,11.0,0.12,0.06,0.03,54754,27377,13688,6.6,13.2,26.4,0.11,0.05,0.03,0.15,0.07,0.04
BRA,Brazil,54043,3704,7,9,9.7,7.6,0.67,0.33,0.17,1403431,701715,350857,3.9,7.7,15.4,0.56,0.28,0.14,0.88,0.44,0.22
BGR,Bulgaria,1234,54,7,6,10.1,11.5,0.23,0.12,0.06,16438,8219,4109,7.5,15.0,30.0,0.21,0.10,0.05,0.28,0.14,0.07
BEL,Belgium,44293,6679,2,4,27.9,19.7,19.03,9.51,4.76,2184803,1092401,546200,2.0,4.1,8.1,16.53,8.27,4.13,23.49,11.75,5.87
CAN,Canada,44056,2386,4,8,17.0,8.6,2.27,1.13,0.57,840092,420046,210023,5.2,10.5,21.0,1.93,0.96,0.48,2.89,1.44,0.72
COL,Colombia,4881,225,5,4,13.7,15.7,0.17,0.08,0.04,83461,41730,20865,5.8,11.7,23.4,0.14,0.07,0.04,0.22,0.11,0.05
DNK,Denmark,8408,403,2,3,31.5,26.0,2.03,1.02,0.51,117035,58517,29258,7.2,14.4,28.7,1.83,0.91,0.46,2.39,1.19,0.60
FRA,France,159952,22279,0,2,154.3,29.3,9.55,4.77,2.39,6204467,3102233,1551116,2.6,5.2,10.3,8.69,4.34,2.17,11.00,5.50,2.75
FIN,Finland,4395,177,3,14,21.6,5.0,1.69,0.84,0.42,93082,46541,23270,4.7,9.4,18.9,1.28,0.64,0.32,2.55,1.28,0.64
DEU,Germany,154999,5760,1,4,50.5,15.7,2.57,1.29,0.64,2136676,1068338,534169,7.3,14.5,29.0,2.15,1.08,0.54,3.35,1.67,0.84
GRC,Greece,2490,130,2,3,29.8,26.6,0.36,0.18,0.09,37437,18718,9359,6.7,13.3,26.6,0.32,0.16,0.08,0.42,0.21,0.10
GTM,Guatemala,430,11,11,14,6.5,5.1,0.03,0.02,0.01,5683,2841,1420,7.6,15.1,30.3,0.03,0.01,0.01,0.05,0.02,0.01
HUN,Hungary,2443,262,5,7,13.8,10.4,0.86,0.43,0.21,83477,41738,20869,2.9,5.9,11.7,0.75,0.38,0.19,1.05,0.52,0.26
IND,India,24530,780,7,7,9.9,10.5,0.02,0.01,0.00,248124,124062,62031,9.9,19.8,39.5,0.02,0.01,0.00,0.02,0.01,0.01
IDN,Indonesia,8211,689,5,4,14.6,19.3,0.09,0.04,0.02,227892,113946,56973,3.6,7.2,14.4,0.07,0.04,0.02,0.11,0.05,0.03
IRL,Ireland,18184,1014,4,9,17.6,8.0,7.70,3.85,1.92,370962,185481,92740,4.9,9.8,19.6,6.48,3.24,1.62,9.97,4.99,2.49
ITA,Italy,192994,25969,2,2,43.9,37.6,11.09,5.54,2.77,6721017,3360508,1680254,2.9,5.7,11.5,10.30,5.15,2.57,12.38,6.19,3.10
IRN,Iran,88194,5574,1,2,51.3,40.9,1.73,0.86,0.43,1413559,706779,353389,6.2,12.5,25.0,1.61,0.81,0.40,1.91,0.96,0.48
ISR,Israel,15058,194,2,2,28.1,30.7,0.64,0.32,0.16,53238,26619,13309,28.3,56.6,113.1,0.58,0.29,0.15,0.73,0.36,0.18
JPN,Japan,12829,345,4,10,15.4,7.1,0.11,0.05,0.03,137044,68522,34261,9.4,18.7,37.4,0.09,0.04,0.02,0.14,0.07,0.04
MEX,Mexico,12872,1221,12,16,5.9,4.4,0.58,0.29,0.14,727515,363757,181878,1.8,3.5,7.1,0.42,0.21,0.11,0.92,0.46,0.23
MDA,Moldova,3110,84,5,5,13.6,14.7,0.80,0.40,0.20,32439,16219,8109,9.6,19.2,38.3,0.66,0.33,0.17,1.06,0.53,0.27
NLD,Netherlands,36729,4304,2,3,30.9,20.8,8.04,4.02,2.01,1371894,685947,342973,2.7,5.4,10.7,7.04,3.52,1.76,9.82,4.91,2.46
NGA,Nigeria,1095,32,14,11,5.0,6.3,0.01,0.00,0.00,13748,6874,3437,8.0,15.9,31.9,0.01,0.00,0.00,0.01,0.00,0.00
NOR,Norway,7463,199,1,3,61.5,27.3,1.06,0.53,0.27,56753,28376,14188,13.1,26.3,52.6,0.96,0.48,0.24,1.24,0.62,0.31
PAK,Pakistan,11940,253,9,9,8.1,7.8,0.04,0.02,0.01,94381,47190,23595,12.7,25.3,50.6,0.04,0.02,0.01,0.06,0.03,0.01
PRT,Portugal,22797,854,2,4,31.2,18.6,2.81,1.40,0.70,288116,144058,72029,7.9,15.8,31.6,2.42,1.21,0.60,3.51,1.76,0.88
POL,Poland,10892,494,3,6,21.8,10.7,0.41,0.21,0.10,155602,77801,38900,7.0,14.0,28.0,0.36,0.18,0.09,0.50,0.25,0.12
ROU,Romania,10417,567,4,4,17.5,16.1,1.06,0.53,0.27,207530,103765,51882,5.0,10.0,20.1,0.90,0.45,0.22,1.38,0.69,0.34
RUS,Russia,68622,615,9,10,7.5,6.7,0.17,0.09,0.04,253292,126646,63323,27.1,54.2,108.4,0.14,0.07,0.04,0.24,0.12,0.06
ESP,Spain,219764,22524,2,2,30.3,35.6,12.67,6.33,3.17,5915170,2957585,1478792,3.7,7.4,14.9,11.72,5.86,2.93,14.24,7.12,3.56
SWE,Sweden,17567,2152,4,8,15.9,9.2,7.31,3.66,1.83,729300,364650,182325,2.4,4.8,9.6,6.29,3.15,1.57,9.17,4.58,2.29
CHE,Switzerland,28677,1589,1,3,103.3,26.7,5.36,2.68,1.34,456812,228406,114203,6.3,12.6,25.1,4.83,2.42,1.21,6.26,3.13,1.57
TUR,Turkey,104912,2600,3,5,19.9,14.2,1.23,0.62,0.31,1028515,514257,257128,10.2,20.4,40.8,1.01,0.51,0.25,1.65,0.83,0.41
GBR,UK,148377,20319,4,4,19.7,17.7,10.48,5.24,2.62,7037481,3518740,1759370,2.1,4.2,8.4,8.96,4.48,2.24,13.26,6.63,3.32
UKR,Ukraine,8125,201,9,7,8.0,9.6,0.15,0.08,0.04,66626,33313,16656,12.2,24.4,48.8,0.13,0.07,0.03,0.19,0.09,0.05
ARE,United Arab Emirates,9281,64,6,10,11.3,7.0,0.27,0.13,0.07,25633,12816,6408,36.2,72.4,144.8,0.22,0.11,0.05,0.36,0.18,0.09
USA,US,905333,51949,3,5,20.4,13.1,4.60,2.30,1.15,15042026,7521013,3760506,6.0,12.0,24.1,4.14,2.07,1.03,5.39,2.69,1.35
