Country,country-name,cases,deaths,case rate,death rate,doubling cases (days),doubling deaths (days),pct pop 0.5% mort,prct pop 1% mort,prct pop 2% mort,0.5% mort sim cases,1% mort sim cases,2% mort sim cases,prct rep cases 0.5% mort,prct rep cases 1% mort,prct rep cases 2% mort,pct pop 0.5% mort (10d),prct pop 1% mort (10d),prct pop 2% (10d),pct pop 0.5% mort (20d),prct pop 1% mort (20d),prct pop 2% (20d) 
AUT,Austria,14925,510,0,4,162.3,19.0,1.91,0.96,0.48,169897,84948,42474,8.8,17.6,35.1,1.65,0.83,0.41,2.38,1.19,0.59
ARG,Argentina,3144,152,3,4,21.2,15.9,0.13,0.06,0.03,55953,27976,13988,5.6,11.2,22.5,0.11,0.05,0.03,0.16,0.08,0.04
BRA,Brazil,45757,2906,6,5,12.6,13.1,0.40,0.20,0.10,841482,420741,210370,5.4,10.9,21.8,0.36,0.18,0.09,0.47,0.24,0.12
BGR,Bulgaria,1024,49,4,4,17.6,16.3,0.25,0.13,0.06,17779,8889,4444,5.8,11.5,23.0,0.21,0.11,0.05,0.33,0.16,0.08
BEL,Belgium,41889,6262,3,3,23.1,21.0,17.33,8.66,4.33,1989576,994788,497394,2.1,4.2,8.4,15.18,7.59,3.80,21.13,10.56,5.28
CAN,Canada,41650,2077,5,10,14.3,7.0,2.24,1.12,0.56,829653,414826,207413,5.0,10.0,20.1,1.84,0.92,0.46,3.01,1.51,0.75
COL,Colombia,4356,206,6,7,12.3,10.1,0.13,0.07,0.03,66577,33288,16644,6.5,13.1,26.2,0.12,0.06,0.03,0.16,0.08,0.04
DNK,Denmark,8108,384,2,2,32.5,27.7,1.89,0.95,0.47,108952,54476,27238,7.4,14.9,29.8,1.71,0.86,0.43,2.20,1.10,0.55
FRA,France,157125,21373,1,3,50.5,27.4,9.37,4.69,2.34,6090500,3045250,1522625,2.6,5.2,10.3,8.47,4.23,2.12,10.91,5.45,2.73
FIN,Finland,4129,149,3,14,24.0,4.9,1.45,0.73,0.36,80168,40084,20042,5.2,10.3,20.6,1.09,0.55,0.27,2.22,1.11,0.55
DEU,Germany,150648,5279,1,4,57.5,16.1,2.32,1.16,0.58,1929351,964675,482337,7.8,15.6,31.2,1.95,0.98,0.49,3.01,1.50,0.75
GRC,Greece,2408,121,2,3,31.4,26.8,0.33,0.17,0.08,34777,17388,8694,6.9,13.8,27.7,0.30,0.15,0.07,0.39,0.19,0.10
GTM,Guatemala,316,8,7,3,9.5,26.0,0.01,0.01,0.00,2325,1162,581,13.6,27.2,54.4,0.01,0.01,0.00,0.02,0.01,0.00
HUN,Hungary,2168,225,4,7,16.3,10.6,0.73,0.37,0.18,71264,35632,17816,3.0,6.1,12.2,0.64,0.32,0.16,0.89,0.45,0.22
IND,India,21370,681,7,7,9.3,10.2,0.02,0.01,0.00,219035,109517,54758,9.8,19.5,39.0,0.01,0.01,0.00,0.02,0.01,0.00
IDN,Indonesia,7418,635,4,4,16.3,17.4,0.08,0.04,0.02,222177,111088,55544,3.3,6.7,13.4,0.07,0.04,0.02,0.11,0.05,0.03
IRL,Ireland,16671,769,3,8,23.6,8.9,5.49,2.75,1.37,264580,132290,66145,6.3,12.6,25.2,4.70,2.35,1.18,6.93,3.46,1.73
ITA,Italy,187327,25085,2,2,45.3,35.6,10.87,5.44,2.72,6590169,3295084,1647542,2.8,5.7,11.4,10.06,5.03,2.51,12.22,6.11,3.05
IRN,Iran,85996,5391,2,2,45.0,40.2,1.68,0.84,0.42,1372912,686456,343228,6.3,12.5,25.1,1.57,0.78,0.39,1.86,0.93,0.47
ISR,Israel,14498,189,2,4,32.9,19.7,0.74,0.37,0.18,61805,30902,15451,23.5,46.9,93.8,0.64,0.32,0.16,0.91,0.46,0.23
JPN,Japan,11512,281,3,6,27.3,12.0,0.07,0.03,0.02,84326,42163,21081,13.7,27.3,54.6,0.06,0.03,0.01,0.08,0.04,0.02
MEX,Mexico,9501,857,8,10,8.6,7.0,0.27,0.14,0.07,343408,171704,85852,2.8,5.5,11.1,0.22,0.11,0.06,0.37,0.18,0.09
MDA,Moldova,2778,75,4,6,18.9,11.2,0.57,0.29,0.14,23165,11582,5791,12.0,24.0,48.0,0.51,0.25,0.13,0.69,0.34,0.17
NLD,Netherlands,35032,4068,2,3,28.9,23.3,7.24,3.62,1.81,1234960,617480,308740,2.8,5.7,11.3,6.43,3.21,1.61,8.66,4.33,2.16
NGA,Nigeria,873,28,10,8,6.8,8.4,0.01,0.00,0.00,9956,4978,2489,8.8,17.5,35.1,0.00,0.00,0.00,0.01,0.00,0.00
NOR,Norway,7338,187,1,4,69.4,19.2,1.16,0.58,0.29,61956,30978,15489,11.8,23.7,47.4,1.00,0.50,0.25,1.44,0.72,0.36
PAK,Pakistan,10076,212,7,10,10.0,7.2,0.04,0.02,0.01,83423,41711,20855,12.1,24.2,48.3,0.03,0.02,0.01,0.05,0.03,0.01
PRT,Portugal,21982,785,3,3,25.0,20.9,2.44,1.22,0.61,249813,124906,62453,8.8,17.6,35.2,2.13,1.07,0.53,2.97,1.49,0.74
POL,Poland,10169,426,4,5,19.2,13.4,0.32,0.16,0.08,122445,61222,30611,8.3,16.6,33.2,0.29,0.15,0.07,0.38,0.19,0.09
ROU,Romania,9710,524,3,5,20.3,12.9,0.78,0.39,0.20,152604,76302,38151,6.4,12.7,25.5,0.70,0.35,0.18,0.92,0.46,0.23
RUS,Russia,57999,513,11,12,6.2,5.7,0.17,0.08,0.04,241307,120653,60326,24.0,48.1,96.1,0.13,0.06,0.03,0.24,0.12,0.06
ESP,Spain,208389,21717,2,2,35.7,34.6,12.31,6.16,3.08,5748192,2874096,1437048,3.6,7.3,14.5,11.36,5.68,2.84,13.88,6.94,3.47
SWE,Sweden,16004,1937,4,6,19.5,10.9,6.05,3.03,1.51,603431,301715,150857,2.7,5.3,10.6,5.33,2.67,1.33,7.32,3.66,1.83
