Country,country-name,cases,deaths,case rate,death rate,doubling cases (days),doubling deaths (days),pct pop 0.5% mort,prct pop 1% mort,prct pop 2% mort,0.5% mort sim cases,1% mort sim cases,2% mort sim cases,prct rep cases 0.5% mort,prct rep cases 1% mort,prct rep cases 2% mort
AUT,Austria,11781,186,3,8,21.6,8.8,2.02,1.01,0.51,179807,89903,44951,6.6,13.1,26.2
ARG,Argentina,1451,43,11,14,6.5,5.1,0.30,0.15,0.07,132399,66199,33099,1.1,2.2,4.4
BRA,Brazil,10360,445,14,20,5.1,3.5,0.30,0.15,0.08,628616,314308,157154,1.6,3.3,6.6
BGR,Bulgaria,503,17,6,19,11.8,3.6,0.33,0.17,0.08,23385,11692,5846,2.2,4.3,8.6
BEL,Belgium,18431,1283,9,14,7.5,4.8,39.54,19.77,9.88,4539674,2269837,1134918,0.4,0.8,1.6
CAN,Canada,1075,18,11,21,6.5,3.3,0.08,0.04,0.02,28800,14400,7200,3.7,7.5,14.9
COL,Colombia,1406,32,9,22,7.5,3.2,0.11,0.06,0.03,56165,28082,14041,2.5,5.0,10.0
DNK,Denmark,4269,161,9,14,7.9,4.8,9.84,4.92,2.46,566018,283009,141504,0.8,1.5,3.0
FRA,France,90848,7574,14,21,4.8,3.3,18.51,9.25,4.63,12029143,6014571,3007285,0.8,1.5,3.0
FIN,Finland,1882,25,9,12,8.1,5.7,1.01,0.51,0.25,56036,28018,14009,3.4,6.7,13.4
DEU,Germany,96092,1444,7,15,9.9,4.6,6.89,3.45,1.72,5727940,2863970,1431985,1.7,3.4,6.7
GRC,Greece,1673,68,5,11,12.7,6.3,1.16,0.58,0.29,121591,60795,30397,1.4,2.8,5.5
HUN,Hungary,678,32,8,16,8.3,4.3,0.33,0.17,0.08,32455,16227,8113,2.1,4.2,8.4
IND,India,3082,86,13,12,5.3,5.9,0.01,0.01,0.00,182789,91394,45697,1.7,3.4,6.7
IDN,Indonesia,2092,191,8,7,9.0,10.7,0.05,0.03,0.01,140386,70193,35096,1.5,3.0,6.0
IRL,Ireland,4604,137,10,16,7.1,4.2,2.92,1.46,0.73,140478,70239,35119,3.3,6.6,13.1
ITA,Italy,124632,15362,4,5,17.4,13.4,14.31,7.15,3.58,8672894,4336447,2168223,1.4,2.9,5.7
ISR,Israel,7851,44,8,17,8.2,4.1,0.57,0.28,0.14,47389,23694,11847,16.6,33.1,66.3
JPN,Japan,3139,77,11,9,6.1,7.5,0.08,0.04,0.02,96630,48315,24157,3.2,6.5,13.0
MEX,Mexico,1688,60,11,25,6.4,2.8,0.11,0.06,0.03,143618,71809,35904,1.2,2.4,4.7
MDA,Moldova,752,12,19,29,3.7,2.4,1.09,0.55,0.27,44236,22118,11059,1.7,3.4,6.8
NLD,Netherlands,16727,1656,7,11,10.4,6.1,18.78,9.39,4.70,3204351,1602175,801087,0.5,1.0,2.1
NGA,Nigeria,214,4,8,28,9.2,2.5,0.01,0.00,0.00,12800,6400,3200,1.7,3.3,6.7
NOR,Norway,5550,62,4,12,15.8,5.8,2.53,1.27,0.63,135151,67575,33787,4.1,8.2,16.4
PAK,Pakistan,2818,41,10,14,7.2,4.9,0.07,0.03,0.02,139154,69577,34788,2.0,4.1,8.1
PRT,Portugal,10524,266,8,12,8.5,5.7,5.95,2.98,1.49,610561,305280,152640,1.7,3.4,6.9
POL,Poland,3627,79,12,20,5.8,3.4,0.32,0.16,0.08,122044,61022,30511,3.0,5.9,11.9
ROU,Romania,3613,146,13,15,5.3,4.5,0.69,0.35,0.17,134968,67484,33742,2.7,5.4,10.7
RUS,Russia,4731,43,18,19,4.0,3.7,0.04,0.02,0.01,56056,28028,14014,8.4,16.9,33.8
ESP,Spain,126168,11947,6,8,10.9,8.6,25.47,12.73,6.37,11891844,5945922,2972961,1.1,2.1,4.2
SWE,Sweden,6443,373,9,15,7.8,4.7,14.61,7.30,3.65,1456360,728180,364090,0.4,0.9,1.8
CHE,Switzerland,20505,666,5,10,14.7,6.7,12.27,6.14,3.07,1046347,523173,261586,2.0,3.9,7.8
TUR,Turkey,23934,501,14,20,4.9,3.5,0.85,0.42,0.21,707751,353875,176937,3.4,6.8,13.5
GBR,UK,41903,4313,12,20,5.9,3.4,9.78,4.89,2.44,6564619,3282309,1641154,0.6,1.3,2.6
UKR,Ukraine,1225,32,15,16,4.7,4.3,0.07,0.04,0.02,32172,16086,8043,3.8,7.6,15.2
USA,US,308850,8407,12,19,5.6,3.7,3.39,1.70,0.85,11099298,5549649,2774824,2.8,5.6,11.1
