Country,country-name,cases,deaths,case rate,death rate,doubling cases (days),doubling deaths (days),pct pop 0.5% mort,prct pop 1% mort,prct pop 2% mort,0.5% mort sim cases,1% mort sim cases,2% mort sim cases,prct rep cases 0.5% mort,prct rep cases 1% mort,prct rep cases 2% mort
AUT,Austria,12639,243,3,9,26.2,8.1,3.00,1.50,0.75,266906,133453,66726,4.7,9.5,18.9
ARG,Argentina,1628,56,7,10,9.4,7.0,0.18,0.09,0.05,81317,40658,20329,2.0,4.0,8.0
BRA,Brazil,14034,686,11,16,6.1,4.3,0.33,0.17,0.08,699807,349903,174951,2.0,4.0,8.0
BGR,Bulgaria,577,23,5,16,13.9,4.4,0.32,0.16,0.08,22399,11199,5599,2.6,5.2,10.3
BEL,Belgium,22194,2035,8,14,9.0,5.0,57.11,28.55,14.28,6557080,3278540,1639270,0.3,0.7,1.4
CAN,Canada,1373,24,9,16,7.7,4.3,0.06,0.03,0.02,24068,12034,6017,5.7,11.4,22.8
COL,Colombia,1780,50,8,19,8.4,3.6,0.14,0.07,0.03,67369,33684,16842,2.6,5.3,10.6
DNK,Denmark,5266,203,8,11,8.9,6.3,6.45,3.22,1.61,370946,185473,92736,1.4,2.8,5.7
FRA,France,110065,10343,12,14,5.9,4.8,57.03,28.51,14.26,37061087,18530543,9265271,0.3,0.6,1.2
FIN,Finland,2308,34,8,11,8.4,6.2,1.14,0.57,0.29,63090,31545,15772,3.7,7.3,14.6
DEU,Germany,107663,2016,5,13,13.3,5.5,6.14,3.07,1.54,5104577,2552288,1276144,2.1,4.2,8.4
GRC,Greece,1832,81,4,9,17.6,8.1,0.85,0.43,0.21,89499,44749,22374,2.0,4.1,8.2
HUN,Hungary,817,47,7,14,9.9,4.8,1.71,0.85,0.43,165745,82872,41436,0.5,1.0,2.0
IND,India,5311,150,16,16,4.3,4.4,0.01,0.01,0.00,146536,73268,36634,3.6,7.2,14.5
IDN,Indonesia,2738,221,8,5,8.6,12.7,0.05,0.02,0.01,131706,65853,32926,2.1,4.2,8.3
IRL,Ireland,5709,210,8,15,8.3,4.7,16.73,8.37,4.18,806269,403134,201567,0.7,1.4,2.8
ITA,Italy,135586,17127,3,4,20.1,16.0,13.45,6.72,3.36,8153273,4076636,2038318,1.7,3.3,6.7
ISR,Israel,9248,65,7,14,10.2,5.0,2.46,1.23,0.62,206409,103204,51602,4.5,9.0,17.9
JPN,Japan,3906,92,10,8,7.2,8.6,0.07,0.04,0.02,92971,46485,23242,4.2,8.4,16.8
MEX,Mexico,2439,125,11,24,6.1,2.9,0.22,0.11,0.05,274129,137064,68532,0.9,1.8,3.6
MDA,Moldova,1056,22,16,26,4.4,2.6,1.51,0.76,0.38,61367,30683,15341,1.7,3.4,6.9
NLD,Netherlands,19709,2108,6,9,11.3,7.5,15.78,7.89,3.94,2691857,1345928,672964,0.7,1.5,2.9
NGA,Nigeria,254,6,6,19,11.1,3.6,0.00,0.00,0.00,8114,4057,2028,3.1,6.3,12.5
NOR,Norway,6086,89,4,11,19.6,6.2,3.13,1.57,0.78,167189,83594,41797,3.6,7.3,14.6
PAK,Pakistan,4035,57,11,12,6.5,5.9,0.06,0.03,0.01,119601,59800,29900,3.4,6.7,13.5
PRT,Portugal,12442,345,7,10,10.3,6.9,5.02,2.51,1.26,514920,257460,128730,2.4,4.8,9.7
POL,Poland,4848,129,10,17,6.6,4.0,0.38,0.19,0.10,145114,72557,36278,3.3,6.7,13.4
ROU,Romania,4417,197,10,12,7.1,5.9,2.08,1.04,0.52,405031,202515,101257,1.1,2.2,4.4
RUS,Russia,7497,58,16,14,4.4,5.1,0.12,0.06,0.03,178290,89145,44572,4.2,8.4,16.8
ESP,Spain,141942,14045,5,7,13.6,10.6,22.36,11.18,5.59,10441397,5220698,2610349,1.4,2.7,5.4
SWE,Sweden,7693,591,7,13,10.0,5.2,16.71,8.36,4.18,1666232,833116,416558,0.5,0.9,1.8
CHE,Switzerland,22253,821,4,9,18.9,7.9,11.18,5.59,2.80,953429,476714,238357,2.3,4.7,9.3
TUR,Turkey,34109,725,13,16,5.4,4.4,0.83,0.42,0.21,694977,347488,173744,4.9,9.8,19.6
GBR,UK,60733,7097,10,15,6.8,4.6,9.69,4.85,2.42,6508768,3254384,1627192,0.9,1.9,3.7
UKR,Ukraine,1462,45,10,14,6.9,5.1,0.32,0.16,0.08,139877,69938,34969,1.0,2.1,4.2
USA,US,396223,12722,10,16,6.7,4.4,3.82,1.91,0.95,12485423,6242711,3121355,3.2,6.3,12.7
