Country,country-name,cases,deaths,case rate,death rate,doubling cases (days),doubling deaths (days),pct pop 0.5% mort,prct pop 1% mort,prct pop 2% mort,0.5% mort sim cases,1% mort sim cases,2% mort sim cases,prct rep cases 0.5% mort,prct rep cases 1% mort,prct rep cases 2% mort,pct pop 0.5% mort (10d),prct pop 1% mort (10d),prct pop 2% (10d),pct pop 0.5% mort (20d),prct pop 1% mort (20d),prct pop 2% (20d) 
AUT,Austria,15531,589,0,2,175.3,41.6,1.67,0.84,0.42,148760,74380,37190,10.4,20.9,41.8,1.57,0.78,0.39,1.85,0.92,0.46
ARG,Argentina,4532,225,3,3,21.8,21.8,0.16,0.08,0.04,70193,35096,17548,6.5,12.9,25.8,0.14,0.07,0.03,0.19,0.10,0.05
BRA,Brazil,92202,6412,8,8,8.7,8.4,1.09,0.55,0.27,2292359,1146179,573089,4.0,8.0,16.1,0.93,0.46,0.23,1.40,0.70,0.35
BGR,Bulgaria,1555,68,3,4,20.6,15.5,0.36,0.18,0.09,25440,12720,6360,6.1,12.2,24.4,0.30,0.15,0.08,0.47,0.24,0.12
BEL,Belgium,49032,7703,1,2,56.5,41.2,16.98,8.49,4.25,1950092,975046,487523,2.5,5.0,10.1,15.88,7.94,3.97,18.79,9.39,4.70
CAN,Canada,56343,3537,3,5,21.9,12.8,2.79,1.39,0.70,1033990,516995,258497,5.4,10.9,21.8,2.50,1.25,0.63,3.28,1.64,0.82
COL,Colombia,7006,314,5,5,12.9,13.4,0.18,0.09,0.05,90213,45106,22553,7.8,15.5,31.1,0.16,0.08,0.04,0.21,0.11,0.05
DNK,Denmark,9509,460,2,2,41.6,36.6,2.09,1.04,0.52,119955,59977,29988,7.9,15.9,31.7,1.93,0.97,0.48,2.34,1.17,0.58
FRA,France,167305,24628,0,1,1220.8,50.1,9.20,4.60,2.30,5978015,2989007,1494503,2.8,5.6,11.2,8.70,4.35,2.18,9.99,5.00,2.50
FIN,Finland,5051,218,2,3,34.9,22.9,1.21,0.60,0.30,66558,33279,16639,7.6,15.2,30.4,1.07,0.53,0.27,1.44,0.72,0.36
DEU,Germany,164077,6736,1,2,81.5,29.2,2.26,1.13,0.57,1878938,939469,469734,8.7,17.5,34.9,2.06,1.03,0.51,2.61,1.30,0.65
GRC,Greece,2612,140,1,1,98.6,95.8,0.29,0.15,0.07,30985,15492,7746,8.4,16.9,33.7,0.29,0.14,0.07,0.31,0.15,0.08
GTM,Guatemala,644,16,5,2,13.5,35.8,0.02,0.01,0.01,4196,2098,1049,15.3,30.7,61.4,0.02,0.01,0.01,0.03,0.01,0.01
HUN,Hungary,2863,323,3,4,27.5,19.5,1.09,0.55,0.27,106248,53124,26562,2.7,5.4,10.8,0.95,0.47,0.24,1.35,0.68,0.34
IND,India,37257,1223,6,7,12.0,10.4,0.03,0.01,0.01,389263,194631,97315,9.6,19.1,38.3,0.03,0.01,0.01,0.04,0.02,0.01
IDN,Indonesia,10551,800,4,1,19.3,60.9,0.07,0.04,0.02,187622,93811,46905,5.6,11.2,22.5,0.07,0.03,0.02,0.08,0.04,0.02
IRL,Ireland,20833,1265,2,3,45.2,20.6,8.42,4.21,2.10,405511,202755,101377,5.1,10.3,20.5,7.36,3.68,1.84,10.30,5.15,2.58
ITA,Italy,207428,28236,1,1,70.5,61.2,10.91,5.46,2.73,6617039,3308519,1654259,3.1,6.3,12.5,10.43,5.22,2.61,11.68,5.84,2.92
IRN,Iran,95646,6091,1,1,62.3,57.2,1.76,0.88,0.44,1443495,721747,360873,6.6,13.3,26.5,1.68,0.84,0.42,1.90,0.95,0.47
ISR,Israel,16101,225,1,3,83.7,27.6,0.76,0.38,0.19,63995,31997,15998,25.2,50.3,100.6,0.69,0.35,0.17,0.89,0.44,0.22
JPN,Japan,14305,455,0,4,148.5,16.4,0.13,0.06,0.03,164189,82094,41047,8.7,17.4,34.9,0.11,0.05,0.03,0.17,0.08,0.04
MEX,Mexico,20739,1972,7,8,9.7,8.6,0.55,0.27,0.14,693740,346870,173435,3.0,6.0,12.0,0.47,0.23,0.12,0.70,0.35,0.18
MDA,Moldova,3980,122,3,5,20.6,14.5,1.17,0.59,0.29,47575,23787,11893,8.4,16.7,33.5,0.97,0.49,0.24,1.56,0.78,0.39
NLD,Netherlands,39989,4909,1,2,67.9,33.4,7.70,3.85,1.92,1313129,656564,328282,3.0,6.1,12.2,7.08,3.54,1.77,8.72,4.36,2.18
NGA,Nigeria,2170,68,12,13,5.8,5.2,0.02,0.01,0.00,34685,17342,8671,6.3,12.5,25.0,0.01,0.01,0.00,0.03,0.01,0.01
NOR,Norway,7783,210,1,1,119.5,102.8,0.86,0.43,0.22,46157,23078,11539,16.9,33.7,67.4,0.84,0.42,0.21,0.90,0.45,0.23
PAK,Pakistan,18114,417,7,9,10.4,7.5,0.07,0.04,0.02,159123,79561,39780,11.4,22.8,45.5,0.06,0.03,0.02,0.10,0.05,0.02
PRT,Portugal,25351,1007,1,2,50.8,33.7,2.62,1.31,0.65,268627,134313,67156,9.4,18.9,37.7,2.41,1.21,0.60,2.96,1.48,0.74
POL,Poland,13105,651,2,4,28.3,18.7,0.58,0.29,0.14,219013,109506,54753,6.0,12.0,23.9,0.50,0.25,0.12,0.72,0.36,0.18
ROU,Romania,12567,744,3,4,26.9,18.4,1.29,0.65,0.32,252006,126003,63001,5.0,10.0,19.9,1.11,0.56,0.28,1.62,0.81,0.40
RUS,Russia,114431,1169,7,10,10.3,7.0,0.32,0.16,0.08,466490,233245,116622,24.5,49.1,98.1,0.26,0.13,0.07,0.43,0.22,0.11
ESP,Spain,213435,24543,-2,1,-30.3,60.3,12.35,6.17,3.09,5765116,2882558,1441279,3.7,7.4,14.8,11.79,5.90,2.95,13.23,6.61,3.31
SWE,Sweden,21520,2653,3,4,21.1,17.2,9.34,4.67,2.34,931345,465672,232836,2.3,4.6,9.2,7.95,3.98,1.99,11.89,5.94,2.97
CHE,Switzerland,29705,1754,0,1,145.3,54.9,4.91,2.46,1.23,418631,209315,104657,7.1,14.2,28.4,4.67,2.33,1.17,5.30,2.65,1.32
TUR,Turkey,122392,3258,2,3,31.5,23.7,1.18,0.59,0.29,980467,490233,245116,12.5,25.0,49.9,1.05,0.52,0.26,1.40,0.70,0.35
GBR,UK,177454,27510,3,7,22.8,9.3,13.78,6.89,3.44,9251119,4625559,2312779,1.9,3.8,7.7,11.88,5.94,2.97,17.22,8.61,4.30
UKR,Ukraine,10861,272,5,5,14.6,13.5,0.18,0.09,0.04,77870,38935,19467,13.9,27.9,55.8,0.16,0.08,0.04,0.21,0.10,0.05
ARE,United Arab Emirates,13038,111,5,8,15.0,9.0,0.40,0.20,0.10,38082,19041,9520,34.2,68.5,136.9,0.34,0.17,0.08,0.50,0.25,0.12
USA,US,1103461,64943,3,4,25.2,19.1,6.61,3.30,1.65,21609471,10804735,5402367,5.1,10.2,20.4,5.71,2.86,1.43,8.22,4.11,2.05
