Country,country-name,cases,deaths,case rate,death rate,doubling cases (days),doubling deaths (days),pct pop 0.5% mort,prct pop 1% mort,prct pop 2% mort,0.5% mort sim cases,1% mort sim cases,2% mort sim cases,prct rep cases 0.5% mort,prct rep cases 1% mort,prct rep cases 2% mort,pct pop 0.5% mort (10d),prct pop 1% mort (10d),prct pop 2% (10d),pct pop 0.5% mort (20d),prct pop 1% mort (20d),prct pop 2% (20d) 
AUT,Austria,15357,569,0,2,151.1,41.8,1.61,0.81,0.40,143567,71783,35891,10.7,21.4,42.8,1.51,0.76,0.38,1.78,0.89,0.45
ARG,Argentina,4127,207,3,4,21.2,17.9,0.16,0.08,0.04,71202,35601,17800,5.8,11.6,23.2,0.14,0.07,0.03,0.20,0.10,0.05
BRA,Brazil,73235,5083,7,8,9.4,9.1,0.83,0.41,0.21,1729673,864836,432418,4.2,8.5,16.9,0.71,0.35,0.18,1.04,0.52,0.26
BGR,Bulgaria,1399,58,3,2,20.4,35.4,0.22,0.11,0.05,15263,7631,3815,9.2,18.3,36.7,0.20,0.10,0.05,0.24,0.12,0.06
BEL,Belgium,47334,7331,2,2,42.7,30.5,17.56,8.78,4.39,2015717,1007858,503929,2.3,4.7,9.4,16.03,8.01,4.01,20.12,10.06,5.03
CAN,Canada,51150,2983,4,6,18.0,12.5,2.37,1.19,0.59,879893,439946,219973,5.8,11.6,23.3,2.12,1.06,0.53,2.80,1.40,0.70
COL,Colombia,5949,269,5,4,14.4,15.8,0.20,0.10,0.05,99551,49775,24887,6.0,12.0,23.9,0.17,0.08,0.04,0.26,0.13,0.07
DNK,Denmark,9049,434,2,2,39.4,40.9,1.91,0.96,0.48,110049,55024,27512,8.2,16.4,32.9,1.79,0.89,0.45,2.12,1.06,0.53
FRA,France,169053,23694,1,2,50.6,45.4,9.03,4.51,2.26,5868249,2934124,1467062,2.9,5.8,11.5,8.49,4.25,2.12,9.90,4.95,2.47
FIN,Finland,4740,199,2,3,34.8,25.6,1.05,0.53,0.26,58184,29092,14546,8.1,16.3,32.6,0.95,0.47,0.24,1.24,0.62,0.31
DEU,Germany,159912,6314,1,2,90.4,30.8,2.08,1.04,0.52,1730749,865374,432687,9.2,18.5,37.0,1.90,0.95,0.48,2.38,1.19,0.60
GRC,Greece,2566,138,1,2,97.3,42.1,0.33,0.17,0.08,34750,17375,8687,7.4,14.8,29.5,0.31,0.15,0.08,0.36,0.18,0.09
GTM,Guatemala,530,15,5,8,13.0,9.1,0.03,0.01,0.01,5119,2559,1279,10.4,20.7,41.4,0.03,0.01,0.01,0.04,0.02,0.01
HUN,Hungary,2649,291,2,3,31.8,25.1,0.88,0.44,0.22,85699,42849,21424,3.1,6.2,12.4,0.79,0.40,0.20,1.04,0.52,0.26
IND,India,31324,1008,6,6,11.5,10.8,0.02,0.01,0.01,316046,158023,79011,9.9,19.8,39.6,0.02,0.01,0.01,0.03,0.01,0.01
IDN,Indonesia,9511,773,3,3,19.8,23.8,0.09,0.04,0.02,232251,116125,58062,4.1,8.2,16.4,0.08,0.04,0.02,0.10,0.05,0.03
IRL,Ireland,19877,1159,2,3,29.5,22.9,7.36,3.68,1.84,354444,177222,88611,5.6,11.2,22.4,6.52,3.26,1.63,8.83,4.41,2.21
ITA,Italy,201505,27359,1,1,64.8,54.8,10.77,5.39,2.69,6532063,3266031,1633015,3.1,6.2,12.3,10.24,5.12,2.56,11.62,5.81,2.91
IRN,Iran,92584,5877,1,1,57.3,52.1,1.73,0.87,0.43,1416165,708082,354041,6.5,13.1,26.2,1.64,0.82,0.41,1.88,0.94,0.47
ISR,Israel,15728,210,1,2,66.8,37.8,0.65,0.32,0.16,54288,27144,13572,29.0,57.9,115.9,0.60,0.30,0.15,0.72,0.36,0.18
JPN,Japan,13736,394,2,3,34.0,20.8,0.10,0.05,0.02,125557,62778,31389,10.9,21.9,43.8,0.09,0.04,0.02,0.12,0.06,0.03
MEX,Mexico,16752,1569,6,6,10.8,11.6,0.38,0.19,0.09,476189,238094,119047,3.5,7.0,14.1,0.33,0.17,0.08,0.45,0.23,0.11
MDA,Moldova,3638,103,4,5,18.9,14.2,1.01,0.50,0.25,40878,20439,10219,8.9,17.8,35.6,0.83,0.41,0.21,1.35,0.68,0.34
NLD,Netherlands,38612,4582,1,1,54.2,46.3,6.62,3.31,1.66,1130133,565066,282533,3.4,6.8,13.7,6.24,3.12,1.56,7.25,3.62,1.81
NGA,Nigeria,1532,44,8,8,8.7,9.0,0.01,0.00,0.00,15090,7545,3772,10.2,20.3,40.6,0.01,0.00,0.00,0.01,0.00,0.00
NOR,Norway,7660,206,1,1,106.1,78.0,0.87,0.44,0.22,46657,23328,11664,16.4,32.8,65.7,0.84,0.42,0.21,0.92,0.46,0.23
PAK,Pakistan,14612,312,5,5,14.0,13.8,0.04,0.02,0.01,88628,44314,22157,16.5,33.0,65.9,0.04,0.02,0.01,0.05,0.02,0.01
PRT,Portugal,24322,948,2,3,44.4,26.5,2.67,1.33,0.67,273596,136798,68399,8.9,17.8,35.6,2.40,1.20,0.60,3.12,1.56,0.78
POL,Poland,12218,596,3,4,24.4,15.6,0.59,0.29,0.15,222380,111190,55595,5.5,11.0,22.0,0.49,0.25,0.12,0.77,0.38,0.19
ROU,Romania,11616,663,3,4,24.6,18.4,1.15,0.58,0.29,224867,112433,56216,5.2,10.3,20.7,0.99,0.50,0.25,1.45,0.72,0.36
RUS,Russia,93558,867,8,8,8.9,8.2,0.21,0.11,0.05,312264,156132,78066,30.0,59.9,119.8,0.18,0.09,0.05,0.28,0.14,0.07
ESP,Spain,232128,23822,1,1,51.5,50.0,12.39,6.20,3.10,5785689,2892844,1446422,4.0,8.0,16.0,11.72,5.86,2.93,13.47,6.73,3.37
SWE,Sweden,19621,2355,3,2,26.5,31.9,6.40,3.20,1.60,638214,319107,159553,3.1,6.1,12.3,5.87,2.93,1.47,7.29,3.65,1.82
CHE,Switzerland,29264,1699,0,2,139.1,39.8,5.09,2.54,1.27,433720,216860,108430,6.7,13.5,27.0,4.74,2.37,1.19,5.65,2.82,1.41
TUR,Turkey,114653,2992,2,4,31.7,19.8,1.17,0.59,0.29,976915,488457,244228,11.7,23.5,46.9,1.02,0.51,0.25,1.44,0.72,0.36
GBR,UK,165221,26097,3,5,25.9,12.7,11.39,5.69,2.85,7644494,3822247,1911123,2.2,4.3,8.6,10.21,5.10,2.55,13.41,6.70,3.35
UKR,Ukraine,9410,239,4,4,17.5,15.9,0.20,0.10,0.05,88086,44043,22021,10.7,21.4,42.7,0.17,0.08,0.04,0.26,0.13,0.06
ARE,United Arab Emirates,11380,89,5,8,13.7,8.6,0.32,0.16,0.08,31239,15619,7809,36.4,72.9,145.7,0.28,0.14,0.07,0.41,0.21,0.10
USA,US,1012582,58355,3,3,25.1,24.9,5.27,2.63,1.32,17226336,8613168,4306584,5.9,11.8,23.5,4.71,2.36,1.18,6.22,3.11,1.56
