Country,country-name,cases,deaths,case rate,death rate,doubling cases (days),doubling deaths (days),pct pop 0.5% mort,prct pop 1% mort,prct pop 2% mort,0.5% mort sim cases,1% mort sim cases,2% mort sim cases,prct rep cases 0.5% mort,prct rep cases 1% mort,prct rep cases 2% mort,pct pop 0.5% mort (10d),prct pop 1% mort (10d),prct pop 2% (10d),pct pop 0.5% mort (20d),prct pop 1% mort (20d),prct pop 2% (20d) 
AUT,Austria,14595,431,1,4,73.1,18.2,1.65,0.83,0.41,147062,73531,36765,9.9,19.8,39.7,1.42,0.71,0.35,2.08,1.04,0.52
ARG,Argentina,2669,123,5,6,13.8,11.7,0.08,0.04,0.02,37306,18653,9326,7.2,14.3,28.6,0.07,0.04,0.02,0.10,0.05,0.03
BRA,Brazil,33682,2141,9,12,7.6,5.9,0.47,0.23,0.12,980155,490077,245038,3.4,6.9,13.7,0.37,0.18,0.09,0.67,0.33,0.17
BGR,Bulgaria,846,41,5,8,12.9,8.6,0.21,0.10,0.05,14457,7228,3614,5.9,11.7,23.4,0.17,0.09,0.04,0.26,0.13,0.07
BEL,Belgium,36138,5163,6,7,12.0,9.7,14.84,7.42,3.71,1703526,851763,425881,2.1,4.2,8.5,12.86,6.43,3.21,18.39,9.19,4.60
CAN,Canada,2397,50,6,10,12.0,6.8,0.06,0.03,0.01,20494,10247,5123,11.7,23.4,46.8,0.05,0.02,0.01,0.08,0.04,0.02
COL,Colombia,3439,153,5,14,15.2,4.9,0.17,0.08,0.04,82214,41107,20553,4.2,8.4,16.7,0.12,0.06,0.03,0.25,0.13,0.06
DNK,Denmark,7268,336,3,4,25.4,17.3,2.05,1.02,0.51,117684,58842,29421,6.2,12.4,24.7,1.74,0.87,0.44,2.60,1.30,0.65
FRA,France,149130,18703,6,6,12.3,12.1,8.60,4.30,2.15,5588456,2794228,1397114,2.7,5.3,10.7,7.67,3.83,1.92,10.21,5.11,2.55
FIN,Finland,3489,82,3,10,21.4,7.0,0.60,0.30,0.15,32950,16475,8237,10.6,21.2,42.4,0.49,0.24,0.12,0.80,0.40,0.20
DEU,Germany,141397,4352,2,9,32.4,7.6,1.99,0.99,0.50,1651032,825516,412758,8.6,17.1,34.3,1.65,0.83,0.41,2.61,1.31,0.65
GRC,Greece,2224,108,1,4,77.7,15.7,0.38,0.19,0.10,40141,20070,10035,5.5,11.1,22.2,0.32,0.16,0.08,0.50,0.25,0.12
GTM,Guatemala,214,7,8,11,8.7,6.1,0.02,0.01,0.00,3096,1548,774,6.9,13.8,27.6,0.01,0.01,0.00,0.03,0.01,0.01
HUN,Hungary,1763,156,5,9,14.8,8.0,0.59,0.30,0.15,57316,28658,14329,3.1,6.2,12.3,0.50,0.25,0.12,0.77,0.38,0.19
IND,India,14352,486,8,7,8.8,9.3,0.01,0.01,0.00,163433,81716,40858,8.8,17.6,35.1,0.01,0.01,0.00,0.02,0.01,0.00
IDN,Indonesia,5923,520,7,8,10.6,8.6,0.07,0.03,0.02,182381,91190,45595,3.2,6.5,13.0,0.06,0.03,0.01,0.09,0.04,0.02
IRL,Ireland,13980,530,9,9,7.7,7.5,4.21,2.10,1.05,202655,101327,50663,6.9,13.8,27.6,3.50,1.75,0.87,5.55,2.78,1.39
ITA,Italy,172434,22745,2,3,35.6,26.4,10.83,5.42,2.71,6567375,3283687,1641843,2.6,5.3,10.5,9.75,4.88,2.44,12.68,6.34,3.17
IRN,Iran,79494,4958,2,2,34.2,35.5,1.59,0.80,0.40,1303546,651773,325886,6.1,12.2,24.4,1.47,0.74,0.37,1.79,0.90,0.45
ISR,Israel,12982,151,4,7,15.7,10.3,0.58,0.29,0.14,48306,24153,12076,26.9,53.7,107.5,0.50,0.25,0.13,0.70,0.35,0.18
JPN,Japan,9787,190,9,7,7.4,10.1,0.05,0.02,0.01,61385,30692,15346,15.9,31.9,63.8,0.04,0.02,0.01,0.06,0.03,0.01
MEX,Mexico,6297,486,8,17,9.2,4.0,0.26,0.13,0.07,329698,164849,82424,1.9,3.8,7.6,0.18,0.09,0.05,0.44,0.22,0.11
MDA,Moldova,2264,56,10,14,6.9,5.0,0.73,0.37,0.18,29664,14832,7416,7.6,15.3,30.5,0.55,0.28,0.14,1.11,0.56,0.28
