Country,country-name,cases,deaths,case rate,death rate,doubling cases (days),doubling deaths (days),pct pop 0.5% mort,prct pop 1% mort,prct pop 2% mort,0.5% mort sim cases,1% mort sim cases,2% mort sim cases,prct rep cases 0.5% mort,prct rep cases 1% mort,prct rep cases 2% mort,pct pop 0.5% mort (10d),prct pop 1% mort (10d),prct pop 2% (10d),pct pop 0.5% mort (20d),prct pop 1% mort (20d),prct pop 2% (20d) 
AUT,Austria,14226,384,2,5,31.8,15.1,1.64,0.82,0.41,146009,73004,36502,9.7,19.5,39.0,1.37,0.68,0.34,2.16,1.08,0.54
ARG,Argentina,2277,102,6,10,12.0,7.1,0.09,0.05,0.02,40320,20160,10080,5.6,11.3,22.6,0.07,0.04,0.02,0.12,0.06,0.03
BRA,Brazil,25262,1532,6,14,11.1,5.0,0.38,0.19,0.10,804662,402331,201165,3.1,6.3,12.6,0.29,0.15,0.07,0.58,0.29,0.15
BGR,Bulgaria,713,35,4,8,18.1,8.6,0.17,0.09,0.04,12310,6155,3077,5.8,11.6,23.2,0.15,0.07,0.04,0.22,0.11,0.06
BEL,Belgium,31119,4157,6,8,11.2,8.7,12.62,6.31,3.16,1449120,724560,362280,2.1,4.3,8.6,10.77,5.38,2.69,16.01,8.01,4.00
CAN,Canada,1870,48,6,12,11.9,5.8,0.06,0.03,0.01,22200,11100,5550,8.4,16.8,33.7,0.05,0.02,0.01,0.09,0.04,0.02
COL,Colombia,2979,127,8,16,8.2,4.4,0.16,0.08,0.04,77265,38632,19316,3.9,7.7,15.4,0.11,0.06,0.03,0.25,0.13,0.06
DNK,Denmark,6706,299,3,5,25.8,14.6,2.02,1.01,0.50,116104,58052,29026,5.8,11.6,23.1,1.67,0.83,0.42,2.68,1.34,0.67
FRA,France,131361,15748,7,4,10.2,16.1,8.84,4.42,2.21,5746255,2873127,1436563,2.3,4.6,9.1,7.45,3.72,1.86,11.44,5.72,2.86
FIN,Finland,3161,64,3,11,21.8,6.6,0.48,0.24,0.12,26728,13364,6682,11.8,23.7,47.3,0.39,0.20,0.10,0.66,0.33,0.17
DEU,Germany,131359,3294,4,10,17.7,7.1,1.57,0.79,0.39,1306687,653343,326671,10.1,20.1,40.2,1.29,0.65,0.32,2.11,1.05,0.53
GRC,Greece,2170,101,3,5,22.2,13.3,0.28,0.14,0.07,29065,14532,7266,7.5,14.9,29.9,0.25,0.12,0.06,0.32,0.16,0.08
GTM,Guatemala,167,5,12,13,6.0,5.4,0.01,0.01,0.00,2439,1219,609,6.8,13.7,27.4,0.01,0.01,0.00,0.02,0.01,0.01
