Country,country-name,cases,deaths,case rate,death rate,doubling cases (days),doubling deaths (days),pct pop 0.5% mort,prct pop 1% mort,prct pop 2% mort,0.5% mort sim cases,1% mort sim cases,2% mort sim cases,prct rep cases 0.5% mort,prct rep cases 1% mort,prct rep cases 2% mort,pct pop 0.5% mort (10d),prct pop 1% mort (10d),prct pop 2% (10d),pct pop 0.5% mort (20d),prct pop 1% mort (20d),prct pop 2% (20d) 
AUT,Austria,14873,491,0,3,150.2,21.7,1.73,0.86,0.43,153665,76832,38416,9.7,19.4,38.7,1.52,0.76,0.38,2.09,1.05,0.52
ARG,Argentina,3031,147,3,4,21.8,16.9,0.12,0.06,0.03,52147,26073,13036,5.8,11.6,23.2,0.10,0.05,0.02,0.15,0.08,0.04
BRA,Brazil,43079,2741,6,6,11.6,11.8,0.40,0.20,0.10,827639,413819,206909,5.2,10.4,20.8,0.35,0.18,0.09,0.47,0.24,0.12
BGR,Bulgaria,975,45,3,2,20.4,29.6,0.18,0.09,0.04,12485,6242,3121,7.8,15.6,31.2,0.16,0.08,0.04,0.20,0.10,0.05
BEL,Belgium,40956,5998,3,4,21.5,18.9,17.45,8.72,4.36,2003393,1001696,500848,2.0,4.1,8.2,15.07,7.53,3.77,21.74,10.87,5.43
CAN,Canada,39402,1909,5,9,15.1,7.7,1.93,0.96,0.48,714312,357156,178578,5.5,11.0,22.1,1.61,0.81,0.40,2.52,1.26,0.63
COL,Colombia,4149,196,5,7,13.3,9.8,0.13,0.06,0.03,64285,32142,16071,6.5,12.9,25.8,0.11,0.06,0.03,0.16,0.08,0.04
DNK,Denmark,7891,370,2,2,34.5,28.5,1.81,0.90,0.45,104059,52029,26014,7.6,15.2,30.3,1.64,0.82,0.41,2.09,1.05,0.52
FRA,France,159297,20829,2,3,38.5,26.3,9.26,4.63,2.32,6021115,3010557,1505278,2.6,5.3,10.6,8.34,4.17,2.08,10.85,5.42,2.71
FIN,Finland,4014,141,3,12,21.0,5.9,1.16,0.58,0.29,63930,31965,15982,6.3,12.6,25.1,0.92,0.46,0.23,1.64,0.82,0.41
DEU,Germany,148291,5033,1,4,57.4,18.4,2.05,1.03,0.51,1707072,853536,426768,8.7,17.4,34.7,1.77,0.88,0.44,2.58,1.29,0.64
GRC,Greece,2401,121,2,3,44.0,24.7,0.34,0.17,0.09,35835,17917,8958,6.7,13.4,26.8,0.30,0.15,0.08,0.40,0.20,0.10
GTM,Guatemala,294,7,8,0,8.2,inf,0.01,0.00,0.00,1400,700,350,21.0,42.0,84.0,0.01,0.00,0.00,0.01,0.00,0.00
HUN,Hungary,2098,213,4,8,16.3,9.0,0.75,0.38,0.19,72961,36480,18240,2.9,5.8,11.5,0.64,0.32,0.16,0.95,0.47,0.24
IND,India,20080,645,8,7,8.3,10.0,0.02,0.01,0.00,209662,104831,52415,9.6,19.2,38.3,0.01,0.01,0.00,0.02,0.01,0.00
IDN,Indonesia,7135,616,5,4,15.4,15.9,0.08,0.04,0.02,227051,113525,56762,3.1,6.3,12.6,0.07,0.04,0.02,0.11,0.06,0.03
IRL,Ireland,16040,730,3,8,20.8,8.4,5.40,2.70,1.35,260161,130080,65040,6.2,12.3,24.7,4.58,2.29,1.14,6.92,3.46,1.73
ITA,Italy,183957,24648,2,2,43.6,35.0,10.73,5.37,2.68,6505884,3252942,1626471,2.8,5.7,11.3,9.91,4.96,2.48,12.09,6.04,3.02
IRN,Iran,84802,5297,2,2,43.0,41.5,1.64,0.82,0.41,1338522,669261,334630,6.3,12.7,25.3,1.53,0.77,0.38,1.81,0.90,0.45
ISR,Israel,13942,184,2,5,39.4,14.7,0.85,0.42,0.21,71216,35608,17804,19.6,39.2,78.3,0.70,0.35,0.18,1.13,0.56,0.28
JPN,Japan,11135,263,3,7,22.7,9.7,0.07,0.03,0.02,86548,43274,21637,12.9,25.7,51.5,0.06,0.03,0.01,0.08,0.04,0.02
MEX,Mexico,8772,712,8,10,8.2,7.0,0.23,0.11,0.06,285156,142578,71289,3.1,6.2,12.3,0.19,0.09,0.05,0.30,0.15,0.08
MDA,Moldova,2614,72,4,7,19.4,9.8,0.58,0.29,0.15,23638,11819,5909,11.1,22.1,44.2,0.51,0.25,0.13,0.72,0.36,0.18
NLD,Netherlands,34317,3929,3,3,24.4,24.0,6.90,3.45,1.73,1177397,588698,294349,2.9,5.8,11.7,6.15,3.07,1.54,8.21,4.10,2.05
NGA,Nigeria,665,22,8,7,8.6,10.5,0.00,0.00,0.00,6994,3497,1748,9.5,19.0,38.0,0.00,0.00,0.00,0.00,0.00,0.00
NOR,Norway,7191,182,1,3,78.0,20.2,1.10,0.55,0.28,58905,29452,14726,12.2,24.4,48.8,0.96,0.48,0.24,1.36,0.68,0.34
PAK,Pakistan,9565,201,7,10,9.7,6.9,0.04,0.02,0.01,81162,40581,20290,11.8,23.6,47.1,0.03,0.02,0.01,0.05,0.03,0.01
PRT,Portugal,21379,762,3,4,23.8,19.0,2.47,1.24,0.62,253710,126855,63427,8.4,16.9,33.7,2.14,1.07,0.53,3.08,1.54,0.77
POL,Poland,9856,401,4,5,16.6,14.8,0.41,0.20,0.10,154535,77267,38633,6.4,12.8,25.5,0.34,0.17,0.08,0.54,0.27,0.13
ROU,Romania,9242,498,3,5,20.9,13.6,0.73,0.37,0.18,142430,71215,35607,6.5,13.0,26.0,0.66,0.33,0.16,0.85,0.43,0.21
RUS,Russia,52763,456,12,13,5.6,5.4,0.15,0.08,0.04,224003,112001,56000,23.6,47.1,94.2,0.12,0.06,0.03,0.23,0.11,0.06
ESP,Spain,204178,21282,2,2,38.8,42.4,11.46,5.73,2.87,5352179,2676089,1338044,3.8,7.6,15.3,10.74,5.37,2.68,12.65,6.32,3.16
SWE,Sweden,15322,1765,4,5,19.1,13.6,5.05,2.53,1.26,503747,251873,125936,3.0,6.1,12.2,4.56,2.28,1.14,5.88,2.94,1.47
CHE,Switzerland,28063,1478,1,3,76.2,26.7,4.98,2.49,1.25,424892,212446,106223,6.6,13.2,26.4,4.49,2.25,1.12,5.82,2.91,1.46
TUR,Turkey,95591,2259,5,6,14.1,11.3,0.83,0.42,0.21,694026,347013,173506,13.8,27.5,55.1,0.74,0.37,0.18,1.00,0.50,0.25
GBR,UK,129044,17337,4,4,16.1,16.8,9.20,4.60,2.30,6175926,3087963,1543981,2.1,4.2,8.4,7.80,3.90,1.95,11.78,5.89,2.95
UKR,Ukraine,6125,161,7,6,10.5,10.9,0.11,0.06,0.03,50156,25078,12539,12.2,24.4,48.8,0.10,0.05,0.02,0.14,0.07,0.03
ARE,United Arab Emirates,7755,46,6,6,12.4,11.8,0.14,0.07,0.04,13862,6931,3465,55.9,111.9,223.8,0.13,0.06,0.03,0.17,0.09,0.04
USA,US,823786,44845,4,5,17.5,14.4,5.38,2.69,1.35,17609243,8804621,4402310,4.7,9.4,18.7,4.44,2.22,1.11,7.19,3.59,1.80
