Country,country-name,cases,deaths,case rate,death rate,doubling cases (days),doubling deaths (days),pct pop 0.5% mort,prct pop 1% mort,prct pop 2% mort,0.5% mort sim cases,1% mort sim cases,2% mort sim cases,prct rep cases 0.5% mort,prct rep cases 1% mort,prct rep cases 2% mort,pct pop 0.5% mort (10d),prct pop 1% mort (10d),prct pop 2% (10d),pct pop 0.5% mort (20d),prct pop 1% mort (20d),prct pop 2% (20d) 
AUT,Austria,14041,368,2,8,30.5,8.5,1.47,0.73,0.37,130444,65222,32611,10.8,21.5,43.1,1.25,0.62,0.31,1.87,0.94,0.47
ARG,Argentina,2208,97,6,10,11.6,6.9,0.09,0.04,0.02,39143,19571,9785,5.6,11.3,22.6,0.07,0.04,0.02,0.12,0.06,0.03
BRA,Brazil,23430,1328,6,8,10.8,8.5,0.22,0.11,0.06,470152,235076,117538,5.0,10.0,19.9,0.19,0.10,0.05,0.29,0.14,0.07
BGR,Bulgaria,685,32,4,9,17.6,7.6,0.17,0.09,0.04,12157,6078,3039,5.6,11.3,22.5,0.14,0.07,0.04,0.23,0.11,0.06
BEL,Belgium,30589,3903,6,13,10.7,5.3,17.08,8.54,4.27,1960643,980321,490160,1.6,3.1,6.2,13.13,6.56,3.28,25.34,12.67,6.33
CAN,Canada,1732,46,6,12,11.8,5.6,0.06,0.03,0.01,21854,10927,5463,7.9,15.9,31.7,0.05,0.02,0.01,0.09,0.04,0.02
COL,Colombia,2852,112,9,16,7.8,4.2,0.14,0.07,0.04,70629,35314,17657,4.0,8.1,16.2,0.10,0.05,0.03,0.23,0.12,0.06
DNK,Denmark,6513,285,3,5,24.9,14.8,1.91,0.96,0.48,109899,54949,27474,5.9,11.9,23.7,1.58,0.79,0.40,2.53,1.27,0.63
FRA,France,137875,14986,7,10,9.3,6.8,9.39,4.69,2.35,6100694,3050347,1525173,2.3,4.5,9.0,7.66,3.83,1.92,12.73,6.36,3.18
FIN,Finland,3064,59,7,11,10.4,6.4,0.45,0.23,0.11,25092,12546,6273,12.2,24.4,48.8,0.37,0.18,0.09,0.63,0.31,0.16
DEU,Germany,130072,3194,2,10,29.2,6.7,1.58,0.79,0.40,1313970,656985,328492,9.9,19.8,39.6,1.29,0.64,0.32,2.15,1.08,0.54
GRC,Greece,2145,99,3,6,21.2,12.6,0.28,0.14,0.07,29128,14564,7282,7.4,14.7,29.5,0.25,0.12,0.06,0.33,0.16,0.08
GTM,Guatemala,156,5,12,13,5.8,5.2,0.01,0.01,0.00,2529,1264,632,6.2,12.3,24.7,0.01,0.01,0.00,0.02,0.01,0.01
HUN,Hungary,1458,109,9,15,7.9,4.7,0.64,0.32,0.16,61697,30848,15424,2.4,4.7,9.5,0.47,0.24,0.12,0.99,0.50,0.25
IND,India,10453,358,11,16,6.5,4.3,0.02,0.01,0.00,219831,109915,54957,4.8,9.5,19.0,0.01,0.01,0.00,0.03,0.01,0.01
IDN,Indonesia,4557,399,8,9,8.2,7.6,0.06,0.03,0.01,150499,75249,37624,3.0,6.1,12.1,0.05,0.02,0.01,0.07,0.04,0.02
IRL,Ireland,10647,365,9,8,7.6,8.6,2.67,1.33,0.67,128439,64219,32109,8.3,16.6,33.2,2.27,1.13,0.57,3.40,1.70,0.85
ITA,Italy,159516,20465,3,3,25.9,24.7,9.99,5.00,2.50,6058539,3029269,1514634,2.6,5.3,10.5,8.93,4.47,2.23,11.82,5.91,2.96
IRN,Iran,73303,4585,3,3,27.4,25.3,1.65,0.82,0.41,1346396,673198,336599,5.4,10.9,21.8,1.47,0.74,0.37,1.94,0.97,0.49
ISR,Israel,11586,116,4,12,18.8,5.8,0.64,0.32,0.16,53277,26638,13319,21.7,43.5,87.0,0.50,0.25,0.13,0.91,0.45,0.23
JPN,Japan,7370,123,10,6,6.9,12.1,0.03,0.01,0.01,36756,18378,9189,20.1,40.1,80.2,0.03,0.01,0.01,0.03,0.02,0.01
MEX,Mexico,4661,296,10,14,7.2,4.9,0.13,0.06,0.03,158202,79101,39550,2.9,5.9,11.8,0.09,0.05,0.02,0.19,0.10,0.05
MDA,Moldova,1712,35,12,16,6.0,4.3,0.54,0.27,0.13,21762,10881,5440,7.9,15.7,31.5,0.39,0.19,0.10,0.87,0.44,0.22
NLD,Netherlands,26710,2833,6,4,12.6,16.7,5.94,2.97,1.49,1013672,506836,253418,2.6,5.3,10.5,5.03,2.52,1.26,7.62,3.81,1.91
NGA,Nigeria,343,10,6,13,12.4,5.3,0.00,0.00,0.00,5015,2507,1253,6.8,13.7,27.4,0.00,0.00,0.00,0.00,0.00,0.00
NOR,Norway,6603,134,2,6,44.6,12.5,0.74,0.37,0.19,39553,19776,9888,16.7,33.4,66.8,0.66,0.33,0.17,0.88,0.44,0.22
PAK,Pakistan,5496,93,5,10,13.5,7.2,0.02,0.01,0.00,36632,18316,9158,15.0,30.0,60.0,0.01,0.01,0.00,0.02,0.01,0.01
PRT,Portugal,16934,535,6,7,11.5,10.1,1.68,0.84,0.42,172752,86376,43188,9.8,19.6,39.2,1.47,0.73,0.37,2.07,1.03,0.52
POL,Poland,6934,245,6,14,12.6,4.9,0.35,0.17,0.09,132546,66273,33136,5.2,10.5,20.9,0.26,0.13,0.07,0.54,0.27,0.13
ROU,Romania,6633,331,6,7,11.0,9.4,0.57,0.28,0.14,110716,55358,27679,6.0,12.0,24.0,0.49,0.25,0.12,0.71,0.35,0.18
RUS,Russia,18328,148,15,17,4.7,4.2,0.06,0.03,0.02,94425,47212,23606,19.4,38.8,77.6,0.05,0.02,0.01,0.11,0.05,0.03
ESP,Spain,170099,17756,3,3,26.5,20.0,12.35,6.18,3.09,5767631,2883815,1441907,2.9,5.9,11.8,10.75,5.38,2.69,15.21,7.60,3.80
SWE,Sweden,10948,919,4,12,15.8,5.9,4.19,2.09,1.05,417564,208782,104391,2.6,5.2,10.5,3.31,1.66,0.83,5.95,2.98,1.49
CHE,Switzerland,25688,1138,3,5,22.6,14.9,5.11,2.56,1.28,435862,217931,108965,5.9,11.8,23.6,4.25,2.12,1.06,6.75,3.38,1.69
