Country,country-name,cases,deaths,case rate,death rate,doubling cases (days),doubling deaths (days),pct pop 0.5% mort,prct pop 1% mort,prct pop 2% mort,0.5% mort sim cases,1% mort sim cases,2% mort sim cases,prct rep cases 0.5% mort,prct rep cases 1% mort,prct rep cases 2% mort
AUT,Austria,12297,220,3,8,25.5,8.3,2.62,1.31,0.66,233196,116598,58299,5.3,10.5,21.1
ARG,Argentina,1554,48,8,10,8.6,7.1,0.15,0.08,0.04,66790,33395,16697,2.3,4.7,9.3
BRA,Brazil,12161,564,11,16,6.1,4.3,0.27,0.14,0.07,575424,287712,143856,2.1,4.2,8.5
BGR,Bulgaria,549,22,5,18,13.5,3.9,0.37,0.18,0.09,25986,12993,6496,2.1,4.2,8.5
BEL,Belgium,20814,1632,8,13,8.5,5.3,39.02,19.51,9.76,4480635,2240317,1120158,0.5,0.9,1.9
CAN,Canada,1250,23,9,18,7.5,3.8,0.08,0.04,0.02,27900,13950,6975,4.5,9.0,17.9
COL,Colombia,1579,46,8,20,8.6,3.4,0.14,0.07,0.03,69090,34545,17272,2.3,4.6,9.1
DNK,Denmark,4875,187,8,12,8.7,5.8,7.19,3.60,1.80,413711,206855,103427,1.2,2.4,4.7
FRA,France,98963,8926,12,15,5.6,4.6,12.58,6.29,3.14,8173227,4086613,2043306,1.2,2.4,4.8
FIN,Finland,2176,27,8,11,8.3,6.6,0.81,0.40,0.20,44720,22360,11180,4.9,9.7,19.5
DEU,Germany,103374,1810,6,13,12.3,5.3,5.97,2.99,1.49,4966402,2483201,1241600,2.1,4.2,8.3
GRC,Greece,1755,79,4,9,16.6,7.3,1.00,0.50,0.25,105576,52788,26394,1.7,3.3,6.6
HUN,Hungary,744,38,7,14,9.7,5.0,1.26,0.63,0.32,122324,61162,30581,0.6,1.2,2.4
IND,India,4778,136,16,15,4.4,4.5,0.01,0.00,0.00,127025,63512,31756,3.8,7.5,15.0
IDN,Indonesia,2491,209,8,6,8.8,12.5,0.05,0.02,0.01,126772,63386,31693,2.0,3.9,7.9
IRL,Ireland,5364,174,9,15,7.9,4.7,13.68,6.84,3.42,659171,329585,164792,0.8,1.6,3.3
ITA,Italy,132547,16523,4,5,18.9,15.3,13.47,6.73,3.37,8163852,4081926,2040963,1.6,3.2,6.5
ISR,Israel,8904,57,7,14,9.4,4.9,2.30,1.15,0.57,192350,96175,48087,4.6,9.3,18.5
JPN,Japan,3654,85,10,8,7.0,8.5,0.07,0.03,0.02,86576,43288,21644,4.2,8.4,16.9
MEX,Mexico,2143,94,11,24,6.2,2.9,0.16,0.08,0.04,203591,101795,50897,1.1,2.1,4.2
MDA,Moldova,965,19,17,28,4.1,2.5,1.56,0.78,0.39,63015,31507,15753,1.5,3.1,6.1
NLD,Netherlands,18926,1874,6,9,10.8,7.4,14.27,7.13,3.57,2433968,1216984,608492,0.8,1.6,3.1
NGA,Nigeria,238,5,7,21,10.6,3.3,0.00,0.00,0.00,8120,4060,2030,2.9,5.9,11.7
NOR,Norway,5865,76,4,11,19.1,6.3,2.55,1.27,0.64,135953,67976,33988,4.3,8.6,17.3
PAK,Pakistan,3766,53,11,12,6.5,5.6,0.06,0.03,0.02,128643,64321,32160,2.9,5.9,11.7
PRT,Portugal,11730,311,7,10,9.8,6.6,4.90,2.45,1.22,502310,251155,125577,2.3,4.7,9.3
POL,Poland,4413,107,11,18,6.4,3.9,0.33,0.16,0.08,124586,62293,31146,3.5,7.1,14.2
ROU,Romania,4057,176,10,12,6.6,5.8,1.94,0.97,0.48,377901,188950,94475,1.1,2.1,4.3
RUS,Russia,6343,47,16,14,4.4,5.0,0.10,0.05,0.03,146973,73486,36743,4.3,8.6,17.3
ESP,Spain,136675,13341,5,7,12.8,10.0,22.82,11.41,5.70,10653105,5326552,2663276,1.3,2.6,5.1
SWE,Sweden,7206,477,7,12,9.5,5.7,11.09,5.54,2.77,1105777,552888,276444,0.7,1.3,2.6
CHE,Switzerland,21657,765,4,9,17.6,7.5,11.38,5.69,2.84,969844,484922,242461,2.2,4.5,8.9
TUR,Turkey,30217,649,13,17,5.3,4.1,0.83,0.41,0.21,691430,345715,172857,4.4,8.7,17.5
GBR,UK,55242,6159,11,16,6.6,4.4,8.90,4.45,2.22,5973278,2986639,1493319,0.9,1.8,3.7
UKR,Ukraine,1319,38,11,14,6.4,4.9,0.29,0.14,0.07,127780,63890,31945,1.0,2.1,4.1
USA,US,366614,10783,11,16,6.4,4.2,3.38,1.69,0.84,11040853,5520426,2760213,3.3,6.6,13.3
