Country,country-name,cases,deaths,case rate,death rate,doubling cases (days),doubling deaths (days),pct pop 0.5% mort,prct pop 1% mort,prct pop 2% mort,0.5% mort sim cases,1% mort sim cases,2% mort sim cases,prct rep cases 0.5% mort,prct rep cases 1% mort,prct rep cases 2% mort,pct pop 0.5% mort (10d),prct pop 1% mort (10d),prct pop 2% (10d),pct pop 0.5% mort (20d),prct pop 1% mort (20d),prct pop 2% (20d) 
AUT,Austria,15597,598,0,1,216.6,85.1,1.51,0.75,0.38,134048,67024,33512,11.6,23.3,46.5,1.46,0.73,0.36,1.58,0.79,0.40
ARG,Argentina,4783,246,3,4,25.2,19.1,0.18,0.09,0.05,81702,40851,20425,5.9,11.7,23.4,0.16,0.08,0.04,0.23,0.11,0.06
BRA,Brazil,101826,7051,6,6,11.6,11.4,1.03,0.52,0.26,2162153,1081076,540538,4.7,9.4,18.8,0.91,0.46,0.23,1.24,0.62,0.31
BGR,Bulgaria,1618,73,3,4,24.7,19.8,0.34,0.17,0.08,23837,11918,5959,6.8,13.6,27.2,0.29,0.15,0.07,0.42,0.21,0.10
BEL,Belgium,49906,7844,1,1,66.6,62.1,15.98,7.99,3.99,1834333,917166,458583,2.7,5.4,10.9,15.28,7.64,3.82,17.08,8.54,4.27
CAN,Canada,60504,3795,3,5,20.9,14.5,3.99,1.99,1.00,1478852,739426,369713,4.1,8.2,16.4,3.30,1.65,0.82,5.31,2.65,1.33
COL,Colombia,7668,340,5,5,12.9,13.8,0.19,0.10,0.05,96714,48357,24178,7.9,15.9,31.7,0.18,0.09,0.04,0.23,0.11,0.06
DNK,Denmark,9721,484,1,2,51.3,30.6,2.31,1.16,0.58,132950,66475,33237,7.3,14.6,29.2,2.11,1.06,0.53,2.65,1.32,0.66
FRA,France,168925,24900,0,1,194.4,88.9,8.55,4.27,2.14,5554056,2777028,1388514,3.0,6.1,12.2,8.28,4.14,2.07,8.96,4.48,2.24
FIN,Finland,5254,230,2,3,40.1,26.4,1.20,0.60,0.30,66399,33199,16599,7.9,15.8,31.7,1.08,0.54,0.27,1.41,0.70,0.35
DEU,Germany,165664,6866,1,1,111.1,46.9,2.03,1.02,0.51,1689056,844528,422264,9.8,19.6,39.2,1.92,0.96,0.48,2.22,1.11,0.56
GRC,Greece,2626,144,0,1,139.8,75.4,0.31,0.16,0.08,32753,16376,8188,8.0,16.0,32.1,0.30,0.15,0.08,0.33,0.16,0.08
GTM,Guatemala,703,17,6,2,11.5,38.1,0.03,0.01,0.01,4385,2192,1096,16.0,32.1,64.1,0.02,0.01,0.01,0.03,0.01,0.01
HUN,Hungary,2998,340,2,3,28.0,21.6,1.10,0.55,0.27,106648,53324,26662,2.8,5.6,11.2,0.97,0.48,0.24,1.33,0.67,0.33
IND,India,42505,1391,6,6,11.0,10.8,0.03,0.02,0.01,436850,218425,109212,9.7,19.5,38.9,0.03,0.01,0.01,0.04,0.02,0.01
IDN,Indonesia,11192,845,3,2,20.3,35.0,0.08,0.04,0.02,222959,111479,55739,5.0,10.0,20.1,0.08,0.04,0.02,0.09,0.05,0.02
IRL,Ireland,21506,1303,1,2,47.1,30.9,7.40,3.70,1.85,356754,178377,89188,6.0,12.1,24.1,6.77,3.38,1.69,8.47,4.24,2.12
ITA,Italy,210717,28884,1,1,79.3,62.3,11.13,5.57,2.78,6750208,3375104,1687552,3.1,6.2,12.5,10.65,5.32,2.66,11.90,5.95,2.98
IRN,Iran,97424,6203,1,1,70.9,68.0,1.75,0.87,0.44,1430918,715459,357729,6.8,13.6,27.2,1.68,0.84,0.42,1.86,0.93,0.46
ISR,Israel,16208,232,1,2,112.6,37.8,0.72,0.36,0.18,59969,29984,14992,27.0,54.1,108.1,0.66,0.33,0.17,0.80,0.40,0.20
JPN,Japan,14877,487,2,4,40.7,16.2,0.14,0.07,0.03,177098,88549,44274,8.4,16.8,33.6,0.12,0.06,0.03,0.18,0.09,0.05
MEX,Mexico,23471,2154,7,5,10.0,12.9,0.50,0.25,0.12,628364,314182,157091,3.7,7.5,14.9,0.45,0.22,0.11,0.59,0.29,0.15
MDA,Moldova,4121,125,2,3,32.0,22.8,0.94,0.47,0.24,38276,19138,9569,10.8,21.5,43.1,0.84,0.42,0.21,1.13,0.57,0.28
