Country,country-name,cases,deaths,case rate,death rate,doubling cases (days),doubling deaths (days),pct pop 0.5% mort,prct pop 1% mort,prct pop 2% mort,0.5% mort sim cases,1% mort sim cases,2% mort sim cases,prct rep cases 0.5% mort,prct rep cases 1% mort,prct rep cases 2% mort,pct pop 0.5% mort (10d),prct pop 1% mort (10d),prct pop 2% (10d),pct pop 0.5% mort (20d),prct pop 1% mort (20d),prct pop 2% (20d) 
AUT,Austria,15997,624,0,0,263.9,186.8,1.48,0.74,0.37,131456,65728,32864,12.2,24.3,48.7,1.46,0.73,0.36,1.51,0.76,0.38
ARG,Argentina,6879,329,4,2,16.0,30.2,0.20,0.10,0.05,90723,45361,22680,7.6,15.2,30.3,0.19,0.09,0.05,0.23,0.12,0.06
BRA,Brazil,190137,13240,5,5,14.3,12.7,1.85,0.93,0.46,3885625,1942812,971406,4.9,9.8,19.6,1.66,0.83,0.42,2.19,1.09,0.55
BGR,Bulgaria,2069,96,2,2,39.0,40.3,0.35,0.17,0.09,24430,12215,6107,8.5,16.9,33.9,0.32,0.16,0.08,0.38,0.19,0.10
BEL,Belgium,53981,8843,1,1,106.6,96.0,17.04,8.52,4.26,1956741,978370,489185,2.8,5.5,11.0,16.56,8.28,4.14,17.80,8.90,4.45
CAN,Canada,73568,5425,2,3,42.5,23.5,4.43,2.21,1.11,1640530,820265,410132,4.5,9.0,17.9,3.93,1.97,0.98,5.28,2.64,1.32
COL,Colombia,12930,509,5,3,13.3,20.9,0.33,0.16,0.08,161927,80963,40481,8.0,16.0,31.9,0.29,0.14,0.07,0.40,0.20,0.10
DNK,Denmark,10865,533,1,0,86.4,306.0,1.91,0.96,0.48,110034,55017,27508,9.9,19.7,39.5,1.90,0.95,0.47,1.94,0.97,0.48
FRA,France,178184,27077,0,1,303.2,86.5,9.32,4.66,2.33,6058363,3029181,1514590,2.9,5.9,11.8,9.03,4.51,2.26,9.78,4.89,2.45
FIN,Finland,6054,284,1,2,106.3,41.3,1.30,0.65,0.33,71862,35931,17965,8.4,16.8,33.7,1.22,0.61,0.30,1.44,0.72,0.36
DEU,Germany,174098,7861,0,1,175.0,67.2,2.19,1.09,0.55,1816274,908137,454068,9.6,19.2,38.3,2.10,1.05,0.52,2.32,1.16,0.58
GRC,Greece,2760,155,0,1,148.0,117.7,0.32,0.16,0.08,33664,16832,8416,8.2,16.4,32.8,0.31,0.16,0.08,0.33,0.17,0.08
GTM,Guatemala,1342,29,8,4,8.8,16.7,0.06,0.03,0.02,10387,5193,2596,12.9,25.8,51.7,0.05,0.03,0.01,0.08,0.04,0.02
HUN,Hungary,3341,430,1,1,74.3,46.7,1.09,0.55,0.27,105864,52932,26466,3.2,6.3,12.6,1.03,0.51,0.26,1.19,0.60,0.30
IND,India,78055,2551,5,5,12.9,14.6,0.07,0.04,0.02,993394,496697,248348,7.9,15.7,31.4,0.06,0.03,0.02,0.10,0.05,0.02
IDN,Indonesia,15438,1028,3,2,23.4,40.0,0.10,0.05,0.02,262056,131028,65514,5.9,11.8,23.6,0.09,0.05,0.02,0.11,0.05,0.03
IRL,Ireland,23401,1497,1,1,104.7,77.3,7.05,3.52,1.76,339457,169728,84864,6.9,13.8,27.6,6.80,3.40,1.70,7.44,3.72,1.86
ITA,Italy,222104,31106,0,1,155.4,120.2,11.12,5.56,2.78,6744277,3372138,1686069,3.3,6.6,13.2,10.87,5.44,2.72,11.52,5.76,2.88
IRN,Iran,112725,6783,1,1,46.9,96.3,1.83,0.92,0.46,1500358,750179,375089,7.5,15.0,30.1,1.78,0.89,0.45,1.92,0.96,0.48
ISR,Israel,16548,264,0,2,476.6,42.2,0.79,0.40,0.20,66462,33231,16615,24.9,49.8,99.6,0.74,0.37,0.19,0.88,0.44,0.22
JPN,Japan,16049,678,1,3,114.1,25.4,0.16,0.08,0.04,198658,99329,49664,8.1,16.2,32.3,0.14,0.07,0.04,0.18,0.09,0.05
MEX,Mexico,40186,4220,5,6,15.2,11.9,1.01,0.50,0.25,1271000,635500,317750,3.2,6.3,12.6,0.90,0.45,0.22,1.20,0.60,0.30
MDA,Moldova,5406,185,3,4,27.2,19.7,1.50,0.75,0.37,60565,30282,15141,8.9,17.9,35.7,1.30,0.65,0.32,1.85,0.92,0.46
NLD,Netherlands,43410,5581,0,1,147.9,109.1,7.15,3.58,1.79,1220062,610031,305015,3.6,7.1,14.2,6.97,3.49,1.74,7.43,3.71,1.86
NGA,Nigeria,4971,164,4,6,15.6,11.6,0.03,0.01,0.01,49760,24880,12440,10.0,20.0,40.0,0.02,0.01,0.01,0.03,0.02,0.01
NOR,Norway,8175,229,0,1,276.4,53.5,1.03,0.51,0.26,54909,27454,13727,14.9,29.8,59.6,0.98,0.49,0.24,1.11,0.56,0.28
PAK,Pakistan,35298,761,5,5,12.9,14.7,0.14,0.07,0.03,294189,147094,73547,12.0,24.0,48.0,0.11,0.06,0.03,0.18,0.09,0.05
PRT,Portugal,28132,1175,1,1,107.9,63.3,2.67,1.34,0.67,273957,136978,68489,10.3,20.5,41.1,2.56,1.28,0.64,2.85,1.43,0.71
POL,Poland,17204,861,2,2,28.2,29.8,0.63,0.31,0.16,238422,119211,59605,7.2,14.4,28.9,0.57,0.29,0.14,0.72,0.36,0.18
ROU,Romania,16002,1036,1,2,50.0,29.1,1.48,0.74,0.37,289291,144645,72322,5.5,11.1,22.1,1.35,0.67,0.34,1.71,0.86,0.43
RUS,Russia,242271,2212,5,5,13.9,14.4,0.60,0.30,0.15,869022,434511,217255,27.9,55.8,111.5,0.49,0.25,0.12,0.80,0.40,0.20
ESP,Spain,228691,27104,1,1,112.7,119.7,12.59,6.30,3.15,5878538,2939269,1469634,3.9,7.8,15.6,12.30,6.15,3.08,13.04,6.52,3.26
SWE,Sweden,27909,3460,2,2,37.8,40.6,8.81,4.41,2.20,878802,439401,219700,3.2,6.4,12.7,8.23,4.12,2.06,9.76,4.88,2.44
CHE,Switzerland,30413,1870,0,1,527.0,112.5,4.78,2.39,1.20,407698,203849,101924,7.5,14.9,29.8,4.67,2.33,1.17,4.96,2.48,1.24
TUR,Turkey,143114,3952,1,1,65.5,49.9,1.15,0.58,0.29,960108,480054,240027,14.9,29.8,59.6,1.09,0.54,0.27,1.25,0.63,0.31
GBR,UK,233151,33614,2,1,45.3,48.9,12.21,6.11,3.05,8199786,4099893,2049946,2.8,5.7,11.4,11.54,5.77,2.88,13.30,6.65,3.32
UKR,Ukraine,16425,439,3,4,25.6,17.6,0.34,0.17,0.09,152253,76126,38063,10.8,21.6,43.2,0.29,0.15,0.07,0.44,0.22,0.11
ARE,United Arab Emirates,20386,206,4,2,17.7,28.9,0.60,0.30,0.15,57651,28825,14412,35.4,70.7,141.4,0.54,0.27,0.14,0.69,0.35,0.17
USA,US,1390406,84119,1,2,46.3,41.8,6.49,3.24,1.62,21224600,10612300,5306150,6.6,13.1,26.2,6.07,3.04,1.52,7.17,3.58,1.79
