Country,country-name,cases,deaths,case rate,death rate,doubling cases (days),doubling deaths (days),pct pop 0.5% mort,prct pop 1% mort,prct pop 2% mort,0.5% mort sim cases,1% mort sim cases,2% mort sim cases,prct rep cases 0.5% mort,prct rep cases 1% mort,prct rep cases 2% mort,pct pop 0.5% mort (10d),prct pop 1% mort (10d),prct pop 2% (10d),pct pop 0.5% mort (20d),prct pop 1% mort (20d),prct pop 2% (20d) 
AUT,Austria,15148,536,0,2,149.5,32.4,1.63,0.81,0.41,144615,72307,36153,10.5,20.9,41.9,1.49,0.75,0.37,1.85,0.92,0.46
ARG,Argentina,3780,185,6,6,12.0,11.4,0.13,0.06,0.03,56567,28283,14141,6.7,13.4,26.7,0.11,0.06,0.03,0.15,0.08,0.04
BRA,Brazil,59324,4057,8,10,8.6,6.8,0.79,0.40,0.20,1664991,832495,416247,3.6,7.1,14.3,0.65,0.32,0.16,1.08,0.54,0.27
BGR,Bulgaria,1247,55,7,5,10.2,13.9,0.31,0.16,0.08,22104,11052,5526,5.6,11.3,22.6,0.26,0.13,0.06,0.42,0.21,0.11
BEL,Belgium,45325,6917,3,3,26.8,19.8,19.66,9.83,4.91,2256821,1128410,564205,2.0,4.0,8.0,17.09,8.55,4.27,24.24,12.12,6.06
CAN,Canada,45493,2549,3,7,20.2,9.7,2.27,1.14,0.57,842079,421039,210519,5.4,10.8,21.6,1.97,0.98,0.49,2.82,1.41,0.70
COL,Colombia,5142,233,5,4,12.8,16.0,0.17,0.09,0.04,85567,42783,21391,6.0,12.0,24.0,0.14,0.07,0.04,0.22,0.11,0.06
DNK,Denmark,8643,418,2,3,31.7,23.7,2.19,1.09,0.55,125863,62931,31465,6.9,13.7,27.5,1.95,0.97,0.49,2.61,1.30,0.65
FRA,France,161644,22648,0,2,147.2,33.2,9.34,4.67,2.33,6068958,3034479,1517239,2.7,5.3,10.7,8.59,4.29,2.15,10.59,5.29,2.65
FIN,Finland,4475,186,3,7,24.8,9.5,1.12,0.56,0.28,61845,30922,15461,7.2,14.5,28.9,0.97,0.48,0.24,1.39,0.70,0.35
DEU,Germany,156513,5877,1,4,50.8,17.4,2.47,1.23,0.62,2049865,1024932,512466,7.6,15.3,30.5,2.10,1.05,0.53,3.13,1.56,0.78
GRC,Greece,2506,130,1,2,58.2,32.2,0.33,0.17,0.08,35142,17571,8785,7.1,14.3,28.5,0.31,0.15,0.08,0.38,0.19,0.10
GTM,Guatemala,473,13,13,16,5.5,4.5,0.04,0.02,0.01,7729,3864,1932,6.1,12.2,24.5,0.03,0.02,0.01,0.07,0.04,0.02
HUN,Hungary,2443,262,4,6,16.4,12.2,0.80,0.40,0.20,77894,38947,19473,3.1,6.3,12.5,0.72,0.36,0.18,0.95,0.48,0.24
IND,India,26283,825,7,6,10.2,11.0,0.02,0.01,0.00,256093,128046,64023,10.3,20.5,41.1,0.02,0.01,0.00,0.02,0.01,0.01
IDN,Indonesia,8607,720,5,4,14.5,17.6,0.09,0.05,0.02,249856,124928,62464,3.4,6.9,13.8,0.08,0.04,0.02,0.12,0.06,0.03
