Country,country-name,cases,deaths,case rate,death rate,doubling cases (days),doubling deaths (days),pct pop 0.5% mort,prct pop 1% mort,prct pop 2% mort,0.5% mort sim cases,1% mort sim cases,2% mort sim cases,prct rep cases 0.5% mort,prct rep cases 1% mort,prct rep cases 2% mort,pct pop 0.5% mort (10d),prct pop 1% mort (10d),prct pop 2% (10d),pct pop 0.5% mort (20d),prct pop 1% mort (20d),prct pop 2% (20d) 
AUT,Austria,15961,623,0,0,260.0,186.3,1.48,0.74,0.37,131261,65630,32815,12.2,24.3,48.6,1.45,0.73,0.36,1.51,0.75,0.38
ARG,Argentina,6563,319,4,2,17.5,32.1,0.19,0.10,0.05,86285,43142,21571,7.6,15.2,30.4,0.18,0.09,0.04,0.22,0.11,0.06
BRA,Brazil,178214,12461,5,5,14.8,13.2,1.72,0.86,0.43,3601759,1800879,900439,4.9,9.9,19.8,1.55,0.77,0.39,2.01,1.01,0.50
BGR,Bulgaria,2023,95,2,2,36.4,29.9,0.37,0.19,0.09,26285,13142,6571,7.7,15.4,30.8,0.34,0.17,0.08,0.43,0.21,0.11
BEL,Belgium,53779,8761,1,1,83.6,98.8,16.83,8.42,4.21,1932961,966480,483240,2.8,5.6,11.1,16.37,8.18,4.09,17.56,8.78,4.39
CAN,Canada,72419,5300,2,3,41.0,23.1,4.35,2.18,1.09,1614062,807031,403515,4.5,9.0,17.9,3.86,1.93,0.97,5.21,2.61,1.30
COL,Colombia,12272,493,5,4,13.8,19.4,0.33,0.16,0.08,162394,81197,40598,7.6,15.1,30.2,0.28,0.14,0.07,0.40,0.20,0.10
DNK,Denmark,10789,527,1,0,78.2,214.7,1.92,0.96,0.48,110273,55136,27568,9.8,19.6,39.1,1.89,0.95,0.47,1.95,0.98,0.49
FRA,France,178349,26994,0,1,242.9,99.3,9.16,4.58,2.29,5952748,2976374,1488187,3.0,6.0,12.0,8.91,4.45,2.23,9.55,4.78,2.39
FIN,Finland,6003,275,1,1,64.3,51.5,1.20,0.60,0.30,66402,33201,16600,9.0,18.1,36.2,1.14,0.57,0.28,1.30,0.65,0.33
DEU,Germany,173171,7738,0,1,185.6,93.0,2.07,1.03,0.52,1717836,858918,429459,10.1,20.2,40.3,2.01,1.00,0.50,2.16,1.08,0.54
GRC,Greece,2744,152,0,0,154.4,261.7,0.30,0.15,0.07,31548,15774,7887,8.7,17.4,34.8,0.30,0.15,0.07,0.30,0.15,0.08
GTM,Guatemala,1199,27,7,3,9.7,22.0,0.05,0.02,0.01,8400,4200,2100,14.3,28.5,57.1,0.04,0.02,0.01,0.06,0.03,0.01
HUN,Hungary,3313,425,1,2,66.0,34.6,1.16,0.58,0.29,112529,56264,28132,2.9,5.9,11.8,1.07,0.53,0.27,1.31,0.65,0.33
IND,India,74292,2415,6,5,12.4,14.4,0.07,0.03,0.02,945845,472922,236461,7.9,15.7,31.4,0.06,0.03,0.01,0.09,0.05,0.02
IDN,Indonesia,14749,1007,3,2,24.8,42.2,0.09,0.05,0.02,253434,126717,63358,5.8,11.6,23.3,0.09,0.04,0.02,0.10,0.05,0.03
