Country,country-name,cases,deaths,case rate,death rate,doubling cases (days),doubling deaths (days),pct pop 0.5% mort,prct pop 1% mort,prct pop 2% mort,0.5% mort sim cases,1% mort sim cases,2% mort sim cases,prct rep cases 0.5% mort,prct rep cases 1% mort,prct rep cases 2% mort,pct pop 0.5% mort (10d),prct pop 1% mort (10d),prct pop 2% (10d),pct pop 0.5% mort (20d),prct pop 1% mort (20d),prct pop 2% (20d) 
AUT,Austria,15650,606,0,1,359.0,109.0,1.49,0.75,0.37,132486,66243,33121,11.8,23.6,47.3,1.45,0.73,0.36,1.55,0.77,0.39
ARG,Argentina,5020,264,2,4,28.0,16.8,0.21,0.11,0.05,94043,47021,23510,5.3,10.7,21.4,0.18,0.09,0.04,0.27,0.14,0.07
BRA,Brazil,115455,7938,6,5,12.3,13.5,1.09,0.54,0.27,2273220,1136610,568305,5.1,10.2,20.3,0.98,0.49,0.24,1.27,0.63,0.32
BGR,Bulgaria,1704,80,2,4,31.7,17.1,0.40,0.20,0.10,28210,14105,7052,6.0,12.1,24.2,0.34,0.17,0.09,0.51,0.26,0.13
BEL,Belgium,50509,8016,1,1,93.2,69.4,16.06,8.03,4.01,1843935,921967,460983,2.7,5.5,11.0,15.43,7.72,3.86,17.05,8.53,4.26
CAN,Canada,63215,4190,3,4,23.3,16.4,4.08,2.04,1.02,1512716,756358,378179,4.2,8.4,16.7,3.45,1.72,0.86,5.26,2.63,1.31
COL,Colombia,8613,378,5,5,13.8,14.7,0.29,0.15,0.07,146139,73069,36534,5.9,11.8,23.6,0.24,0.12,0.06,0.39,0.20,0.10
DNK,Denmark,10019,503,1,2,52.7,32.1,2.37,1.18,0.59,136107,68053,34026,7.4,14.7,29.4,2.17,1.09,0.54,2.69,1.35,0.67
FRA,France,170687,25537,0,1,149.6,76.9,8.92,4.46,2.23,5794375,2897187,1448593,2.9,5.9,11.8,8.60,4.30,2.15,9.41,4.71,2.35
FIN,Finland,5412,246,2,3,41.6,21.1,1.41,0.71,0.35,77948,38974,19487,6.9,13.9,27.8,1.24,0.62,0.31,1.72,0.86,0.43
DEU,Germany,167007,6993,0,1,162.9,68.6,1.94,0.97,0.48,1611276,805638,402819,10.4,20.7,41.5,1.86,0.93,0.47,2.06,1.03,0.51
GRC,Greece,2642,146,0,1,252.9,66.2,0.32,0.16,0.08,33809,16904,8452,7.8,15.6,31.3,0.31,0.15,0.08,0.34,0.17,0.09
GTM,Guatemala,763,19,4,5,17.4,15.2,0.04,0.02,0.01,7184,3592,1796,10.6,21.2,42.5,0.03,0.02,0.01,0.05,0.03,0.01
HUN,Hungary,3065,363,2,3,41.4,24.7,1.11,0.55,0.28,107467,53733,26866,2.9,5.7,11.4,0.99,0.49,0.25,1.31,0.65,0.33
IND,India,49400,1693,7,8,9.6,8.5,0.04,0.02,0.01,600719,300359,150179,8.2,16.4,32.9,0.04,0.02,0.01,0.06,0.03,0.01
IDN,Indonesia,12071,872,3,2,20.7,32.8,0.09,0.04,0.02,234432,117216,58608,5.1,10.3,20.6,0.08,0.04,0.02,0.10,0.05,0.02
IRL,Ireland,21983,1339,1,1,51.3,49.9,6.75,3.38,1.69,325347,162673,81336,6.8,13.5,27.0,6.39,3.19,1.60,7.34,3.67,1.84
ITA,Italy,213013,29315,1,1,105.8,79.0,10.94,5.47,2.73,6629602,3314801,1657400,3.2,6.4,12.9,10.56,5.28,2.64,11.53,5.76,2.88
IRN,Iran,99970,6340,1,1,62.5,69.6,1.78,0.89,0.45,1457726,728863,364431,6.9,13.7,27.4,1.71,0.86,0.43,1.89,0.95,0.47
ISR,Israel,16289,238,0,1,256.9,50.2,0.69,0.34,0.17,57761,28880,14440,28.2,56.4,112.8,0.65,0.33,0.16,0.75,0.37,0.19
JPN,Japan,15253,556,2,5,42.6,13.2,0.13,0.06,0.03,160458,80229,40114,9.5,19.0,38.0,0.11,0.06,0.03,0.15,0.07,0.04
MEX,Mexico,26025,2507,6,6,12.1,12.0,0.60,0.30,0.15,750979,375489,187744,3.5,6.9,13.9,0.53,0.27,0.13,0.71,0.35,0.18
MDA,Moldova,4363,136,2,3,30.0,24.8,0.99,0.50,0.25,40242,20121,10060,10.8,21.7,43.4,0.89,0.44,0.22,1.17,0.59,0.29
NLD,Netherlands,41286,5185,1,1,90.1,54.1,7.27,3.64,1.82,1240885,620442,310221,3.3,6.7,13.3,6.91,3.46,1.73,7.86,3.93,1.96
NGA,Nigeria,2950,98,8,8,9.0,8.4,0.02,0.01,0.00,34818,17409,8704,8.5,16.9,33.9,0.02,0.01,0.00,0.02,0.01,0.01
NOR,Norway,7955,215,1,1,124.2,113.3,0.88,0.44,0.22,46845,23422,11711,17.0,34.0,67.9,0.86,0.43,0.21,0.91,0.46,0.23
PAK,Pakistan,22049,514,5,5,14.3,13.9,0.10,0.05,0.02,206122,103061,51530,10.7,21.4,42.8,0.08,0.04,0.02,0.13,0.07,0.03
PRT,Portugal,25702,1074,0,2,170.4,41.5,2.65,1.32,0.66,271446,135723,67861,9.5,18.9,37.9,2.48,1.24,0.62,2.93,1.46,0.73
POL,Poland,14431,716,2,2,29.0,28.8,0.53,0.26,0.13,200463,100231,50115,7.2,14.4,28.8,0.48,0.24,0.12,0.61,0.31,0.15
ROU,Romania,13837,841,3,3,27.5,22.8,1.32,0.66,0.33,257530,128765,64382,5.4,10.7,21.5,1.17,0.58,0.29,1.58,0.79,0.40
RUS,Russia,155370,1451,8,5,9.0,12.9,0.29,0.14,0.07,422399,211199,105599,36.8,73.6,147.1,0.26,0.13,0.07,0.34,0.17,0.09
ESP,Spain,219329,25613,1,1,113.5,70.5,12.59,6.30,3.15,5878630,2939315,1469657,3.7,7.5,14.9,12.10,6.05,3.03,13.36,6.68,3.34
SWE,Sweden,23216,2854,2,2,38.5,37.9,7.39,3.70,1.85,737318,368659,184329,3.1,6.3,12.6,6.87,3.44,1.72,8.25,4.13,2.06
CHE,Switzerland,30009,1795,0,1,268.2,118.2,4.57,2.29,1.14,389705,194852,97426,7.7,15.4,30.8,4.47,2.23,1.12,4.73,2.37,1.18
TUR,Turkey,129491,3520,1,2,49.9,36.2,1.10,0.55,0.28,920438,460219,230109,14.1,28.1,56.3,1.02,0.51,0.26,1.24,0.62,0.31
