Country,country-name,cases,deaths,case rate,death rate,doubling cases (days),doubling deaths (days),pct pop 0.5% mort,prct pop 1% mort,prct pop 2% mort,0.5% mort sim cases,1% mort sim cases,2% mort sim cases,prct rep cases 0.5% mort,prct rep cases 1% mort,prct rep cases 2% mort,pct pop 0.5% mort (10d),prct pop 1% mort (10d),prct pop 2% (10d),pct pop 0.5% mort (20d),prct pop 1% mort (20d),prct pop 2% (20d) 
AUT,Austria,14795,470,1,3,128.1,21.6,1.66,0.83,0.41,147276,73638,36819,10.0,20.1,40.2,1.46,0.73,0.36,2.01,1.00,0.50
ARG,Argentina,2941,136,3,4,21.0,17.1,0.11,0.05,0.03,48024,24012,12006,6.1,12.2,24.5,0.09,0.05,0.02,0.14,0.07,0.03
BRA,Brazil,40743,2587,7,7,9.6,9.5,0.41,0.21,0.10,863623,431811,215905,4.7,9.4,18.9,0.36,0.18,0.09,0.51,0.26,0.13
BGR,Bulgaria,929,43,4,3,19.6,25.5,0.18,0.09,0.04,12573,6286,3143,7.4,14.8,29.6,0.16,0.08,0.04,0.21,0.10,0.05
BEL,Belgium,39983,5828,3,5,20.4,15.1,19.34,9.67,4.84,2220850,1110425,555212,1.8,3.6,7.2,16.09,8.04,4.02,25.50,12.75,6.37
CAN,Canada,37658,1726,5,8,14.3,8.9,1.60,0.80,0.40,594269,297134,148567,6.3,12.7,25.3,1.37,0.69,0.34,2.02,1.01,0.51
COL,Colombia,3977,189,5,7,13.5,9.9,0.12,0.06,0.03,61736,30868,15434,6.4,12.9,25.8,0.11,0.05,0.03,0.15,0.08,0.04
DNK,Denmark,7711,364,2,3,32.3,22.6,1.94,0.97,0.49,111801,55900,27950,6.9,13.8,27.6,1.72,0.86,0.43,2.34,1.17,0.58
FRA,France,156480,20292,2,3,44.3,23.1,9.51,4.76,2.38,6180551,3090275,1545137,2.5,5.1,10.1,8.43,4.22,2.11,11.39,5.69,2.85
FIN,Finland,3868,98,4,7,19.4,10.3,0.57,0.28,0.14,31362,15681,7840,12.3,24.7,49.3,0.50,0.25,0.12,0.69,0.35,0.17
DEU,Germany,147065,4862,2,4,43.9,16.6,2.10,1.05,0.52,1742992,871496,435748,8.4,16.9,33.7,1.77,0.89,0.44,2.69,1.35,0.67
GRC,Greece,2245,116,0,2,177.4,28.3,0.31,0.16,0.08,32670,16335,8167,6.9,13.7,27.5,0.28,0.14,0.07,0.36,0.18,0.09
GTM,Guatemala,289,7,10,7,7.2,10.3,0.01,0.01,0.00,2242,1121,560,12.9,25.8,51.6,0.01,0.01,0.00,0.02,0.01,0.00
HUN,Hungary,1984,199,4,9,15.4,8.0,0.75,0.38,0.19,73014,36507,18253,2.7,5.4,10.9,0.63,0.32,0.16,0.98,0.49,0.24
IND,India,18539,592,8,7,8.2,9.9,0.01,0.01,0.00,192910,96455,48227,9.6,19.2,38.4,0.01,0.01,0.00,0.02,0.01,0.00
IDN,Indonesia,6760,590,5,5,13.6,15.1,0.08,0.04,0.02,224598,112299,56149,3.0,6.0,12.0,0.07,0.03,0.02,0.11,0.06,0.03
IRL,Ireland,15652,687,4,8,16.6,8.3,5.11,2.55,1.28,246134,123067,61533,6.4,12.7,25.4,4.32,2.16,1.08,6.56,3.28,1.64
ITA,Italy,181228,24114,2,2,39.0,33.4,10.64,5.32,2.66,6448958,3224479,1612239,2.8,5.6,11.2,9.79,4.89,2.45,12.05,6.02,3.01
IRN,Iran,83505,5209,2,2,40.7,41.6,1.61,0.80,0.40,1315759,657879,328939,6.3,12.7,25.4,1.50,0.75,0.38,1.78,0.89,0.44
ISR,Israel,13713,177,2,6,37.9,12.1,0.63,0.31,0.16,52789,26394,13197,26.0,52.0,103.9,0.56,0.28,0.14,0.75,0.37,0.19
JPN,Japan,10797,236,5,8,12.7,8.9,0.06,0.03,0.02,81534,40767,20383,13.2,26.5,53.0,0.05,0.03,0.01,0.08,0.04,0.02
MEX,Mexico,8261,686,9,11,8.0,6.1,0.24,0.12,0.06,304408,152204,76102,2.7,5.4,10.9,0.19,0.10,0.05,0.34,0.17,0.08
MDA,Moldova,2548,70,4,7,16.4,9.9,0.56,0.28,0.14,22826,11413,5706,11.2,22.3,44.7,0.49,0.25,0.12,0.69,0.35,0.17
NLD,Netherlands,33588,3764,3,3,20.5,22.4,6.81,3.41,1.70,1161725,580862,290431,2.9,5.8,11.6,6.02,3.01,1.50,8.20,4.10,2.05
NGA,Nigeria,665,22,11,13,6.6,5.5,0.01,0.00,0.00,10655,5327,2663,6.2,12.5,25.0,0.00,0.00,0.00,0.01,0.00,0.00
NOR,Norway,7156,181,1,4,73.6,18.5,1.14,0.57,0.29,61089,30544,15272,11.7,23.4,46.9,0.99,0.49,0.25,1.43,0.72,0.36
PAK,Pakistan,8418,176,6,9,12.3,8.1,0.03,0.02,0.01,64069,32034,16017,13.1,26.3,52.6,0.03,0.01,0.01,0.04,0.02,0.01
PRT,Portugal,20863,735,3,4,26.2,17.6,2.49,1.25,0.62,255438,127719,63859,8.2,16.3,32.7,2.13,1.06,0.53,3.16,1.58,0.79
POL,Poland,9593,380,5,5,14.2,15.0,0.38,0.19,0.10,145222,72611,36305,6.6,13.2,26.4,0.32,0.16,0.08,0.51,0.25,0.13
ROU,Romania,8936,478,4,5,18.4,14.2,0.97,0.49,0.24,189724,94862,47431,4.7,9.4,18.8,0.80,0.40,0.20,1.30,0.65,0.33
RUS,Russia,47121,405,13,14,5.2,5.0,0.15,0.07,0.04,214872,107436,53718,21.9,43.9,87.7,0.11,0.06,0.03,0.22,0.11,0.06
ESP,Spain,200210,20852,2,2,34.9,39.5,11.42,5.71,2.85,5331423,2665711,1332855,3.8,7.5,15.0,10.64,5.32,2.66,12.69,6.34,3.17
SWE,Sweden,14777,1580,4,4,16.8,15.9,5.83,2.91,1.46,581235,290617,145308,2.5,5.1,10.2,4.90,2.45,1.22,7.57,3.78,1.89
CHE,Switzerland,27944,1429,1,3,61.4,25.9,4.87,2.44,1.22,415458,207729,103864,6.7,13.5,26.9,4.38,2.19,1.09,5.72,2.86,1.43
TUR,Turkey,90980,2140,5,7,13.8,10.5,0.81,0.41,0.20,679227,339613,169806,13.4,26.8,53.6,0.71,0.36,0.18,0.99,0.50,0.25
GBR,UK,124743,16509,5,5,14.4,14.9,9.44,4.72,2.36,6337675,3168837,1584418,2.0,3.9,7.9,7.83,3.92,1.96,12.48,6.24,3.12
UKR,Ukraine,5710,151,8,6,8.8,10.7,0.11,0.05,0.03,47528,23764,11882,12.0,24.0,48.1,0.09,0.05,0.02,0.13,0.07,0.03
ARE,United Arab Emirates,7265,43,5,5,13.5,13.5,0.13,0.06,0.03,12327,6163,3081,58.9,117.9,235.7,0.12,0.06,0.03,0.15,0.07,0.04
