Country,country-name,cases,deaths,case rate,death rate,doubling cases (days),doubling deaths (days),pct pop 0.5% mort,prct pop 1% mort,prct pop 2% mort,0.5% mort sim cases,1% mort sim cases,2% mort sim cases,prct rep cases 0.5% mort,prct rep cases 1% mort,prct rep cases 2% mort,pct pop 0.5% mort (10d),prct pop 1% mort (10d),prct pop 2% (10d),pct pop 0.5% mort (20d),prct pop 1% mort (20d),prct pop 2% (20d) 
AUT,Austria,15684,608,0,1,355.0,130.4,1.47,0.74,0.37,130994,65497,32748,12.0,23.9,47.9,1.44,0.72,0.36,1.52,0.76,0.38
ARG,Argentina,5208,273,3,4,26.5,19.6,0.20,0.10,0.05,89554,44777,22388,5.8,11.6,23.3,0.18,0.09,0.04,0.25,0.12,0.06
BRA,Brazil,126611,8588,7,6,10.6,11.6,1.25,0.62,0.31,2608421,1304210,652105,4.9,9.7,19.4,1.11,0.55,0.28,1.49,0.74,0.37
BGR,Bulgaria,1778,84,3,4,25.6,17.3,0.42,0.21,0.10,29405,14702,7351,6.0,12.1,24.2,0.36,0.18,0.09,0.53,0.27,0.13
BEL,Belgium,50781,8339,1,2,111.0,42.2,18.28,9.14,4.57,2099206,1049603,524801,2.4,4.8,9.7,17.12,8.56,4.28,20.18,10.09,5.04
CAN,Canada,64694,4366,3,4,26.2,15.8,4.35,2.18,1.09,1613824,806912,403456,4.0,8.0,16.0,3.65,1.83,0.91,5.66,2.83,1.42
COL,Colombia,8959,397,5,5,13.1,13.5,0.23,0.11,0.06,113650,56825,28412,7.9,15.8,31.5,0.21,0.10,0.05,0.27,0.13,0.07
DNK,Denmark,10136,506,1,2,50.3,42.0,2.22,1.11,0.55,127488,63744,31872,8.0,15.9,31.8,2.07,1.04,0.52,2.45,1.22,0.61
FRA,France,174224,25812,1,1,90.0,64.0,9.24,4.62,2.31,6007059,3003529,1501764,2.9,5.8,11.6,8.85,4.43,2.21,9.86,4.93,2.47
FIN,Finland,5573,252,2,3,39.1,20.5,1.47,0.73,0.37,80995,40497,20248,6.9,13.8,27.5,1.28,0.64,0.32,1.80,0.90,0.45
DEU,Germany,168162,7275,0,1,149.3,46.3,2.16,1.08,0.54,1794609,897304,448652,9.4,18.7,37.5,2.03,1.02,0.51,2.36,1.18,0.59
GRC,Greece,2663,147,0,1,179.4,100.5,0.31,0.15,0.08,32380,16190,8095,8.2,16.4,32.9,0.30,0.15,0.07,0.32,0.16,0.08
GTM,Guatemala,798,21,4,5,18.3,13.0,0.04,0.02,0.01,6102,3051,1525,13.1,26.2,52.3,0.03,0.02,0.01,0.04,0.02,0.01
HUN,Hungary,3111,373,1,3,51.8,24.7,1.14,0.57,0.28,110457,55228,27614,2.8,5.6,11.3,1.02,0.51,0.25,1.35,0.67,0.34
IND,India,52987,1785,7,8,9.5,8.7,0.05,0.02,0.01,623029,311514,155757,8.5,17.0,34.0,0.04,0.02,0.01,0.06,0.03,0.01
IDN,Indonesia,12438,895,4,2,19.8,38.5,0.09,0.04,0.02,230249,115124,57562,5.4,10.8,21.6,0.08,0.04,0.02,0.10,0.05,0.02
IRL,Ireland,22248,1375,1,2,57.4,43.0,7.15,3.58,1.79,344568,172284,86142,6.5,12.9,25.8,6.71,3.35,1.68,7.88,3.94,1.97
ITA,Italy,214457,29684,1,1,117.0,85.0,10.98,5.49,2.74,6654690,3327345,1663672,3.2,6.4,12.9,10.62,5.31,2.66,11.53,5.76,2.88
IRN,Iran,101650,6418,1,1,53.0,65.9,1.82,0.91,0.45,1487288,743644,371822,6.8,13.7,27.3,1.74,0.87,0.44,1.94,0.97,0.48
ISR,Israel,16310,239,0,1,340.2,62.4,0.67,0.33,0.17,55837,27918,13959,29.2,58.4,116.8,0.64,0.32,0.16,0.71,0.36,0.18
JPN,Japan,15253,556,1,5,59.5,15.3,0.16,0.08,0.04,209266,104633,52316,7.3,14.6,29.2,0.14,0.07,0.03,0.22,0.11,0.05
MEX,Mexico,27634,2704,6,7,12.6,10.0,0.70,0.35,0.17,879575,439787,219893,3.1,6.3,12.6,0.61,0.30,0.15,0.86,0.43,0.21
MDA,Moldova,4476,143,3,4,27.1,18.8,1.18,0.59,0.30,47974,23987,11993,9.3,18.7,37.3,1.02,0.51,0.26,1.48,0.74,0.37
NLD,Netherlands,41518,5221,1,1,105.8,64.6,7.11,3.56,1.78,1213517,606758,303379,3.4,6.8,13.7,6.81,3.41,1.70,7.59,3.79,1.90
NGA,Nigeria,3145,103,7,5,10.0,13.8,0.01,0.01,0.00,29298,14649,7324,10.7,21.5,42.9,0.01,0.01,0.00,0.02,0.01,0.00
NOR,Norway,7996,216,1,1,113.6,105.6,0.89,0.44,0.22,47356,23678,11839,16.9,33.8,67.5,0.86,0.43,0.22,0.92,0.46,0.23
