Country,country-name,cases,deaths,case rate,death rate,doubling cases (days),doubling deaths (days),pct pop 0.5% mort,prct pop 1% mort,prct pop 2% mort,0.5% mort sim cases,1% mort sim cases,2% mort sim cases,prct rep cases 0.5% mort,prct rep cases 1% mort,prct rep cases 2% mort,pct pop 0.5% mort (10d),prct pop 1% mort (10d),prct pop 2% (10d),pct pop 0.5% mort (20d),prct pop 1% mort (20d),prct pop 2% (20d) 
AUT,Austria,15833,615,0,0,239.2,176.4,1.46,0.73,0.37,129957,64978,32489,12.2,24.4,48.7,1.44,0.72,0.36,1.50,0.75,0.37
ARG,Argentina,5776,300,4,3,19.5,21.2,0.21,0.11,0.05,94751,47375,23687,6.1,12.2,24.4,0.19,0.09,0.05,0.26,0.13,0.06
BRA,Brazil,156061,10656,8,7,9.2,9.3,1.71,0.86,0.43,3584697,1792348,896174,4.4,8.7,17.4,1.48,0.74,0.37,2.14,1.07,0.53
BGR,Bulgaria,1921,90,3,3,23.8,26.8,0.37,0.18,0.09,25870,12935,6467,7.4,14.9,29.7,0.33,0.17,0.08,0.43,0.21,0.11
BEL,Belgium,52596,8581,1,2,66.1,43.9,18.64,9.32,4.66,2140521,1070260,535130,2.5,4.9,9.8,17.50,8.75,4.38,20.49,10.25,5.12
CAN,Canada,68918,4823,2,4,31.8,19.6,4.27,2.14,1.07,1584411,792205,396102,4.3,8.7,17.4,3.71,1.85,0.93,5.29,2.64,1.32
COL,Colombia,10495,445,5,4,13.6,17.3,0.31,0.16,0.08,156147,78073,39036,6.7,13.4,26.9,0.27,0.13,0.07,0.40,0.20,0.10
DNK,Denmark,10517,526,1,1,55.8,57.5,2.17,1.08,0.54,124541,62270,31135,8.4,16.9,33.8,2.06,1.03,0.52,2.33,1.16,0.58
FRA,France,176782,26313,1,1,85.1,91.1,9.01,4.50,2.25,5853809,2926904,1463452,3.0,6.0,12.1,8.74,4.37,2.18,9.43,4.71,2.36
FIN,Finland,5880,265,2,2,35.5,38.5,1.23,0.62,0.31,68194,34097,17048,8.6,17.2,34.5,1.15,0.57,0.29,1.38,0.69,0.34
DEU,Germany,171324,7549,1,2,106.0,37.5,2.35,1.18,0.59,1955607,977803,488901,8.8,17.5,35.0,2.19,1.09,0.55,2.63,1.31,0.66
GRC,Greece,2710,151,1,1,113.1,79.2,0.32,0.16,0.08,34137,17068,8534,7.9,15.9,31.8,0.31,0.16,0.08,0.34,0.17,0.09
GTM,Guatemala,967,24,6,6,11.7,11.5,0.04,0.02,0.01,7309,3654,1827,13.2,26.5,52.9,0.04,0.02,0.01,0.05,0.03,0.01
HUN,Hungary,3213,405,1,3,59.9,25.8,1.22,0.61,0.30,117985,58992,29496,2.7,5.4,10.9,1.09,0.55,0.27,1.43,0.71,0.36
IND,India,62808,2101,6,5,11.6,12.9,0.05,0.02,0.01,612376,306188,153094,10.3,20.5,41.0,0.04,0.02,0.01,0.05,0.03,0.01
IDN,Indonesia,13645,959,3,2,23.3,28.6,0.10,0.05,0.03,269313,134656,67328,5.1,10.1,20.3,0.09,0.05,0.02,0.12,0.06,0.03
IRL,Ireland,22760,1446,1,2,84.0,36.0,7.86,3.93,1.96,378534,189267,94633,6.0,12.0,24.1,7.28,3.64,1.82,8.82,4.41,2.20
ITA,Italy,218268,30395,1,1,112.9,77.3,11.37,5.68,2.84,6891676,3445838,1722919,3.2,6.3,12.7,10.97,5.48,2.74,12.00,6.00,3.00
IRN,Iran,106220,6589,2,1,46.0,72.2,1.84,0.92,0.46,1507427,753713,376856,7.0,14.1,28.2,1.77,0.89,0.44,1.95,0.98,0.49
ISR,Israel,16454,247,0,1,248.9,70.0,0.68,0.34,0.17,56746,28373,14186,29.0,58.0,116.0,0.65,0.33,0.16,0.72,0.36,0.18
