Country,country-name,cases,deaths,case rate,death rate,doubling cases (days),doubling deaths (days),pct pop 0.5% mort,prct pop 1% mort,prct pop 2% mort,0.5% mort sim cases,1% mort sim cases,2% mort sim cases,prct rep cases 0.5% mort,prct rep cases 1% mort,prct rep cases 2% mort,pct pop 0.5% mort (10d),prct pop 1% mort (10d),prct pop 2% (10d),pct pop 0.5% mort (20d),prct pop 1% mort (20d),prct pop 2% (20d) 
AUT,Austria,15882,620,0,0,307.1,163.9,1.48,0.74,0.37,131564,65782,32891,12.1,24.1,48.3,1.45,0.73,0.36,1.52,0.76,0.38
ARG,Argentina,6278,314,4,3,18.0,27.2,0.20,0.10,0.05,89757,44878,22439,7.0,14.0,28.0,0.18,0.09,0.05,0.24,0.12,0.06
BRA,Brazil,169594,11653,5,6,12.7,12.0,1.67,0.83,0.42,3496856,1748428,874214,4.8,9.7,19.4,1.49,0.74,0.37,1.99,0.99,0.50
BGR,Bulgaria,1990,93,2,3,31.9,26.7,0.38,0.19,0.09,26769,13384,6692,7.4,14.9,29.7,0.34,0.17,0.09,0.44,0.22,0.11
BEL,Belgium,53449,8707,1,1,70.9,82.6,17.06,8.53,4.26,1958557,979278,489639,2.7,5.5,10.9,16.49,8.25,4.12,17.94,8.97,4.48
CAN,Canada,71264,5115,2,3,38.0,23.2,4.19,2.10,1.05,1554293,777146,388573,4.6,9.2,18.3,3.72,1.86,0.93,5.02,2.51,1.25
COL,Colombia,11613,479,5,4,13.7,17.1,0.34,0.17,0.08,168745,84372,42186,6.9,13.8,27.5,0.29,0.14,0.07,0.43,0.22,0.11
DNK,Denmark,10711,533,1,1,68.0,80.7,2.09,1.05,0.52,120225,60112,30056,8.9,17.8,35.6,2.02,1.01,0.50,2.20,1.10,0.55
FRA,France,177547,26646,0,1,198.7,124.8,8.86,4.43,2.22,5760243,2880121,1440060,3.1,6.2,12.3,8.67,4.33,2.17,9.16,4.58,2.29
FIN,Finland,5984,271,1,1,47.8,46.7,1.21,0.60,0.30,66704,33352,16676,9.0,17.9,35.9,1.14,0.57,0.28,1.32,0.66,0.33
DEU,Germany,172576,7661,0,1,156.3,87.4,2.06,1.03,0.51,1712139,856069,428034,10.1,20.2,40.3,2.00,1.00,0.50,2.16,1.08,0.54
GRC,Greece,2726,151,0,0,154.8,148.2,0.31,0.15,0.08,32244,16122,8061,8.5,16.9,33.8,0.30,0.15,0.08,0.32,0.16,0.08
GTM,Guatemala,1114,26,7,3,9.4,21.3,0.05,0.02,0.01,8198,4099,2049,13.6,27.2,54.3,0.04,0.02,0.01,0.06,0.03,0.01
HUN,Hungary,3284,421,1,2,63.2,28.7,1.22,0.61,0.30,118052,59026,29513,2.8,5.6,11.1,1.10,0.55,0.28,1.41,0.70,0.35
IND,India,70768,2294,6,5,12.1,14.0,0.07,0.03,0.02,919750,459875,229937,7.7,15.4,30.8,0.06,0.03,0.01,0.09,0.05,0.02
IDN,Indonesia,14265,991,3,2,24.0,43.8,0.09,0.05,0.02,247399,123699,61849,5.8,11.5,23.1,0.09,0.04,0.02,0.10,0.05,0.03
IRL,Ireland,23135,1467,1,1,80.7,63.4,7.10,3.55,1.77,341915,170957,85478,6.8,13.5,27.1,6.79,3.40,1.70,7.58,3.79,1.89
ITA,Italy,219814,30739,0,1,154.2,109.5,11.08,5.54,2.77,6717380,3358690,1679345,3.3,6.5,13.1,10.80,5.40,2.70,11.51,5.75,2.88
IRN,Iran,109286,6685,1,1,48.4,91.9,1.82,0.91,0.45,1485981,742990,371495,7.4,14.7,29.4,1.76,0.88,0.44,1.90,0.95,0.48
ISR,Israel,16506,258,0,2,391.7,40.1,0.78,0.39,0.20,65723,32861,16430,25.1,50.2,100.5,0.73,0.37,0.18,0.87,0.43,0.22
JPN,Japan,15847,633,1,2,115.3,28.7,0.14,0.07,0.03,177475,88737,44368,8.9,17.9,35.7,0.13,0.06,0.03,0.16,0.08,0.04
MEX,Mexico,36327,3573,5,5,13.5,14.8,1.09,0.55,0.27,1375784,687892,343946,2.6,5.3,10.6,0.90,0.45,0.23,1.44,0.72,0.36
MDA,Moldova,4995,175,2,5,34.0,14.0,1.73,0.86,0.43,70025,35012,17506,7.1,14.3,28.5,1.42,0.71,0.35,2.33,1.16,0.58
NLD,Netherlands,42987,5475,1,1,115.0,89.0,7.16,3.58,1.79,1221078,610539,305269,3.5,7.0,14.1,6.94,3.47,1.73,7.50,3.75,1.88
NGA,Nigeria,4641,150,7,9,10.4,7.9,0.03,0.01,0.01,55400,27700,13850,8.4,16.8,33.5,0.02,0.01,0.01,0.04,0.02,0.01
NOR,Norway,8132,224,0,1,242.6,101.8,0.92,0.46,0.23,49279,24639,12319,16.5,33.0,66.0,0.90,0.45,0.22,0.96,0.48,0.24
PAK,Pakistan,32081,706,7,5,10.4,14.7,0.13,0.06,0.03,273208,136604,68302,11.7,23.5,47.0,0.11,0.05,0.03,0.17,0.09,0.04
PRT,Portugal,27679,1144,1,1,84.2,78.7,2.52,1.26,0.63,258815,129407,64703,10.7,21.4,42.8,2.44,1.22,0.61,2.66,1.33,0.67
POL,Poland,16326,811,2,2,34.1,39.9,0.55,0.27,0.14,206812,103406,51703,7.9,15.8,31.6,0.51,0.25,0.13,0.61,0.30,0.15
ROU,Romania,15588,982,2,2,38.2,28.7,1.41,0.71,0.35,275440,137720,68860,5.7,11.3,22.6,1.28,0.64,0.32,1.63,0.82,0.41
RUS,Russia,221344,2009,6,5,12.5,13.1,0.40,0.20,0.10,582244,291122,145561,38.0,76.0,152.1,0.36,0.18,0.09,0.47,0.23,0.12
ESP,Spain,227436,26744,1,1,115.4,109.6,12.52,6.26,3.13,5843788,2921894,1460947,3.9,7.8,15.6,12.20,6.10,3.05,13.00,6.50,3.25
SWE,Sweden,26670,3256,2,2,34.5,45.3,8.09,4.04,2.02,806649,403324,201662,3.3,6.6,13.2,7.61,3.80,1.90,8.87,4.43,2.22
CHE,Switzerland,30344,1845,0,0,392.5,158.3,4.60,2.30,1.15,392321,196160,98080,7.7,15.5,30.9,4.52,2.26,1.13,4.72,2.36,1.18
TUR,Turkey,139771,3841,1,1,62.4,52.2,1.11,0.55,0.28,925297,462648,231324,15.1,30.2,60.4,1.05,0.53,0.26,1.20,0.60,0.30
GBR,UK,226463,32692,2,1,39.9,65.5,11.29,5.65,2.82,7582455,3791227,1895613,3.0,6.0,11.9,10.83,5.41,2.71,12.03,6.02,3.01
