Country,country-name,cases,deaths,case rate,death rate,doubling cases (days),doubling deaths (days),pct pop 0.5% mort,prct pop 1% mort,prct pop 2% mort,0.5% mort sim cases,1% mort sim cases,2% mort sim cases,prct rep cases 0.5% mort,prct rep cases 1% mort,prct rep cases 2% mort,pct pop 0.5% mort (10d),prct pop 1% mort (10d),prct pop 2% (10d),pct pop 0.5% mort (20d),prct pop 1% mort (20d),prct pop 2% (20d) 
AUT,Austria,15621,600,0,1,266.6,100.1,1.49,0.74,0.37,132211,66105,33052,11.8,23.6,47.3,1.45,0.72,0.36,1.55,0.78,0.39
ARG,Argentina,4887,260,3,4,27.6,15.7,0.22,0.11,0.05,96494,48247,24123,5.1,10.1,20.3,0.18,0.09,0.05,0.28,0.14,0.07
BRA,Brazil,108620,7367,5,5,12.9,13.8,1.00,0.50,0.25,2095985,1047992,523996,5.2,10.4,20.7,0.90,0.45,0.23,1.16,0.58,0.29
BGR,Bulgaria,1652,78,2,4,30.8,17.1,0.39,0.20,0.10,27504,13752,6876,6.0,12.0,24.0,0.33,0.17,0.08,0.50,0.25,0.12
BEL,Belgium,50267,7924,1,1,78.4,67.2,15.95,7.97,3.99,1831175,915587,457793,2.7,5.5,11.0,15.30,7.65,3.83,16.97,8.48,4.24
CAN,Canada,61957,4003,3,5,21.0,15.4,4.06,2.03,1.01,1504472,752236,376118,4.1,8.2,16.5,3.39,1.69,0.85,5.32,2.66,1.33
COL,Colombia,7973,358,5,5,14.0,14.4,0.28,0.14,0.07,140257,70128,35064,5.7,11.4,22.7,0.23,0.12,0.06,0.38,0.19,0.09
DNK,Denmark,9868,493,1,2,53.9,30.9,2.35,1.17,0.59,135015,67507,33753,7.3,14.6,29.2,2.15,1.07,0.54,2.69,1.34,0.67
FRA,France,169583,25204,0,1,188.6,92.4,8.62,4.31,2.15,5598897,2799448,1399724,3.0,6.1,12.1,8.36,4.18,2.09,9.01,4.51,2.25
FIN,Finland,5327,240,2,3,41.2,22.3,1.34,0.67,0.34,74203,37101,18550,7.2,14.4,28.7,1.19,0.59,0.30,1.62,0.81,0.40
DEU,Germany,166152,6993,0,1,144.9,54.2,2.01,1.01,0.50,1672709,836354,418177,9.9,19.9,39.7,1.91,0.96,0.48,2.17,1.09,0.54
GRC,Greece,2632,146,0,1,188.6,61.8,0.32,0.16,0.08,34161,17080,8540,7.7,15.4,30.8,0.31,0.16,0.08,0.35,0.17,0.09
GTM,Guatemala,730,19,5,4,14.3,17.1,0.04,0.02,0.01,6692,3346,1673,10.9,21.8,43.6,0.03,0.02,0.01,0.05,0.02,0.01
HUN,Hungary,3035,351,2,3,30.8,24.2,1.08,0.54,0.27,104894,52447,26223,2.9,5.8,11.6,0.96,0.48,0.24,1.28,0.64,0.32
IND,India,46437,1566,7,7,9.8,9.4,0.04,0.02,0.01,525499,262749,131374,8.8,17.7,35.3,0.03,0.02,0.01,0.05,0.02,0.01
IDN,Indonesia,11587,864,3,2,21.0,30.3,0.09,0.04,0.02,238026,119013,59506,4.9,9.7,19.5,0.08,0.04,0.02,0.10,0.05,0.03
IRL,Ireland,21772,1319,1,2,49.1,41.7,6.91,3.45,1.73,332847,166423,83211,6.5,13.1,26.2,6.46,3.23,1.62,7.63,3.82,1.91
ITA,Italy,211938,29079,1,1,89.1,68.9,11.04,5.52,2.76,6696059,3348029,1674014,3.2,6.3,12.7,10.61,5.30,2.65,11.73,5.87,2.93
IRN,Iran,98647,6277,1,1,68.4,69.9,1.76,0.88,0.44,1442385,721192,360596,6.8,13.7,27.4,1.69,0.85,0.42,1.87,0.94,0.47
ISR,Israel,16246,235,0,1,157.9,48.0,0.69,0.34,0.17,57534,28767,14383,28.2,56.5,112.9,0.65,0.32,0.16,0.75,0.37,0.19
JPN,Japan,15078,536,2,5,39.6,13.6,0.12,0.06,0.03,153049,76524,38262,9.9,19.7,39.4,0.11,0.05,0.03,0.14,0.07,0.04
MEX,Mexico,24905,2271,6,5,10.8,14.2,0.71,0.36,0.18,900216,450108,225054,2.8,5.5,11.1,0.59,0.29,0.15,0.96,0.48,0.24
MDA,Moldova,4248,132,2,3,33.4,24.5,0.97,0.48,0.24,39219,19609,9804,10.8,21.7,43.3,0.86,0.43,0.22,1.15,0.57,0.29
NLD,Netherlands,40968,5098,1,1,75.6,46.7,7.36,3.68,1.84,1255310,627655,313827,3.3,6.5,13.1,6.93,3.47,1.73,8.04,4.02,2.01
NGA,Nigeria,2802,93,9,12,7.6,5.8,0.02,0.01,0.01,42805,21402,10701,6.5,13.1,26.2,0.02,0.01,0.00,0.03,0.02,0.01
NOR,Norway,7904,214,1,0,136.9,163.1,0.85,0.43,0.21,45423,22711,11355,17.4,34.8,69.6,0.84,0.42,0.21,0.87,0.44,0.22
PAK,Pakistan,20941,476,5,5,12.8,13.4,0.06,0.03,0.02,136611,68305,34152,15.3,30.7,61.3,0.06,0.03,0.01,0.08,0.04,0.02
PRT,Portugal,25524,1063,0,2,197.1,38.6,2.66,1.33,0.67,273315,136657,68328,9.3,18.7,37.4,2.48,1.24,0.62,2.97,1.48,0.74
POL,Poland,14006,698,2,2,32.7,34.4,0.49,0.24,0.12,185143,92571,46285,7.6,15.1,30.3,0.45,0.23,0.11,0.55,0.28,0.14
ROU,Romania,13512,818,2,3,28.4,21.4,1.32,0.66,0.33,257344,128672,64336,5.3,10.5,21.0,1.16,0.58,0.29,1.60,0.80,0.40
RUS,Russia,145268,1356,8,6,8.8,12.4,0.28,0.14,0.07,401042,200521,100260,36.2,72.4,144.9,0.25,0.12,0.06,0.33,0.16,0.08
ESP,Spain,218011,25428,1,1,113.4,69.5,12.53,6.26,3.13,5848213,2924106,1462053,3.7,7.5,14.9,12.03,6.02,3.01,13.30,6.65,3.32
SWE,Sweden,22721,2769,2,1,37.4,47.3,6.82,3.41,1.70,679871,339935,169967,3.3,6.7,13.4,6.43,3.22,1.61,7.44,3.72,1.86
CHE,Switzerland,29981,1784,0,1,208.6,119.6,4.54,2.27,1.13,386952,193476,96738,7.7,15.5,31.0,4.44,2.22,1.11,4.70,2.35,1.17
TUR,Turkey,127659,3461,1,2,46.3,32.3,1.12,0.56,0.28,935188,467594,233797,13.7,27.3,54.6,1.03,0.51,0.26,1.28,0.64,0.32
GBR,UK,194990,29472,2,2,29.7,43.6,10.97,5.48,2.74,7363904,3681952,1840976,2.6,5.3,10.6,10.29,5.15,2.57,12.07,6.03,3.02
UKR,Ukraine,12331,303,4,4,16.0,19.5,0.23,0.11,0.06,99694,49847,24923,12.4,24.7,49.5,0.20,0.10,0.05,0.28,0.14,0.07
ARE,United Arab Emirates,14730,137,4,7,16.7,10.5,0.45,0.23,0.11,43453,21726,10863,33.9,67.8,135.6,0.40,0.20,0.10,0.55,0.27,0.14
USA,US,1180375,68922,2,2,28.2,31.3,5.74,2.87,1.44,18785845,9392922,4696461,6.3,12.6,25.1,5.26,2.63,1.31,6.56,3.28,1.64
