Country,country-name,cases,deaths,case rate,death rate,doubling cases (days),doubling deaths (days),pct pop 0.5% mort,prct pop 1% mort,prct pop 2% mort,0.5% mort sim cases,1% mort sim cases,2% mort sim cases,prct rep cases 0.5% mort,prct rep cases 1% mort,prct rep cases 2% mort,pct pop 0.5% mort (10d),prct pop 1% mort (10d),prct pop 2% (10d),pct pop 0.5% mort (20d),prct pop 1% mort (20d),prct pop 2% (20d) 
AUT,Austria,15558,596,0,1,201.8,64.1,1.56,0.78,0.39,138679,69339,34669,11.2,22.4,44.9,1.49,0.75,0.37,1.66,0.83,0.42
ARG,Argentina,4681,237,3,3,22.5,21.6,0.17,0.08,0.04,74273,37136,18568,6.3,12.6,25.2,0.15,0.07,0.04,0.20,0.10,0.05
BRA,Brazil,97100,6761,7,7,9.8,9.6,1.07,0.53,0.27,2240845,1120422,560211,4.3,8.7,17.3,0.93,0.46,0.23,1.33,0.66,0.33
BGR,Bulgaria,1594,72,3,5,20.8,14.1,0.41,0.20,0.10,28718,14359,7179,5.6,11.1,22.2,0.33,0.17,0.08,0.55,0.27,0.14
BEL,Belgium,49517,7765,1,1,60.6,49.0,16.49,8.25,4.12,1893509,946754,473377,2.6,5.2,10.5,15.58,7.79,3.90,17.95,8.98,4.49
CAN,Canada,57926,3684,3,5,22.2,12.9,2.89,1.45,0.72,1072574,536287,268143,5.4,10.8,21.6,2.60,1.30,0.65,3.40,1.70,0.85
COL,Colombia,7285,324,5,5,13.2,14.0,0.26,0.13,0.07,129369,64684,32342,5.6,11.3,22.5,0.21,0.11,0.05,0.35,0.18,0.09
DNK,Denmark,9605,475,2,2,45.7,31.8,2.24,1.12,0.56,128940,64470,32235,7.4,14.9,29.8,2.05,1.03,0.51,2.56,1.28,0.64
FRA,France,168518,24763,-0,1,-3906.3,63.6,8.88,4.44,2.22,5769554,2884777,1442388,2.9,5.8,11.7,8.50,4.25,2.12,9.48,4.74,2.37
FIN,Finland,5176,220,2,3,33.8,26.9,1.14,0.57,0.29,63077,31538,15769,8.2,16.4,32.8,1.03,0.52,0.26,1.33,0.67,0.33
DEU,Germany,164967,6812,1,2,89.1,36.0,2.15,1.07,0.54,1784019,892009,446004,9.2,18.5,37.0,1.99,0.99,0.50,2.41,1.20,0.60
GRC,Greece,2620,143,1,1,124.8,88.5,0.30,0.15,0.08,31915,15957,7978,8.2,16.4,32.8,0.29,0.15,0.07,0.32,0.16,0.08
GTM,Guatemala,688,17,7,3,10.4,27.7,0.03,0.01,0.01,4827,2413,1206,14.3,28.5,57.0,0.03,0.01,0.01,0.03,0.02,0.01
HUN,Hungary,2942,335,3,4,26.8,19.5,1.14,0.57,0.28,110208,55104,27552,2.7,5.3,10.7,0.98,0.49,0.25,1.41,0.70,0.35
IND,India,39699,1323,6,7,11.7,10.4,0.03,0.02,0.01,422680,211340,105670,9.4,18.8,37.6,0.03,0.01,0.01,0.04,0.02,0.01
IDN,Indonesia,10843,831,3,2,20.5,42.0,0.08,0.04,0.02,209360,104680,52340,5.2,10.4,20.7,0.07,0.04,0.02,0.09,0.04,0.02
IRL,Ireland,21176,1286,2,3,44.8,25.8,7.78,3.89,1.95,374863,187431,93715,5.6,11.3,22.6,6.99,3.49,1.75,9.14,4.57,2.29
ITA,Italy,209328,28710,1,1,73.1,59.6,11.14,5.57,2.79,6756526,3378263,1689131,3.1,6.2,12.4,10.64,5.32,2.66,11.95,5.97,2.99
IRN,Iran,96448,6156,1,1,67.4,60.3,1.77,0.88,0.44,1446286,723143,361571,6.7,13.3,26.7,1.69,0.84,0.42,1.89,0.95,0.47
ISR,Israel,16185,229,1,2,93.7,31.7,0.74,0.37,0.19,62206,31103,15551,26.0,52.0,104.1,0.68,0.34,0.17,0.85,0.42,0.21
JPN,Japan,14571,474,1,5,47.1,14.9,0.14,0.07,0.04,182173,91086,45543,8.0,16.0,32.0,0.12,0.06,0.03,0.19,0.09,0.05
MEX,Mexico,22088,2061,7,7,9.8,10.3,0.52,0.26,0.13,661296,330648,165324,3.3,6.7,13.4,0.46,0.23,0.11,0.64,0.32,0.16
MDA,Moldova,4052,124,3,5,25.7,14.9,1.17,0.59,0.29,47592,23796,11898,8.5,17.0,34.1,0.98,0.49,0.24,1.55,0.78,0.39
NLD,Netherlands,40434,5003,1,2,59.1,32.5,7.91,3.95,1.98,1349342,674671,337335,3.0,6.0,12.0,7.26,3.63,1.82,8.99,4.50,2.25
NGA,Nigeria,2388,85,11,16,6.2,4.3,0.03,0.01,0.01,52270,26135,13067,4.6,9.1,18.3,0.02,0.01,0.00,0.04,0.02,0.01
NOR,Norway,7809,211,0,1,144.5,111.2,0.86,0.43,0.22,46049,23024,11512,17.0,33.9,67.8,0.84,0.42,0.21,0.90,0.45,0.22
PAK,Pakistan,19103,440,7,9,10.0,7.9,0.08,0.04,0.02,163263,81631,40815,11.7,23.4,46.8,0.06,0.03,0.02,0.10,0.05,0.03
PRT,Portugal,25190,1023,1,2,66.6,37.1,2.59,1.30,0.65,265691,132845,66422,9.5,19.0,37.9,2.40,1.20,0.60,2.90,1.45,0.72
POL,Poland,13375,664,2,3,31.9,26.8,0.50,0.25,0.13,190692,95346,47673,7.0,14.0,28.1,0.45,0.23,0.11,0.59,0.29,0.15
ROU,Romania,12732,771,2,4,29.9,18.6,1.33,0.67,0.33,259880,129940,64970,4.9,9.8,19.6,1.15,0.57,0.29,1.67,0.83,0.42
RUS,Russia,124054,1222,7,9,9.8,8.0,0.31,0.15,0.08,449653,224826,112413,27.6,55.2,110.4,0.26,0.13,0.06,0.40,0.20,0.10
ESP,Spain,216582,25100,-2,1,-28.5,60.0,12.64,6.32,3.16,5901017,2950508,1475254,3.7,7.3,14.7,12.07,6.03,3.02,13.55,6.77,3.39
SWE,Sweden,22082,2669,3,3,23.5,21.3,8.44,4.22,2.11,841412,420706,210353,2.6,5.2,10.5,7.41,3.70,1.85,10.26,5.13,2.56
CHE,Switzerland,29817,1762,0,1,145.9,73.2,4.72,2.36,1.18,402372,201186,100593,7.4,14.8,29.6,4.54,2.27,1.14,5.00,2.50,1.25
TUR,Turkey,124375,3336,2,3,34.2,25.3,1.17,0.59,0.29,978497,489248,244624,12.7,25.4,50.8,1.05,0.53,0.26,1.38,0.69,0.35
GBR,UK,182260,28131,3,6,21.8,12.1,12.52,6.26,3.13,8407705,4203852,2101926,2.2,4.3,8.7,11.16,5.58,2.79,14.88,7.44,3.72
UKR,Ukraine,11411,279,5,4,14.4,17.6,0.22,0.11,0.05,96848,48424,24212,11.8,23.6,47.1,0.19,0.09,0.05,0.28,0.14,0.07
ARE,United Arab Emirates,13599,119,4,7,15.6,9.8,0.40,0.20,0.10,38999,19499,9749,34.9,69.7,139.5,0.35,0.18,0.09,0.50,0.25,0.13
USA,US,1132539,66369,3,3,24.5,21.6,6.36,3.18,1.59,20791793,10395896,5197948,5.4,10.9,21.8,5.59,2.80,1.40,7.70,3.85,1.93
