Country,country-name,cases,deaths,case rate,death rate,doubling cases (days),doubling deaths (days),pct pop 0.5% mort,prct pop 1% mort,prct pop 2% mort,0.5% mort sim cases,1% mort sim cases,2% mort sim cases,prct rep cases 0.5% mort,prct rep cases 1% mort,prct rep cases 2% mort,pct pop 0.5% mort (10d),prct pop 1% mort (10d),prct pop 2% (10d),pct pop 0.5% mort (20d),prct pop 1% mort (20d),prct pop 2% (20d) 
AUT,Austria,14336,393,1,4,72.7,17.3,1.55,0.77,0.39,137634,68817,34408,10.4,20.8,41.7,1.32,0.66,0.33,1.97,0.98,0.49
ARG,Argentina,2443,111,6,7,12.2,9.8,0.08,0.04,0.02,36403,18201,9100,6.7,13.4,26.8,0.07,0.04,0.02,0.10,0.05,0.03
BRA,Brazil,28320,1736,10,11,7.0,6.3,0.36,0.18,0.09,747066,373533,186766,3.8,7.6,15.2,0.29,0.14,0.07,0.50,0.25,0.12
BGR,Bulgaria,747,36,4,9,18.3,8.1,0.19,0.09,0.05,13139,6569,3284,5.7,11.4,22.7,0.16,0.08,0.04,0.24,0.12,0.06
BEL,Belgium,33573,4440,6,7,11.4,9.8,12.71,6.35,3.18,1459308,729654,364827,2.3,4.6,9.2,11.03,5.51,2.76,15.72,7.86,3.93
CAN,Canada,1870,48,6,11,12.2,6.1,0.06,0.03,0.01,21363,10681,5340,8.8,17.5,35.0,0.05,0.02,0.01,0.08,0.04,0.02
COL,Colombia,3105,131,3,15,20.2,4.5,0.15,0.08,0.04,76137,38068,19034,4.1,8.2,16.3,0.11,0.06,0.03,0.24,0.12,0.06
DNK,Denmark,6876,309,3,4,26.5,15.9,1.98,0.99,0.49,113830,56915,28457,6.0,12.1,24.2,1.66,0.83,0.42,2.57,1.29,0.64
FRA,France,134582,17188,6,9,11.1,7.5,10.10,5.05,2.52,6560791,3280395,1640197,2.1,4.1,8.2,8.39,4.20,2.10,13.32,6.66,3.33
FIN,Finland,3237,72,3,10,25.0,6.7,0.54,0.27,0.13,29781,14890,7445,10.9,21.7,43.5,0.44,0.22,0.11,0.74,0.37,0.18
DEU,Germany,134753,3804,2,10,38.8,7.2,1.79,0.89,0.45,1485668,742834,371417,9.1,18.1,36.3,1.48,0.74,0.37,2.38,1.19,0.60
GRC,Greece,2192,102,1,5,53.3,14.2,0.38,0.19,0.10,40436,20218,10109,5.4,10.8,21.7,0.32,0.16,0.08,0.52,0.26,0.13
GTM,Guatemala,180,5,11,12,6.2,5.7,0.01,0.01,0.00,2330,1165,582,7.7,15.4,30.9,0.01,0.01,0.00,0.02,0.01,0.00
HUN,Hungary,1579,134,8,14,8.3,4.8,0.75,0.38,0.19,72952,36476,18238,2.2,4.3,8.7,0.56,0.28,0.14,1.15,0.58,0.29
IND,India,12322,405,10,15,7.1,4.6,0.02,0.01,0.00,231447,115723,57861,5.3,10.6,21.3,0.01,0.01,0.00,0.03,0.01,0.01
IDN,Indonesia,5136,469,8,8,8.4,8.5,0.06,0.03,0.02,165671,82835,41417,3.1,6.2,12.4,0.05,0.03,0.01,0.08,0.04,0.02
IRL,Ireland,12547,444,9,9,8.1,8.2,3.34,1.67,0.84,161021,80510,40255,7.8,15.6,31.2,2.82,1.41,0.70,4.31,2.16,1.08
ITA,Italy,165155,21645,2,3,34.5,25.8,10.41,5.20,2.60,6309124,3154562,1577281,2.6,5.2,10.5,9.34,4.67,2.34,12.23,6.11,3.06
IRN,Iran,76389,4777,2,2,31.9,30.2,1.61,0.81,0.40,1317814,658907,329453,5.8,11.6,23.2,1.47,0.73,0.37,1.85,0.92,0.46
ISR,Israel,12501,130,4,11,18.2,6.3,0.67,0.34,0.17,56203,28101,14050,22.2,44.5,89.0,0.54,0.27,0.13,0.93,0.47,0.23
JPN,Japan,8100,146,10,6,7.2,11.2,0.04,0.02,0.01,45087,22543,11271,18.0,35.9,71.9,0.03,0.02,0.01,0.04,0.02,0.01
MEX,Mexico,5399,406,11,18,6.3,3.8,0.23,0.12,0.06,295096,147548,73774,1.8,3.7,7.3,0.16,0.08,0.04,0.41,0.20,0.10
MDA,Moldova,2049,46,11,15,6.4,4.7,0.64,0.32,0.16,25830,12915,6457,7.9,15.9,31.7,0.47,0.24,0.12,0.99,0.50,0.25
NLD,Netherlands,28316,3145,5,7,13.3,10.3,5.90,2.95,1.48,1006530,503265,251632,2.8,5.6,11.3,5.16,2.58,1.29,7.22,3.61,1.80
NGA,Nigeria,407,12,6,12,12.2,5.7,0.00,0.00,0.00,5604,2802,1401,7.3,14.5,29.0,0.00,0.00,0.00,0.00,0.00,0.00
NOR,Norway,6740,150,2,5,32.3,12.7,0.82,0.41,0.21,43948,21974,10987,15.3,30.7,61.3,0.74,0.37,0.18,0.97,0.48,0.24
PAK,Pakistan,6383,111,7,9,9.2,7.5,0.02,0.01,0.00,42433,21216,10608,15.0,30.1,60.2,0.02,0.01,0.00,0.03,0.01,0.01
PRT,Portugal,18091,599,3,6,23.3,11.5,1.78,0.89,0.45,182693,91346,45673,9.9,19.8,39.6,1.58,0.79,0.39,2.13,1.07,0.53
