Country,country-name,cases,deaths,case rate,death rate,doubling cases (days),doubling deaths (days),pct pop 0.5% mort,prct pop 1% mort,prct pop 2% mort,0.5% mort sim cases,1% mort sim cases,2% mort sim cases,prct rep cases 0.5% mort,prct rep cases 1% mort,prct rep cases 2% mort
AUT,Austria,11524,168,4,7,18.9,9.9,1.54,0.77,0.38,136742,68371,34185,8.4,16.9,33.7
ARG,Argentina,1265,39,9,17,7.6,4.2,0.48,0.24,0.12,214368,107184,53592,0.6,1.2,2.4
BRA,Brazil,9056,359,14,20,4.9,3.4,0.26,0.13,0.06,537700,268850,134425,1.7,3.4,6.7
BGR,Bulgaria,485,14,7,17,10.0,4.1,1.15,0.57,0.29,80991,40495,20247,0.6,1.2,2.4
BEL,Belgium,16770,1143,9,16,7.6,4.3,50.03,25.01,12.51,5744274,2872137,1436068,0.3,0.6,1.2
CAN,Canada,969,13,13,18,5.5,3.8,0.28,0.14,0.07,102797,51398,25699,0.9,1.9,3.8
COL,Colombia,1267,25,9,19,8.0,3.6,0.48,0.24,0.12,236527,118263,59131,0.5,1.1,2.1
DNK,Denmark,3946,139,9,15,7.6,4.8,8.79,4.40,2.20,505660,252830,126415,0.8,1.6,3.1
FRA,France,65202,6520,6,24,11.4,2.9,21.89,10.94,5.47,14223185,7111592,3555796,0.5,0.9,1.8
FIN,Finland,1615,20,6,8,12.5,8.5,0.37,0.18,0.09,20317,10158,5079,7.9,15.9,31.8
DEU,Germany,91159,1275,8,16,8.8,4.2,8.02,4.01,2.00,6664441,3332220,1666110,1.4,2.7,5.5
GRC,Greece,1613,63,7,12,10.6,6.0,1.21,0.60,0.30,127079,63539,31769,1.3,2.5,5.1
HUN,Hungary,623,26,9,13,8.1,5.3,0.74,0.37,0.18,71686,35843,17921,0.9,1.7,3.5
IND,India,2567,72,13,11,5.5,6.4,0.01,0.00,0.00,125143,62571,31285,2.1,4.1,8.2
IDN,Indonesia,1986,181,8,7,8.2,9.7,0.06,0.03,0.01,150140,75070,37535,1.3,2.6,5.3
IRL,Ireland,4273,120,11,17,6.5,4.0,15.67,7.83,3.92,754804,377402,188701,0.6,1.1,2.3
ITA,Italy,119827,14681,4,5,17.3,12.6,14.51,7.26,3.63,8799003,4399501,2199750,1.4,2.7,5.4
ISR,Israel,7428,40,10,22,7.0,3.2,0.82,0.41,0.21,68948,34474,17237,10.8,21.5,43.1
MEX,Mexico,1510,50,11,27,6.4,2.5,0.12,0.06,0.03,152356,76178,38089,1.0,2.0,4.0
MDA,Moldova,591,8,17,24,4.1,2.9,0.41,0.21,0.10,16777,8388,4194,3.5,7.0,14.1
NLD,Netherlands,15821,1490,7,12,9.6,5.8,18.78,9.39,4.70,3204057,1602028,801014,0.5,1.0,2.0
NGA,Nigeria,210,4,9,35,7.4,2.0,0.01,0.01,0.00,25599,12799,6399,0.8,1.6,3.3
NOR,Norway,5370,59,5,15,14.0,4.7,4.16,2.08,1.04,221755,110877,55438,2.4,4.8,9.7
PAK,Pakistan,2686,40,12,20,5.8,3.5,0.19,0.10,0.05,407429,203714,101857,0.7,1.3,2.6
PRT,Portugal,9886,246,9,14,7.7,5.1,7.45,3.72,1.86,763660,381830,190915,1.3,2.6,5.2
POL,Poland,3383,71,14,25,4.9,2.8,0.46,0.23,0.11,174276,87138,43569,1.9,3.9,7.8
ROU,Romania,3183,133,13,18,5.4,3.8,5.44,2.72,1.36,1060522,530261,265130,0.3,0.6,1.2
RUS,Russia,4149,34,20,17,3.5,4.0,0.15,0.08,0.04,221404,110702,55351,1.9,3.7,7.5
ESP,Spain,119199,11198,7,9,10.2,7.9,27.99,14.00,7.00,13070942,6535471,3267735,0.9,1.8,3.6
SWE,Sweden,6131,358,11,20,6.5,3.4,5.42,2.71,1.35,539931,269965,134982,1.1,2.3,4.5
CHE,Switzerland,19606,591,5,10,14.1,7.2,9.41,4.71,2.35,802221,401110,200555,2.4,4.9,9.8
TUR,Turkey,20921,425,14,21,4.8,3.2,0.87,0.43,0.22,722711,361355,180677,2.9,5.8,11.6
GBR,UK,38168,3605,13,21,5.4,3.2,9.08,4.54,2.27,6099230,3049615,1524807,0.6,1.3,2.5
UKR,Ukraine,1072,27,15,15,4.6,4.6,0.25,0.12,0.06,108575,54287,27143,1.0,2.0,3.9
USA,US,275586,7087,13,20,5.4,3.5,23.34,11.67,5.84,76345816,38172908,19086454,0.4,0.7,1.4
