Country,country-name,cases,deaths,case rate,death rate,doubling cases (days),doubling deaths (days),pct pop 0.5% mort,prct pop 1% mort,prct pop 2% mort,0.5% mort sim cases,1% mort sim cases,2% mort sim cases,prct rep cases 0.5% mort,prct rep cases 1% mort,prct rep cases 2% mort,pct pop 0.5% mort (10d),prct pop 1% mort (10d),prct pop 2% (10d),pct pop 0.5% mort (20d),prct pop 1% mort (20d),prct pop 2% (20d) 
AUT,Austria,13945,350,2,8,29.1,8.2,1.42,0.71,0.36,126580,63290,31645,11.0,22.0,44.1,1.20,0.60,0.30,1.84,0.92,0.46
ARG,Argentina,2142,90,6,10,11.3,6.7,0.08,0.04,0.02,36938,18469,9234,5.8,11.6,23.2,0.07,0.03,0.02,0.11,0.06,0.03
BRA,Brazil,22192,1223,11,15,6.4,4.7,0.33,0.16,0.08,687448,343724,171862,3.2,6.5,12.9,0.24,0.12,0.06,0.51,0.26,0.13
BGR,Bulgaria,675,29,3,10,21.2,7.2,0.16,0.08,0.04,11328,5664,2832,6.0,11.9,23.8,0.13,0.07,0.03,0.21,0.11,0.05
BEL,Belgium,29647,3600,6,14,11.8,5.1,16.15,8.07,4.04,1854223,927111,463555,1.6,3.2,6.4,12.32,6.16,3.08,24.22,12.11,6.06
CAN,Canada,1567,40,6,13,11.6,5.5,0.05,0.03,0.01,19329,9664,4832,8.1,16.2,32.4,0.04,0.02,0.01,0.08,0.04,0.02
COL,Colombia,2776,109,9,17,7.6,4.1,0.14,0.07,0.04,71894,35947,17973,3.9,7.7,15.4,0.10,0.05,0.03,0.24,0.12,0.06
DNK,Denmark,6369,273,3,5,21.8,12.8,1.39,0.69,0.35,79824,39912,19956,8.0,16.0,31.9,1.25,0.62,0.31,1.63,0.82,0.41
FRA,France,133670,14412,8,11,8.7,6.4,9.43,4.72,2.36,6131586,3065793,1532896,2.2,4.4,8.7,7.60,3.80,1.90,13.04,6.52,3.26
FIN,Finland,2974,56,5,11,14.9,6.3,0.44,0.22,0.11,24309,12154,6077,12.2,24.5,48.9,0.35,0.18,0.09,0.61,0.31,0.15
DEU,Germany,127854,3022,4,11,15.9,6.4,1.55,0.77,0.39,1287386,643693,321846,9.9,19.9,39.7,1.25,0.62,0.31,2.14,1.07,0.54
GRC,Greece,2114,98,3,6,23.7,11.8,0.28,0.14,0.07,29536,14768,7384,7.2,14.3,28.6,0.25,0.12,0.06,0.33,0.17,0.08
GTM,Guatemala,155,5,12,13,5.7,5.1,0.01,0.01,0.00,2567,1283,641,6.0,12.1,24.1,0.01,0.01,0.00,0.02,0.01,0.01
HUN,Hungary,1410,99,9,13,7.9,5.2,0.51,0.26,0.13,49965,24982,12491,2.8,5.6,11.3,0.40,0.20,0.10,0.77,0.38,0.19
IND,India,9205,331,11,16,6.2,4.2,0.02,0.01,0.00,208760,104380,52190,4.4,8.8,17.6,0.01,0.01,0.00,0.03,0.01,0.01
IDN,Indonesia,4241,373,8,10,8.2,6.7,0.06,0.03,0.01,154172,77086,38543,2.8,5.5,11.0,0.05,0.02,0.01,0.08,0.04,0.02
IRL,Ireland,9655,334,9,13,7.7,5.4,3.38,1.69,0.85,163003,81501,40750,5.9,11.8,23.7,2.62,1.31,0.66,4.96,2.48,1.24
ITA,Italy,156363,19899,3,3,24.1,23.0,10.00,5.00,2.50,6063336,3031668,1515834,2.6,5.2,10.3,8.87,4.43,2.22,11.98,5.99,2.99
IRN,Iran,71686,4474,3,3,26.2,24.2,1.63,0.82,0.41,1335121,667560,333780,5.4,10.7,21.5,1.46,0.73,0.36,1.94,0.97,0.48
ISR,Israel,11145,103,4,12,16.7,5.6,0.58,0.29,0.15,48708,24354,12177,22.9,45.8,91.5,0.45,0.23,0.11,0.84,0.42,0.21
JPN,Japan,6748,108,10,6,6.9,12.4,0.03,0.01,0.01,31992,15996,7998,21.1,42.2,84.4,0.02,0.01,0.01,0.03,0.01,0.01
MEX,Mexico,4219,273,12,16,6.0,4.3,0.13,0.07,0.03,168918,84459,42229,2.5,5.0,10.0,0.10,0.05,0.02,0.22,0.11,0.05
MDA,Moldova,1662,31,9,17,7.8,4.0,0.52,0.26,0.13,21024,10512,5256,7.9,15.8,31.6,0.37,0.18,0.09,0.88,0.44,0.22
NLD,Netherlands,25746,2747,6,5,12.5,14.0,6.43,3.21,1.61,1096628,548314,274157,2.3,4.7,9.4,5.28,2.64,1.32,8.64,4.32,2.16
NGA,Nigeria,323,10,6,14,12.1,5.0,0.00,0.00,0.00,5276,2638,1319,6.1,12.2,24.5,0.00,0.00,0.00,0.00,0.00,0.00
NOR,Norway,6525,128,2,6,40.6,12.1,0.72,0.36,0.18,38174,19087,9543,17.1,34.2,68.4,0.64,0.32,0.16,0.85,0.42,0.21
PAK,Pakistan,5230,91,5,10,13.4,7.0,0.02,0.01,0.00,36454,18227,9113,14.3,28.7,57.4,0.01,0.01,0.00,0.02,0.01,0.01
PRT,Portugal,16585,504,6,7,11.1,9.8,1.61,0.80,0.40,164978,82489,41244,10.1,20.1,40.2,1.40,0.70,0.35,1.99,0.99,0.50
POL,Poland,6674,232,6,15,11.0,4.7,0.35,0.17,0.09,131155,65577,32788,5.1,10.2,20.4,0.26,0.13,0.06,0.54,0.27,0.13
ROU,Romania,6300,316,7,9,9.9,7.8,0.60,0.30,0.15,117353,58676,29338,5.4,10.7,21.5,0.50,0.25,0.13,0.78,0.39,0.20
RUS,Russia,15770,130,15,18,4.7,3.9,0.06,0.03,0.02,90481,45240,22620,17.4,34.9,69.7,0.04,0.02,0.01,0.11,0.05,0.03
ESP,Spain,166831,17209,3,4,23.2,18.5,12.46,6.23,3.12,5818557,2909278,1454639,2.9,5.7,11.5,10.73,5.36,2.68,15.61,7.80,3.90
SWE,Sweden,10483,899,7,13,10.3,5.5,4.34,2.17,1.09,433000,216500,108250,2.4,4.8,9.7,3.38,1.69,0.84,6.33,3.16,1.58
CHE,Switzerland,25415,1106,3,5,21.5,13.5,3.71,1.86,0.93,316574,158287,79143,8.0,16.1,32.1,3.35,1.68,0.84,4.33,2.17,1.08
TUR,Turkey,56956,1198,10,10,6.9,7.1,0.57,0.28,0.14,472649,236324,118162,12.1,24.1,48.2,0.47,0.23,0.12,0.76,0.38,0.19
GBR,UK,82888,11329,6,9,11.5,8.0,6.21,3.10,1.55,4168199,2084099,1042049,2.0,4.0,8.0,5.22,2.61,1.30,8.06,4.03,2.02
UKR,Ukraine,2777,83,13,13,5.3,5.3,0.09,0.05,0.02,41152,20576,10288,6.7,13.5,27.0,0.07,0.04,0.02,0.14,0.07,0.03
ARE,United Arab Emirates,4123,22,11,16,6.3,4.4,0.14,0.07,0.03,13195,6597,3298,31.2,62.5,125.0,0.10,0.05,0.03,0.22,0.11,0.05
USA,US,555313,22020,6,10,10.7,6.8,2.76,1.38,0.69,9028165,4514082,2257041,6.2,12.3,24.6,2.25,1.12,0.56,3.75,1.88,0.94
